date,간병인보험
2020-11-07,1.66817
2020-11-08,1.46938
2020-11-09,5.50153
2020-11-10,4.77116
2020-11-11,4.22663
2020-11-12,3.95004
2020-11-13,3.11595
2020-11-14,2.10035
2020-11-15,2.34236
2020-11-16,3.11595
2020-11-17,3.2067
2020-11-18,2.99494
2020-11-19,2.74428
2020-11-20,2.4504
2020-11-21,1.77622
2020-11-22,1.80215
2020-11-23,2.38126
2020-11-24,2.52387
2020-11-25,2.45473
2020-11-26,2.65352
2020-11-27,2.15221
2020-11-28,1.85833
2020-11-29,1.79783
2020-11-30,2.10467
2020-12-01,2.33372
2020-12-02,2.24728
2020-12-03,2.13492
2020-12-04,2.24296
2020-12-05,1.70275
2020-12-06,1.95773
2020-12-07,2.43744
2020-12-08,2.54116
2020-12-09,2.67945
2020-12-10,2.45473
2020-12-11,2.33804
2020-12-12,1.733
2020-12-13,1.62928
2020-12-14,2.5498
2020-12-15,2.45905
2020-12-16,2.34668
2020-12-17,2.39422
2020-12-18,2.26457
2020-12-19,1.87562
2020-12-20,1.98366
2020-12-21,2.38126
2020-12-22,2.52387
2020-12-23,2.32075
2020-12-24,2.45473
2020-12-25,1.58174
2020-12-26,1.75461
2020-12-27,1.87129
2020-12-28,2.69242
2020-12-29,2.47633
2020-12-30,2.43312
2020-12-31,1.88426
2021-01-01,1.45641
2021-01-02,1.85833
2021-01-03,1.55581
2021-01-04,2.48066
2021-01-05,2.48498
2021-01-06,2.14788
2021-01-07,2.22135
2021-01-08,1.97069
2021-01-09,1.62496
2021-01-10,1.65521
2021-01-11,2.18246
2021-01-12,2.66649
2021-01-13,2.62327
2021-01-14,3.31474
2021-01-15,3.09434
2021-01-16,2.06577
2021-01-17,1.98798
2021-01-18,3.67777
2021-01-19,3.49626
2021-01-20,3.07705
2021-01-21,2.82207
2021-01-22,3.03816
2021-01-23,2.26457
2021-01-24,3.08137
2021-01-25,3.92411
2021-01-26,3.29314
2021-01-27,3.01655
2021-01-28,3.03383
2021-01-29,2.61031
2021-01-30,2.30779
2021-01-31,2.22135
2021-02-01,3.21967
2021-02-02,2.76589
2021-02-03,3.06841
2021-02-04,2.63192
2021-02-05,2.5887
2021-02-06,2.76589
2021-02-07,100.0
2021-02-08,11.42659
2021-02-09,7.77475
2021-02-10,4.53779
2021-02-11,4.29145
2021-02-12,4.3217
2021-02-13,8.1637
2021-02-14,4.54211
2021-02-15,6.97955
2021-02-16,4.94403
2021-02-17,5.25087
2021-02-18,4.7582
2021-02-19,15.78719
2021-02-20,4.09265
2021-02-21,3.47033
2021-02-22,4.73227
2021-02-23,4.20934
2021-02-24,3.56108
2021-02-25,3.92843
2021-02-26,2.89986
2021-02-27,2.46337
2021-02-28,3.11595
2021-03-01,3.41847
2021-03-02,3.22831
2021-03-03,14.29188
2021-03-04,4.54211
2021-03-05,3.98029
2021-03-06,2.59302
2021-03-07,2.48498
2021-03-08,12.33847
2021-03-09,4.34331
2021-03-10,3.8636
2021-03-11,3.85064
2021-03-12,3.1462
2021-03-13,2.35965
2021-03-14,2.6492
2021-03-15,3.23695
2021-03-16,3.58269
2021-03-17,3.00358
2021-03-18,2.86961
2021-03-19,4.2612
2021-03-20,2.17381
2021-03-21,1.98366
2021-03-22,14.00665
2021-03-23,4.31306
2021-03-24,4.87488
2021-03-25,4.27849
2021-03-26,3.45736
2021-03-27,3.15916
2021-03-28,2.66217
2021-03-29,3.41847
2021-03-30,4.25256
2021-03-31,3.23263
2021-04-01,3.15916
2021-04-02,2.62759
2021-04-03,2.74428
2021-04-04,2.00095
2021-04-05,2.76157
2021-04-06,2.9474
2021-04-07,15.01793
2021-04-08,3.96732
2021-04-09,3.59566
2021-04-10,2.24296
2021-04-11,2.24296
2021-04-12,3.70802
2021-04-13,4.0624
2021-04-14,3.37093
2021-04-15,3.41847
2021-04-16,3.35364
2021-04-17,2.10899
2021-04-18,1.98366
2021-04-19,3.17213
2021-04-20,3.36228
2021-04-21,3.49626
2021-04-22,3.24992
2021-04-23,3.0079
2021-04-24,2.0917
2021-04-25,2.10899
2021-04-26,3.45304
2021-04-27,3.96732
2021-04-28,4.22663
2021-04-29,3.79445
2021-04-30,2.9085
2021-05-01,1.96205
2021-05-02,1.81079
2021-05-03,2.95604
2021-05-04,3.40982
2021-05-05,2.15653
2021-05-06,2.99062
2021-05-07,3.33203
2021-05-08,2.23432
2021-05-09,1.98798
2021-05-10,3.16349
2021-05-11,3.06841
2021-05-12,3.27153
2021-05-13,3.31907
2021-05-14,3.26288
2021-05-15,2.1306
2021-05-16,2.19542
2021-05-17,2.848
2021-05-18,2.77885
2021-05-19,2.11331
2021-05-20,3.28449
2021-05-21,3.05112
2021-05-22,1.84969
2021-05-23,2.03552
2021-05-24,2.90418
2021-05-25,2.848
2021-05-26,2.82207
2021-05-27,3.01655
2021-05-28,2.7875
2021-05-29,2.08306
2021-05-30,1.83672
2021-05-31,2.78317
2021-06-01,2.67081
2021-06-02,2.62327
2021-06-03,2.58438
2021-06-04,2.36829
2021-06-05,1.79783
2021-06-06,1.85401
2021-06-07,2.67513
2021-06-08,2.64488
2021-06-09,2.62759
2021-06-10,2.45473
2021-06-11,2.34236
2021-06-12,1.57742
2021-06-13,1.60335
2021-06-14,2.32507
2021-06-15,2.54548
2021-06-16,2.66217
2021-06-17,2.47201
2021-06-18,2.37261
2021-06-19,1.76757
2021-06-20,1.62928
2021-06-21,2.56277
2021-06-22,2.66217
2021-06-23,2.71835
2021-06-24,2.59302
2021-06-25,2.37261
2021-06-26,1.60335
2021-06-27,1.81511
2021-06-28,2.37693
2021-06-29,2.73131
2021-06-30,2.51955
2021-07-01,2.23432
2021-07-02,2.06577
2021-07-03,1.56013
2021-07-04,1.6725
2021-07-05,2.27754
2021-07-06,2.19542
2021-07-07,2.2905
2021-07-08,2.12628
2021-07-09,2.13924
2021-07-10,1.4348
2021-07-11,1.78054
2021-07-12,2.37261
2021-07-13,2.23864
2021-07-14,2.51091
2021-07-15,2.00959
2021-07-16,1.94909
2021-07-17,1.6336
2021-07-18,1.46073
2021-07-19,2.24728
2021-07-20,2.11763
2021-07-21,2.14356
2021-07-22,2.20407
2021-07-23,2.1911
2021-07-24,1.78918
2021-07-25,1.50395
2021-07-26,2.28618
2021-07-27,2.42447
2021-07-28,2.16085
2021-07-29,2.33372
2021-07-30,1.75461
2021-07-31,1.51691
2021-08-01,1.70275
2021-08-02,2.20407
2021-08-03,2.5498
2021-08-04,2.19974
2021-08-05,2.52387
2021-08-06,2.33804
2021-08-07,2.68378
2021-08-08,1.733
2021-08-09,2.63624
2021-08-10,2.73996
2021-08-11,3.09434
2021-08-12,2.86097
2021-08-13,3.25856
2021-08-14,2.1306
2021-08-15,1.65521
2021-08-16,2.07441
2021-08-17,2.63192
2021-08-18,2.84368
2021-08-19,2.46337
2021-08-20,2.41583
2021-08-21,1.97502
2021-08-22,1.89722
2021-08-23,2.62759
2021-08-24,2.77453
2021-08-25,2.97765
2021-08-26,2.43312
2021-08-27,2.19542
2021-08-28,1.87994
2021-08-29,1.98366
2021-08-30,3.10298
2021-08-31,3.1073
2021-09-01,2.72267
2021-09-02,2.77453
2021-09-03,2.55845
2021-09-04,1.8324
2021-09-05,2.06145
2021-09-06,2.51091
2021-09-07,2.47633
2021-09-08,2.89122
2021-09-09,2.4893
2021-09-10,2.52387
2021-09-11,1.6725
2021-09-12,1.40887
2021-09-13,2.80046
2021-09-14,2.51091
2021-09-15,2.57573
2021-09-16,2.9863
2021-09-17,2.10899
2021-09-18,1.6725
2021-09-19,1.39591
2021-09-20,1.66817
2021-09-21,2.04416
2021-09-22,2.10035
2021-09-23,3.38821
2021-09-24,2.93876
2021-09-25,5.83862
2021-09-26,5.47992
2021-09-27,4.33899
2021-09-28,5.02614
2021-09-29,6.18004
2021-09-30,5.35459
2021-10-01,3.01223
2021-10-02,2.06145
2021-10-03,1.75893
2021-10-04,2.2905
2021-10-05,4.10562
2021-10-06,3.71234
2021-10-07,3.35796
2021-10-08,3.91114
2021-10-09,2.94308
2021-10-10,2.49362
2021-10-11,2.50226
2021-10-12,3.11162
2021-10-13,3.2456
2021-10-14,3.33203
2021-10-15,2.84368
2021-10-16,2.07441
2021-10-17,1.70275
2021-10-18,2.88257
2021-10-19,3.05112
2021-10-20,2.95172
2021-10-21,3.06841
2021-10-22,2.76589
2021-10-23,1.81079
2021-10-24,1.82376
2021-10-25,3.34932
2021-10-26,3.73827
2021-10-27,3.5049
2021-10-28,3.59566
2021-10-29,3.21102
2021-10-30,1.98366
2021-10-31,1.88858
2021-11-01,3.1462
2021-11-02,3.24992
2021-11-03,3.32771
2021-11-04,3.42711
