date,연말정산간소화
2020-03-20,0.01839
2020-03-21,0.00266
2020-03-22,0.00933
2020-03-23,0.01466
2020-03-24,0.01893
2020-03-25,0.01679
2020-03-26,0.01733
2020-03-27,0.01386
2020-03-28,0.00533
2020-03-29,0.00746
2020-03-30,0.02159
2020-03-31,0.02213
2020-04-01,0.02719
2020-04-02,0.02399
2020-04-03,0.03972
2020-04-04,0.01599
2020-04-05,0.01013
2020-04-06,0.02533
2020-04-07,0.02879
2020-04-08,0.02399
2020-04-09,0.02159
2020-04-10,0.02453
2020-04-11,0.00959
2020-04-12,0.00906
2020-04-13,0.02426
2020-04-14,0.02879
2020-04-15,0.01146
2020-04-16,0.02213
2020-04-17,0.01973
2020-04-18,0.01013
2020-04-19,0.01039
2020-04-20,0.03306
2020-04-21,0.02506
2020-04-22,0.02986
2020-04-23,0.03039
2020-04-24,0.02399
2020-04-25,0.00879
2020-04-26,0.00959
2020-04-27,0.03999
2020-04-28,0.04159
2020-04-29,0.05066
2020-04-30,0.01973
2020-05-01,0.07492
2020-05-02,0.03732
2020-05-03,0.05012
2020-05-04,0.11758
2020-05-05,0.05759
2020-05-06,0.10532
2020-05-07,0.08158
2020-05-08,0.07465
2020-05-09,0.02932
2020-05-10,0.03359
2020-05-11,0.08825
2020-05-12,0.09012
2020-05-13,0.09145
2020-05-14,0.07812
2020-05-15,0.05999
2020-05-16,0.02533
2020-05-17,0.02533
2020-05-18,0.08318
2020-05-19,0.08532
2020-05-20,0.06985
2020-05-21,0.07119
2020-05-22,0.06185
2020-05-23,0.01999
2020-05-24,0.02746
2020-05-25,0.07279
2020-05-26,0.06639
2020-05-27,0.06399
2020-05-28,0.06585
2020-05-29,0.05066
2020-05-30,0.01786
2020-05-31,0.02879
2020-06-01,0.05092
2020-06-02,0.01573
2020-06-03,0.01466
2020-06-04,0.02213
2020-06-05,0.01839
2020-06-06,0.00639
2020-06-07,0.00373
2020-06-08,0.02746
2020-06-09,0.02666
2020-06-10,0.02719
2020-06-11,0.02319
2020-06-12,0.01519
2020-06-13,0.00319
2020-06-14,0.00613
2020-06-15,0.02053
2020-06-16,0.02746
2020-06-17,0.03119
2020-06-18,0.02053
2020-06-19,0.02133
2020-06-20,0.00906
2020-06-21,0.00373
2020-06-22,0.02826
2020-06-23,0.02639
2020-06-24,0.05492
2020-06-25,0.04479
2020-06-26,0.02879
2020-06-27,0.00853
2020-06-28,0.00879
2020-06-29,0.02772
2020-06-30,0.02079
2020-07-01,0.01786
2020-07-02,0.00906
2020-07-03,0.01013
2020-07-04,0.00239
2020-07-05,0.00213
2020-07-06,0.00879
2020-07-07,0.01493
2020-07-08,0.01119
2020-07-09,0.01253
2020-07-10,0.00639
2020-07-11,0.00239
2020-07-12,0.00399
2020-07-13,0.00853
2020-07-14,0.01226
2020-07-15,0.00986
2020-07-16,0.00426
2020-07-17,0.00746
2020-07-18,0.00213
2020-07-19,0.00133
2020-07-20,0.00666
2020-07-21,0.00799
2020-07-22,0.00639
2020-07-23,0.01119
2020-07-24,0.01706
2020-07-25,0.00586
2020-07-26,0.00773
2020-07-27,0.01866
2020-07-28,0.02133
2020-07-29,0.01066
2020-07-30,0.01973
2020-07-31,0.01973
2020-08-01,0.00773
2020-08-02,0.00186
2020-08-03,0.02239
2020-08-04,0.02719
2020-08-05,0.02852
2020-08-06,0.02906
2020-08-07,0.02426
2020-08-08,0.00959
2020-08-09,0.00639
2020-08-10,0.02293
2020-08-11,0.02932
2020-08-12,0.02852
2020-08-13,0.02666
2020-08-14,0.02346
2020-08-15,0.00799
2020-08-16,0.00906
2020-08-17,0.01359
2020-08-18,0.02852
2020-08-19,0.02986
2020-08-20,0.03626
2020-08-21,0.03012
2020-08-22,0.01146
2020-08-23,0.01039
2020-08-24,0.03706
2020-08-25,0.03599
2020-08-26,0.02852
2020-08-27,0.03546
2020-08-28,0.02373
2020-08-29,0.01253
2020-08-30,0.01013
2020-08-31,0.03226
2020-09-01,0.02639
2020-09-02,0.02826
2020-09-03,0.02719
2020-09-04,0.03066
2020-09-05,0.01173
2020-09-06,0.00906
2020-09-07,0.02959
2020-09-08,0.03012
2020-09-09,0.03012
2020-09-10,0.02879
2020-09-11,0.02692
2020-09-12,0.01226
2020-09-13,0.01226
2020-09-14,0.03359
2020-09-15,0.02772
2020-09-16,0.03252
2020-09-17,0.03599
2020-09-18,0.02373
2020-09-19,0.01146
2020-09-20,0.01119
2020-09-21,0.02879
2020-09-22,0.02666
2020-09-23,0.02879
2020-09-24,0.02879
2020-09-25,0.02319
2020-09-26,0.00933
2020-09-27,0.01093
2020-09-28,0.03466
2020-09-29,0.02826
2020-09-30,0.00933
2020-10-01,0.00773
2020-10-02,0.01039
2020-10-03,0.00906
