date,에코프로비엠주가
2020-03-20,3.05803
2020-03-21,0.43686
2020-03-22,0.36743
2020-03-23,2.78288
2020-03-24,2.67959
2020-03-25,2.7524
2020-03-26,2.5873
2020-03-27,2.47132
2020-03-28,0.43855
2020-03-29,0.34881
2020-03-30,2.24018
2020-03-31,2.03361
2020-04-01,2.35956
2020-04-02,2.39427
2020-04-03,2.39427
2020-04-04,0.38013
2020-04-05,0.26668
2020-04-06,2.32061
2020-04-07,2.63387
2020-04-08,3.06311
2020-04-09,2.68467
2020-04-10,2.56021
2020-04-11,0.49697
2020-04-12,0.37167
2020-04-13,2.26643
2020-04-14,2.49417
2020-04-15,0.5393
2020-04-16,2.79812
2020-04-17,3.57109
2020-04-18,0.59094
2020-04-19,0.60195
2020-04-20,3.02755
2020-04-21,2.66011
2020-04-22,2.30538
2020-04-23,2.69229
2020-04-24,2.03445
2020-04-25,0.31918
2020-04-26,0.2506
2020-04-27,2.07848
2020-04-28,1.9718
2020-04-29,1.88629
2020-04-30,0.37929
2020-05-01,0.33949
2020-05-02,0.21758
2020-05-03,0.19218
2020-05-04,1.73305
2020-05-05,0.2489
2020-05-06,1.57896
2020-05-07,1.48414
2020-05-08,1.60521
2020-05-09,0.25144
2020-05-10,0.22943
2020-05-11,1.55526
2020-05-12,1.33852
2020-05-13,4.78262
2020-05-14,5.23811
2020-05-15,3.76751
2020-05-16,0.67645
2020-05-17,0.57401
2020-05-18,5.54967
2020-05-19,5.18308
2020-05-20,5.16699
2020-05-21,5.43538
2020-05-22,4.8004
2020-05-23,0.8407
2020-05-24,0.90081
2020-05-25,8.5205
2020-05-26,9.20966
2020-05-27,7.91178
2020-05-28,7.17436
2020-05-29,6.44287
2020-05-30,1.03966
2020-05-31,0.93214
2020-06-01,6.41662
2020-06-02,5.98484
2020-06-03,5.81805
2020-06-04,6.04664
2020-06-05,5.08064
2020-06-06,0.82546
2020-06-07,0.71625
2020-06-08,4.80887
2020-06-09,4.7496
2020-06-10,4.56165
2020-06-11,6.00177
2020-06-12,5.23642
2020-06-13,0.68661
2020-06-14,0.51644
2020-06-15,5.05439
2020-06-16,4.5117
2020-06-17,6.98556
2020-06-18,5.85954
2020-06-19,5.03323
2020-06-20,0.71879
2020-06-21,0.6138
2020-06-22,4.79786
2020-06-23,4.5371
2020-06-24,4.36523
2020-06-25,3.97493
2020-06-26,3.9199
2020-06-27,0.52999
2020-06-28,0.37929
2020-06-29,3.53384
2020-06-30,3.72348
2020-07-01,3.98425
2020-07-02,3.59141
2020-07-03,3.90466
2020-07-04,0.65614
2020-07-05,0.60195
2020-07-06,6.39038
2020-07-07,6.42086
2020-07-08,5.26351
2020-07-09,5.05439
2020-07-10,4.31105
2020-07-11,0.56216
2020-07-12,0.58586
2020-07-13,4.08584
2020-07-14,3.84286
2020-07-15,4.11294
2020-07-16,4.01896
2020-07-17,3.7328
2020-07-18,0.53507
2020-07-19,0.48173
2020-07-20,4.43042
2020-07-21,4.87998
2020-07-22,4.77416
2020-07-23,5.92134
2020-07-24,4.67256
2020-07-25,0.4758
2020-07-26,0.4758
2020-07-27,4.02235
2020-07-28,4.19167
2020-07-29,3.69047
2020-07-30,3.85641
2020-07-31,4.68187
2020-08-01,0.64259
2020-08-02,0.58248
2020-08-03,5.65804
2020-08-04,5.21525
2020-08-05,6.56986
2020-08-06,6.81115
2020-08-07,7.95326
2020-08-08,1.62638
2020-08-09,1.44943
2020-08-10,7.93294
2020-08-11,6.35482
2020-08-12,5.59454
2020-08-13,5.9332
2020-08-14,4.9401
2020-08-15,0.8153
2020-08-16,0.57401
2020-08-17,0.84832
2020-08-18,5.11958
2020-08-19,5.09672
2020-08-20,5.19917
2020-08-21,5.64703
2020-08-22,0.6155
2020-08-23,0.47919
2020-08-24,4.90962
2020-08-25,4.4626
2020-08-26,4.44058
2020-08-27,5.27367
2020-08-28,4.44228
