date,정기적금금리비교
2020-03-20,31.6749
2020-03-21,17.58343
2020-03-22,18.4487
2020-03-23,29.44993
2020-03-24,29.07911
2020-03-25,40.14215
2020-03-26,35.13597
2020-03-27,29.72805
2020-03-28,17.92336
2020-03-29,17.27441
2020-03-30,32.50927
2020-03-31,33.31273
2020-04-01,27.90482
2020-04-02,28.77008
2020-04-03,23.45488
2020-04-04,14.89493
2020-04-05,17.67614
2020-04-06,28.05933
2020-04-07,28.02843
2020-04-08,26.4215
2020-04-09,25.1236
2020-04-10,26.3906
2020-04-11,16.37824
2020-04-12,18.20148
2020-04-13,31.33498
2020-04-14,26.91594
2020-04-15,19.90111
2020-04-16,28.27564
2020-04-17,28.83189
2020-04-18,17.33621
2020-04-19,17.30531
2020-04-20,33.09641
2020-04-21,32.72558
2020-04-22,30.99505
2020-04-23,29.20271
2020-04-24,31.27317
2020-04-25,19.37577
2020-04-26,19.68479
2020-04-27,36.34116
2020-04-28,30.06798
2020-04-29,30.25339
2020-04-30,16.74907
2020-05-01,18.04697
2020-05-02,15.08034
2020-05-03,16.59456
2020-05-04,35.5377
2020-05-05,22.4042
2020-05-06,33.15822
2020-05-07,27.78121
2020-05-08,23.33127
2020-05-09,13.78244
2020-05-10,14.64771
2020-05-11,28.64647
2020-05-12,29.91347
2020-05-13,25.80346
2020-05-14,25.1236
2020-05-15,27.19406
2020-05-16,14.86402
2020-05-17,16.44004
2020-05-18,28.27564
2020-05-19,29.51174
2020-05-20,30.3152
2020-05-21,29.17181
2020-05-22,26.23609
2020-05-23,15.51297
2020-05-24,18.29419
2020-05-25,37.63906
2020-05-26,33.77626
2020-05-27,26.76143
2020-05-28,25.74165
2020-05-29,25.52533
2020-05-30,13.81334
2020-05-31,18.13967
2020-06-01,28.73918
2020-06-02,26.51421
2020-06-03,25.0309
2020-06-04,26.29789
2020-06-05,22.21878
2020-06-06,12.60815
2020-06-07,12.66996
2020-06-08,22.58961
2020-06-09,20.61186
2020-06-10,25.27812
2020-06-11,22.24969
2020-06-12,18.63411
2020-06-13,10.5377
2020-06-14,12.36093
2020-06-15,23.51668
2020-06-16,24.22744
2020-06-17,22.18788
2020-06-18,21.81705
2020-06-19,20.02472
2020-06-20,10.97033
2020-06-21,11.00123
2020-06-22,22.4042
2020-06-23,22.3733
2020-06-24,22.21878
2020-06-25,27.6885
2020-06-26,22.83683
2020-06-27,11.37206
2020-06-28,14.27688
2020-06-29,24.16563
2020-06-30,27.19406
2020-07-01,27.93572
2020-07-02,22.31149
2020-07-03,20.95179
2020-07-04,11.55747
2020-07-05,14.09147
2020-07-06,25.37082
2020-07-07,22.77503
2020-07-08,22.4042
2020-07-09,20.61186
2020-07-10,19.15945
2020-07-11,11.12484
2020-07-12,13.47342
2020-07-13,23.45488
2020-07-14,21.1681
2020-07-15,24.75278
2020-07-16,21.47713
2020-07-17,19.62299
2020-07-18,10.90852
2020-07-19,11.09394
2020-07-20,22.74412
