date,ISA신탁형
2020-03-20,3.07167
2020-03-27,3.07167
2020-04-06,2.73037
2020-04-07,1.70648
2020-04-16,1.70648
2020-04-18,2.04778
2020-04-27,1.70648
2020-04-28,2.04778
2020-05-03,2.38907
2020-05-07,2.04778
2020-05-09,2.73037
2020-05-13,2.04778
2020-05-15,1.70648
2020-05-20,2.04778
2020-05-27,1.70648
2020-05-28,2.04778
2020-05-29,2.73037
2020-05-30,1.70648
2020-06-01,2.38907
2020-06-05,1.70648
2020-06-07,1.70648
2020-06-22,2.04778
2020-07-06,3.07167
2020-07-20,2.38907
2020-07-30,2.73037
2020-08-02,1.70648
2020-08-15,2.73037
2020-08-18,2.38907
2020-08-19,1.70648
2020-08-28,1.70648
2020-09-18,1.70648
2020-09-28,2.04778
2020-10-08,2.38907
2020-10-15,1.70648
2020-10-16,2.73037
2020-10-23,4.09556
2020-10-26,2.38907
2020-10-27,2.04778
2020-10-28,2.38907
2020-11-01,1.70648
2020-11-03,2.04778
2020-11-04,2.04778
2020-11-06,2.38907
2020-11-09,1.70648
2020-11-11,6.48464
2020-11-16,1.70648
2020-11-18,3.41296
2020-11-19,2.38907
2020-11-20,1.70648
2020-11-23,4.43686
2020-11-27,2.04778
2020-11-29,2.73037
2020-11-30,2.38907
2020-12-02,2.73037
2020-12-03,4.43686
2020-12-04,3.41296
2020-12-05,2.73037
2020-12-07,4.09556
2020-12-08,2.04778
2020-12-10,4.77815
2020-12-11,5.11945
2020-12-13,3.07167
2020-12-14,5.11945
2020-12-15,5.11945
2020-12-16,4.77815
2020-12-17,4.77815
2020-12-18,4.77815
2020-12-19,4.43686
2020-12-20,5.46075
2020-12-21,6.14334
2020-12-22,5.11945
2020-12-23,6.48464
2020-12-24,4.77815
2020-12-25,4.43686
2020-12-26,2.38907
2020-12-27,2.73037
2020-12-28,8.19112
2020-12-29,6.82593
2020-12-30,8.53242
2020-12-31,10.2389
2021-01-01,7.50853
2021-01-02,8.53242
2021-01-03,9.55631
2021-01-04,22.1843
2021-01-05,19.45392
2021-01-06,24.23208
2021-01-07,15.69965
2021-01-08,19.11262
2021-01-09,10.5802
2021-01-10,11.60409
2021-01-11,20.13651
2021-01-12,21.843
2021-01-13,30.03412
2021-01-14,44.70989
2021-01-15,51.19453
2021-01-16,30.37542
2021-01-17,23.89078
2021-01-18,50.51194
2021-01-19,52.55972
2021-01-20,47.09897
2021-01-21,65.52901
2021-01-22,51.87713
2021-01-23,27.98634
2021-01-24,24.23208
2021-01-25,50.17064
2021-01-26,57.67918
2021-01-27,51.53583
2021-01-28,45.73378
2021-01-29,63.13993
2021-01-30,34.12969
2021-01-31,24.23208
2021-02-01,43.00341
2021-02-02,46.07508
2021-02-03,65.52901
2021-02-04,75.76791
2021-02-05,78.49829
