date,엑셀러레이터
2020-03-20,2.83911
2020-03-21,1.94255
2020-03-22,2.04217
2020-03-23,3.12136
2020-03-24,2.73949
2020-03-25,3.40361
2020-03-26,3.60285
2020-03-27,2.87232
2020-03-28,1.32824
2020-03-29,1.84293
2020-03-30,2.95533
2020-03-31,2.70629
2020-04-01,3.12136
2020-04-02,2.67308
2020-04-03,2.52365
2020-04-04,1.51087
2020-04-05,1.32824
2020-04-06,2.83911
2020-04-07,3.20438
2020-04-08,3.42022
2020-04-09,3.28739
2020-04-10,2.7727
2020-04-11,1.47766
2020-04-12,1.97575
2020-04-13,3.05495
2020-04-14,2.87232
2020-04-15,1.6603
2020-04-16,2.95533
2020-04-17,3.12136
2020-04-18,1.37805
2020-04-19,1.92595
2020-04-20,3.07155
2020-04-21,2.93873
2020-04-22,2.72289
2020-04-23,3.10476
2020-04-24,2.80591
2020-04-25,1.57728
2020-04-26,1.71011
2020-04-27,2.90552
2020-04-28,3.65266
2020-04-29,2.85571
2020-04-30,1.95915
2020-05-01,5.61182
2020-05-02,2.97194
2020-05-03,1.82633
2020-05-04,2.63988
2020-05-05,2.49045
2020-05-06,2.85571
2020-05-07,2.88892
2020-05-08,2.98854
2020-05-09,1.57728
2020-05-10,1.84293
2020-05-11,3.42022
2020-05-12,3.68587
2020-05-13,3.70247
2020-05-14,3.03835
2020-05-15,2.67308
2020-05-16,1.44446
2020-05-17,3.73567
2020-05-18,3.61945
2020-05-19,3.18778
2020-05-20,3.78548
2020-05-21,3.61945
2020-05-22,2.49045
2020-05-23,1.26182
2020-05-24,1.72671
2020-05-25,2.98854
2020-05-26,2.73949
2020-05-27,3.18778
2020-05-28,2.85571
2020-05-29,2.39083
2020-05-30,1.27843
2020-05-31,1.6935
2020-06-01,3.45342
2020-06-02,3.17117
2020-06-03,3.03835
2020-06-04,3.03835
2020-06-05,2.88892
2020-06-06,1.6603
2020-06-07,1.64369
2020-06-08,2.98854
2020-06-09,3.37041
2020-06-10,2.93873
2020-06-11,3.71907
2020-06-12,3.51984
2020-06-13,1.80972
2020-06-14,1.85953
2020-06-15,3.43682
2020-06-16,3.08816
2020-06-17,3.05495
2020-06-18,3.3206
2020-06-19,3.45342
2020-06-20,2.27461
2020-06-21,1.82633
2020-06-22,3.00514
2020-06-23,3.95151
2020-06-24,4.66544
2020-06-25,3.61945
2020-06-26,2.93873
2020-06-27,1.72671
2020-06-28,1.19541
2020-06-29,3.73567
2020-06-30,2.62327
2020-07-01,2.57346
2020-07-02,2.49045
2020-07-03,2.12518
2020-07-04,2.10858
2020-07-05,1.41125
2020-07-06,2.93873
2020-07-07,2.97194
2020-07-08,2.47385
2020-07-09,2.2248
2020-07-10,2.17499
2020-07-11,1.46106
2020-07-12,1.42785
2020-07-13,2.7561
2020-07-14,3.15457
2020-07-15,3.15457
2020-07-16,3.50323
2020-07-17,2.67308
2020-07-18,1.6603
2020-07-19,1.56068
2020-07-20,3.20438
2020-07-21,3.55304
2020-07-22,2.83911
2020-07-23,3.05495
2020-07-24,2.72289
2020-07-25,1.51087
2020-07-26,1.57728
2020-07-27,3.00514
2020-07-28,3.10476
2020-07-29,3.60285
2020-07-30,2.83911
2020-07-31,2.40743
2020-08-01,1.6603
2020-08-02,1.57728
2020-08-03,2.44064
2020-08-04,3.05495
2020-08-05,3.38701
2020-08-06,3.40361
2020-08-07,2.32442
2020-08-08,1.6935
2020-08-09,1.41125
2020-08-10,3.20438
2020-08-11,3.23758
2020-08-12,3.68587
2020-08-13,3.38701
2020-08-14,2.50705
2020-08-15,1.61049
2020-08-16,1.31163
2020-08-17,1.39465
2020-08-18,2.93873
2020-08-19,3.02174
2020-08-20,3.08816
2020-08-21,2.87232
2020-08-22,1.17881
2020-08-23,1.59389
2020-08-24,3.10476
2020-08-25,3.25419
2020-08-26,3.18778
2020-08-27,3.05495
2020-08-28,2.65648
2020-08-29,1.46106
2020-08-30,1.85953
2020-08-31,2.80591
2020-09-01,3.05495
2020-09-02,3.13797
2020-09-03,3.47003
2020-09-04,2.92213
2020-09-05,1.79312
2020-09-06,2.09198
2020-09-07,4.13415
2020-09-08,3.3372
2020-09-09,3.45342
2020-09-10,3.38701
2020-09-11,3.13797
2020-09-12,1.59389
2020-09-13,2.27461
2020-09-14,3.75228
2020-09-15,2.80591
2020-09-16,3.58625
2020-09-17,3.43682
2020-09-18,2.63988
2020-09-19,1.72671
2020-09-20,1.57728
2020-09-21,2.88892
2020-09-22,3.50323
2020-09-23,3.17117
2020-09-24,3.12136
2020-09-25,2.65648
2020-09-26,2.2082
2020-09-27,1.77652
2020-09-28,2.98854
2020-09-29,3.15457
2020-09-30,1.46106
2020-10-01,1.31163
2020-10-02,1.36144
2020-10-03,1.44446
2020-10-04,1.77652
2020-10-05,3.51984
2020-10-06,3.28739
2020-10-07,2.80591
2020-10-08,3.68587
2020-10-09,1.51087
2020-10-10,1.57728
2020-10-11,2.15839
2020-10-12,3.55304
2020-10-13,3.38701
2020-10-14,3.20438
2020-10-15,3.43682
2020-10-16,2.7561
2020-10-17,1.85953
2020-10-18,1.6935
2020-10-19,2.95533
2020-10-20,3.03835
2020-10-21,3.75228
2020-10-22,3.48663
2020-10-23,2.73949
2020-10-24,1.62709
2020-10-25,3.08816
2020-10-26,4.11754
2020-10-27,3.304
2020-10-28,3.60285
2020-10-29,2.93873
2020-10-30,2.7727
2020-10-31,1.6603
2020-11-01,1.92595
2020-11-02,3.304
2020-11-03,3.20438
2020-11-04,3.3206
2020-11-05,2.98854
2020-11-06,3.20438
2020-11-07,2.09198
2020-11-08,1.57728
2020-11-09,3.10476
2020-11-10,3.60285
2020-11-11,3.55304
2020-11-12,4.53262
2020-11-13,2.55686
2020-11-14,2.12518
2020-11-15,2.25801
2020-11-16,4.00132
2020-11-17,3.60285
2020-11-18,3.56964
2020-11-19,3.8851
2020-11-20,3.68587
2020-11-21,2.19159
2020-11-22,2.70629
2020-11-23,3.51984
2020-11-24,3.25419
2020-11-25,3.37041
2020-11-26,3.13797
2020-11-27,2.92213
2020-11-28,2.10858
2020-11-29,2.14178
2020-11-30,4.21716
2020-12-01,3.56964
2020-12-02,4.53262
2020-12-03,3.28739
2020-12-04,4.83147
2020-12-05,2.2248
2020-12-06,1.52747
2020-12-07,4.16735
2020-12-08,4.58243
2020-12-09,4.10094
2020-12-10,4.48281
2020-12-11,3.8685
2020-12-12,2.07537
2020-12-13,2.04217
2020-12-14,4.56583
2020-12-15,3.304
2020-12-16,4.48281
2020-12-17,4.63224
2020-12-18,3.81869
2020-12-19,2.59007
2020-12-20,1.71011
2020-12-21,3.43682
2020-12-22,3.304
2020-12-23,3.90171
2020-12-24,3.12136
2020-12-25,1.90934
2020-12-26,1.79312
2020-12-27,1.92595
2020-12-28,4.21716
2020-12-29,4.11754
2020-12-30,3.20438
2020-12-31,3.07155
2021-01-01,1.59389
2021-01-02,1.61049
2021-01-03,2.04217
2021-01-04,4.16735
2021-01-05,4.63224
2021-01-06,3.93491
2021-01-07,5.19674
2021-01-08,3.55304
2021-01-09,1.97575
2021-01-10,2.34102
2021-01-11,4.18396
2021-01-12,3.53644
2021-01-13,4.61564
2021-01-14,4.9809
2021-01-15,4.56583
2021-01-16,1.59389
2021-01-17,2.10858
2021-01-18,3.80209
2021-01-19,3.51984
2021-01-20,4.93109
2021-01-21,6.10991
2021-01-22,5.77785
2021-01-23,3.28739
2021-01-24,2.35762
2021-01-25,3.8519
2021-01-26,4.33338
2021-01-27,4.11754
2021-01-28,3.63606
2021-01-29,2.88892
2021-01-30,1.74331
2021-01-31,1.97575
2021-02-01,3.90171
2021-02-02,3.98472
2021-02-03,3.40361
2021-02-04,4.15075
2021-02-05,3.28739
2021-02-06,2.12518
2021-02-07,1.49427
2021-02-08,3.55304
2021-02-09,3.15457
2021-02-10,2.44064
2021-02-11,1.59389
2021-02-12,1.52747
2021-02-13,2.27461
2021-02-14,2.32442
2021-02-15,5.06392
2021-02-16,4.89789
2021-02-17,4.93109
2021-02-18,4.28357
2021-02-19,3.8685
2021-02-20,1.61049
2021-02-21,1.87614
2021-02-22,3.3372
2021-02-23,3.43682
2021-02-24,4.21716
2021-02-25,3.47003
2021-02-26,3.35381
2021-02-27,1.41125
2021-02-28,2.2248
2021-03-01,2.25801
2021-03-02,3.78548
2021-03-03,4.34999
2021-03-04,5.19674
2021-03-05,4.06774
2021-03-06,1.87614
2021-03-07,2.12518
2021-03-08,4.51602
2021-03-09,4.93109
2021-03-10,5.72804
2021-03-11,4.25037
2021-03-12,4.01793
2021-03-13,1.92595
2021-03-14,2.62327
2021-03-15,4.9809
2021-03-16,5.16353
2021-03-17,4.53262
2021-03-18,4.28357
2021-03-19,3.90171
2021-03-20,1.85953
2021-03-21,2.2082
2021-03-22,8.58376
2021-03-23,7.25552
2021-03-24,6.19292
2021-03-25,5.06392
2021-03-26,3.90171
2021-03-27,1.92595
2021-03-28,1.94255
2021-03-29,5.18014
2021-03-30,4.4164
2021-03-31,4.01793
2021-04-01,4.76506
2021-04-02,3.63606
2021-04-03,2.05877
2021-04-04,2.25801
2021-04-05,4.9809
2021-04-06,5.44579
2021-04-07,4.9477
2021-04-08,4.58243
2021-04-09,3.8519
2021-04-10,1.6935
2021-04-11,1.77652
2021-04-12,5.41258
2021-04-13,5.11373
2021-04-14,3.93491
2021-04-15,3.68587
2021-04-16,3.3206
2021-04-17,1.62709
2021-04-18,2.49045
2021-04-19,3.90171
2021-04-20,4.88128
2021-04-21,4.30018
2021-04-22,4.00132
2021-04-23,3.40361
2021-04-24,1.22862
2021-04-25,1.54408
2021-04-26,4.48281
2021-04-27,5.46239
2021-04-28,4.20056
2021-04-29,3.70247
2021-04-30,2.88892
2021-05-01,1.52747
2021-05-02,1.56068
2021-05-03,3.48663
2021-05-04,3.07155
2021-05-05,1.74331
2021-05-06,3.23758
2021-05-07,3.304
2021-05-08,1.52747
2021-05-09,1.6769
2021-05-10,2.7893
2021-05-11,3.20438
2021-05-12,4.18396
2021-05-13,3.51984
2021-05-14,3.00514
2021-05-15,1.82633
2021-05-16,1.61049
2021-05-17,2.88892
2021-05-18,3.51984
2021-05-19,1.62709
2021-05-20,3.20438
2021-05-21,4.79827
2021-05-22,1.97575
2021-05-23,1.79312
2021-05-24,3.02174
2021-05-25,2.98854
2021-05-26,3.12136
2021-05-27,3.50323
2021-05-28,2.60667
2021-05-29,1.57728
2021-05-30,1.49427
2021-05-31,2.98854
2021-06-01,3.08816
2021-06-02,2.95533
2021-06-03,3.73567
2021-06-04,2.60667
2021-06-05,1.97575
2021-06-06,1.47766
2021-06-07,2.98854
2021-06-08,2.65648
2021-06-09,3.18778
2021-06-10,2.68968
2021-06-11,2.72289
2021-06-12,2.90552
2021-06-13,1.82633
2021-06-14,3.10476
2021-06-15,3.28739
2021-06-16,3.47003
2021-06-17,3.73567
2021-06-18,3.15457
2021-06-19,1.89274
2021-06-20,1.17881
2021-06-21,2.68968
2021-06-22,2.80591
2021-06-23,2.98854
2021-06-24,3.00514
2021-06-25,2.27461
2021-06-26,1.51087
2021-06-27,1.56068
2021-06-28,2.83911
2021-06-29,2.7561
2021-06-30,2.15839
2021-07-01,2.12518
2021-07-02,1.77652
2021-07-03,1.34484
2021-07-04,0.99618
2021-07-05,2.52365
2021-07-06,3.12136
2021-07-07,2.49045
2021-07-08,2.49045
2021-07-09,1.6603
2021-07-10,1.19541
2021-07-11,1.41125
2021-07-12,2.34102
2021-07-13,2.44064
2021-07-14,2.57346
2021-07-15,2.34102
2021-07-16,2.25801
2021-07-17,1.22862
2021-07-18,1.56068
2021-07-19,2.39083
2021-07-20,2.52365
2021-07-21,2.73949
2021-07-22,2.52365
2021-07-23,1.95915
2021-07-24,1.17881
2021-07-25,1.02938
2021-07-26,2.29121
2021-07-27,2.93873
2021-07-28,2.73949
2021-07-29,2.70629
2021-07-30,2.14178
2021-07-31,1.04599
2021-08-01,1.34484
2021-08-02,2.45724
2021-08-03,2.92213
2021-08-04,2.50705
2021-08-05,3.15457
2021-08-06,2.14178
2021-08-07,1.19541
2021-08-08,1.71011
2021-08-09,2.7893
2021-08-10,3.02174
2021-08-11,2.90552
2021-08-12,2.85571
2021-08-13,2.55686
2021-08-14,1.34484
2021-08-15,1.41125
2021-08-16,1.71011
2021-08-17,2.59007
2021-08-18,2.7561
2021-08-19,2.62327
2021-08-20,2.39083
2021-08-21,1.62709
2021-08-22,1.6935
2021-08-23,2.37423
2021-08-24,2.40743
2021-08-25,2.54026
2021-08-26,2.68968
2021-08-27,2.87232
2021-08-28,1.41125
2021-08-29,1.41125
2021-08-30,2.47385
2021-08-31,2.27461
2021-09-01,2.7893
2021-09-02,2.63988
2021-09-03,2.34102
2021-09-04,1.57728
2021-09-05,1.17881
2021-09-06,2.45724
2021-09-07,2.90552
2021-09-08,2.65648
2021-09-09,2.45724
2021-09-10,2.55686
2021-09-11,1.1456
2021-09-12,1.32824
2021-09-13,2.40743
2021-09-14,2.67308
2021-09-15,2.07537
2021-09-16,2.49045
2021-09-17,1.80972
2021-09-18,1.04599
2021-09-19,0.97957
2021-09-20,0.76373
2021-09-21,1.07919
2021-09-22,0.92976
2021-09-23,2.39083
2021-09-24,2.72289
2021-09-25,1.47766
2021-09-26,1.34484
2021-09-27,2.35762
2021-09-28,2.49045
2021-09-29,2.47385
2021-09-30,2.12518
2021-10-01,2.37423
2021-10-02,1.27843
2021-10-03,1.31163
2021-10-04,1.21202
2021-10-05,2.44064
2021-10-06,3.17117
2021-10-07,2.90552
2021-10-08,1.95915
2021-10-09,1.34484
2021-10-10,1.42785
2021-10-11,1.42785
2021-10-12,2.65648
2021-10-13,1.94255
2021-10-14,2.25801
2021-10-15,2.2248
2021-10-16,1.42785
2021-10-17,2.27461
2021-10-18,2.17499
2021-10-19,2.55686
2021-10-20,2.95533
2021-10-21,3.08816
2021-10-22,2.50705
2021-10-23,0.92976
2021-10-24,1.49427
2021-10-25,2.19159
2021-10-26,2.57346
2021-10-27,2.35762
2021-10-28,2.2082
2021-10-29,2.25801
2021-10-30,1.27843
2021-10-31,1.21202
2021-11-01,2.09198
2021-11-02,2.47385
2021-11-03,2.15839
2021-11-04,2.57346
2021-11-05,1.92595
2021-11-06,1.39465
2021-11-07,1.31163
2021-11-08,2.12518
2021-11-09,2.2414
2021-11-10,2.2248
2021-11-11,2.19159
2021-11-12,2.19159
2021-11-13,1.24522
2021-11-14,1.1456
2021-11-15,1.85953
2021-11-16,2.65648
2021-11-17,2.34102
2021-11-18,2.54026
2021-11-19,2.00896
2021-11-20,0.97957
2021-11-21,1.19541
2021-11-22,2.19159
2021-11-23,2.65648
2021-11-24,2.05877
2021-11-25,1.72671
2021-11-26,2.2248
2021-11-27,0.96297
2021-11-28,1.62709
2021-11-29,2.57346
2021-11-30,2.60667
2021-12-01,2.42404
2021-12-02,2.12518
2021-12-03,2.39083
2021-12-04,1.51087
2021-12-05,1.39465
2021-12-06,2.2414
2021-12-07,2.30782
2021-12-08,2.62327
2021-12-09,2.59007
2021-12-10,3.15457
2021-12-11,1.42785
2021-12-12,1.42785
2021-12-13,2.50705
2021-12-14,3.00514
2021-12-15,2.54026
2021-12-16,2.80591
2021-12-17,2.98854
2021-12-18,1.16221
2021-12-19,1.26182
2021-12-20,2.92213
2021-12-21,2.67308
2021-12-22,2.34102
2021-12-23,2.44064
2021-12-24,1.51087
2021-12-25,1.129
2021-12-26,0.89656
2021-12-27,2.04217
2021-12-28,1.79312
2021-12-29,1.97575
2021-12-30,2.09198
2021-12-31,1.42785
2022-01-01,0.86335
2022-01-02,1.31163
2022-01-03,2.35762
2022-01-04,2.40743
2022-01-05,2.7561
2022-01-06,2.19159
2022-01-07,2.30782
2022-01-08,1.36144
2022-01-09,1.1124
2022-01-10,2.73949
2022-01-11,2.63988
2022-01-12,2.62327
2022-01-13,2.7561
2022-01-14,2.7727
2022-01-15,1.41125
2022-01-16,1.41125
2022-01-17,2.83911
2022-01-18,2.70629
2022-01-19,2.05877
2022-01-20,2.95533
2022-01-21,2.57346
2022-01-22,1.09579
2022-01-23,1.44446
2022-01-24,2.68968
2022-01-25,2.57346
2022-01-26,2.29121
2022-01-27,2.73949
2022-01-28,2.10858
2022-01-29,0.94637
2022-01-30,0.73053
2022-01-31,0.92976
2022-02-01,1.01278
2022-02-02,1.1124
