date,대체투자
2020-03-20,27.9661
2020-03-21,12.14689
2020-03-22,10.16949
2020-03-23,20.90395
2020-03-24,24.57627
2020-03-25,26.27118
2020-03-26,29.9435
2020-03-27,30.79096
2020-03-28,12.99435
2020-03-29,14.97175
2020-03-30,25.70621
2020-03-31,24.29378
2020-04-01,27.40112
2020-04-02,27.68361
2020-04-03,24.01129
2020-04-04,5.08474
2020-04-05,8.19209
2020-04-06,20.62146
2020-04-07,30.22598
2020-04-08,29.9435
2020-04-09,29.66101
2020-04-10,22.31638
2020-04-11,12.71186
2020-04-12,12.42937
2020-04-13,24.85875
2020-04-14,28.24858
2020-04-15,12.71186
2020-04-16,25.42372
2020-04-17,20.90395
2020-04-18,7.34463
2020-04-19,12.42937
2020-04-20,19.20903
2020-04-21,22.88135
2020-04-22,32.48587
2020-04-23,22.59887
2020-04-24,22.88135
2020-04-25,7.34463
2020-04-26,8.47457
2020-04-27,20.33898
2020-04-28,25.70621
2020-04-29,24.29378
2020-04-30,12.14689
2020-05-01,8.19209
2020-05-02,8.47457
2020-05-03,7.9096
2020-05-04,22.03389
2020-05-05,16.10169
2020-05-06,28.53107
2020-05-07,23.72881
2020-05-08,18.36158
2020-05-09,10.16949
2020-05-10,7.62711
2020-05-11,25.14124
2020-05-12,23.16384
2020-05-13,22.88135
2020-05-14,21.46892
2020-05-15,30.79096
2020-05-16,10.73446
2020-05-17,10.73446
2020-05-18,26.55367
2020-05-19,28.53107
2020-05-20,24.85875
2020-05-21,22.59887
2020-05-22,24.57627
2020-05-23,9.60451
2020-05-24,7.06214
2020-05-25,26.27118
2020-05-26,25.70621
2020-05-27,28.53107
2020-05-28,25.42372
2020-05-29,27.68361
2020-05-30,11.58192
2020-05-31,16.66666
2020-06-01,26.83615
2020-06-02,31.35593
2020-06-03,29.37853
2020-06-04,23.72881
2020-06-05,17.23163
2020-06-06,12.14689
2020-06-07,11.01694
2020-06-08,24.01129
2020-06-09,32.76836
2020-06-10,21.18644
2020-06-11,30.50847
2020-06-12,26.27118
2020-06-13,9.887
2020-06-14,21.75141
2020-06-15,32.48587
2020-06-16,28.24858
2020-06-17,25.70621
2020-06-18,29.09604
2020-06-19,27.40112
2020-06-20,10.16949
2020-06-21,11.8644
2020-06-22,22.03389
2020-06-23,21.75141
2020-06-24,24.85875
2020-06-25,22.88135
2020-06-26,27.68361
2020-06-27,12.14689
2020-06-28,13.27683
2020-06-29,32.48587
2020-06-30,27.9661
2020-07-01,30.79096
2020-07-02,26.55367
2020-07-03,24.01129
2020-07-04,6.77966
2020-07-05,12.71186
2020-07-06,23.16384
2020-07-07,27.9661
2020-07-08,25.42372
2020-07-09,21.75141
2020-07-10,19.49152
2020-07-11,9.887
2020-07-12,18.92655
2020-07-13,26.27118
2020-07-14,24.85875
2020-07-15,26.27118
2020-07-16,25.42372
2020-07-17,26.55367
2020-07-18,6.21468
2020-07-19,9.32203
2020-07-20,28.53107
2020-07-21,22.31638
2020-07-22,25.14124
2020-07-23,28.24858
2020-07-24,27.11864
2020-07-25,15.25423
2020-07-26,8.75706
2020-07-27,24.01129
2020-07-28,26.83615
2020-07-29,20.05649
2020-07-30,28.53107
2020-07-31,15.25423
2020-08-01,5.9322
2020-08-02,6.77966
2020-08-03,24.29378
2020-08-04,21.46892
2020-08-05,22.31638
2020-08-06,26.27118
2020-08-07,25.9887
2020-08-08,9.60451
2020-08-09,10.16949
2020-08-10,26.83615
2020-08-11,30.22598
2020-08-12,25.42372
2020-08-13,20.62146
2020-08-14,23.72881
2020-08-15,6.21468
2020-08-16,7.06214
2020-08-17,11.29943
2020-08-18,29.66101
2020-08-19,26.27118
2020-08-20,30.22598
2020-08-21,19.77401
2020-08-22,10.73446
2020-08-23,6.77966
2020-08-24,20.90395
2020-08-25,20.90395
2020-08-26,23.72881
2020-08-27,31.35593
2020-08-28,15.8192
2020-08-29,8.75706
2020-08-30,10.16949
2020-08-31,25.9887
2020-09-01,34.18079
2020-09-02,22.88135
2020-09-03,28.53107
2020-09-04,19.77401
2020-09-05,9.03954
2020-09-06,11.8644
2020-09-07,28.81355
2020-09-08,25.42372
2020-09-09,26.55367
2020-09-10,25.42372
2020-09-11,25.14124
2020-09-12,12.71186
2020-09-13,11.29943
2020-09-14,27.68361
2020-09-15,24.01129
2020-09-16,26.55367
2020-09-17,38.41807
2020-09-18,45.76271
2020-09-19,18.36158
2020-09-20,17.51412
2020-09-21,27.40112
2020-09-22,35.02824
2020-09-23,22.31638
2020-09-24,24.85875
2020-09-25,20.33898
2020-09-26,6.77966
2020-09-27,9.60451
2020-09-28,21.75141
2020-09-29,16.94915
2020-09-30,12.14689
2020-10-01,6.49717
2020-10-02,5.36723
2020-10-03,7.06214
2020-10-04,10.16949
2020-10-05,25.14124
2020-10-06,29.09604
2020-10-07,26.27118
2020-10-08,23.72881
2020-10-09,9.60451
2020-10-10,11.29943
2020-10-11,15.53672
2020-10-12,27.11864
2020-10-13,27.11864
2020-10-14,27.40112
2020-10-15,25.9887
2020-10-16,22.03389
2020-10-17,11.01694
2020-10-18,11.58192
2020-10-19,25.70621
2020-10-20,29.37853
2020-10-21,28.53107
2020-10-22,25.14124
2020-10-23,29.09604
2020-10-24,7.9096
2020-10-25,9.32203
2020-10-26,27.9661
2020-10-27,22.88135
2020-10-28,29.66101
2020-10-29,33.8983
2020-10-30,23.44632
2020-10-31,11.8644
2020-11-01,8.47457
2020-11-02,21.46892
2020-11-03,23.16384
2020-11-04,25.14124
2020-11-05,22.59887
2020-11-06,35.02824
2020-11-07,11.01694
2020-11-08,12.14689
2020-11-09,23.72881
