date,비트코인사는법
2020-03-20,2.38574
2020-03-21,1.49468
2020-03-22,0.97729
2020-03-23,1.81086
2020-03-24,2.70192
2020-03-25,2.21327
2020-03-26,1.32221
2020-03-27,2.06956
2020-03-28,1.23598
2020-03-29,0.9198
2020-03-30,1.32221
2020-03-31,1.52342
2020-04-01,1.35096
2020-04-02,1.3797
2020-04-03,0.80482
2020-04-04,0.89106
2020-04-05,0.48864
2020-04-06,1.78212
2020-04-07,1.78212
2020-04-08,1.78212
2020-04-09,1.3797
2020-04-10,0.9198
2020-04-11,0.77608
2020-04-12,0.97729
2020-04-13,1.60965
2020-04-14,1.06352
2020-04-15,0.63236
2020-04-16,0.43115
2020-04-17,0.60362
2020-04-18,1.00603
2020-04-19,0.28743
2020-04-20,0.48864
2020-04-21,0.71859
2020-04-22,0.37367
2020-04-23,0.28743
2020-04-24,0.60362
2020-04-25,0.89106
2020-04-26,0.6611
2020-04-27,0.77608
2020-04-28,1.20724
2020-04-29,1.86835
2020-04-30,2.5582
2020-05-01,1.49468
2020-05-02,0.74734
2020-05-03,0.57487
2020-05-04,0.77608
2020-05-05,0.68985
2020-05-06,0.57487
2020-05-07,0.9198
2020-05-08,1.03478
2020-05-09,1.03478
2020-05-10,0.74734
2020-05-11,1.17849
2020-05-12,1.06352
2020-05-13,0.86231
2020-05-14,1.00603
2020-05-15,0.97729
2020-05-16,0.77608
2020-05-17,0.6611
2020-05-18,0.77608
2020-05-19,0.86231
2020-05-20,0.9198
2020-05-21,0.80482
2020-05-22,1.09226
2020-05-23,0.9198
2020-05-24,0.74734
2020-05-25,0.83357
2020-05-26,0.74734
2020-05-27,0.71859
2020-05-28,0.74734
2020-05-29,0.63236
2020-05-30,0.43115
2020-05-31,0.83357
2020-06-01,0.89106
2020-06-02,0.80482
2020-06-03,1.29347
2020-06-04,0.80482
2020-06-05,0.77608
2020-06-06,0.40241
2020-06-07,0.28743
2020-06-08,0.63236
2020-06-09,0.43115
2020-06-10,0.54613
2020-06-11,0.28743
2020-06-12,0.60362
2020-06-13,0.28743
2020-06-14,0.37367
2020-06-15,0.40241
2020-06-16,0.48864
2020-06-17,0.28743
2020-06-18,0.60362
2020-06-19,0.43115
2020-06-20,0.37367
2020-06-21,0.43115
2020-06-22,0.31618
2020-06-23,0.60362
2020-06-24,0.48864
2020-06-25,0.37367
2020-06-26,1.89709
2020-06-27,0.86231
2020-06-28,0.9198
2020-06-29,0.89106
2020-06-30,0.48864
2020-07-01,0.57487
2020-07-02,0.43115
2020-07-03,0.83357
2020-07-04,0.25869
2020-07-05,0.9198
2020-07-06,0.25869
2020-07-07,0.37367
2020-07-08,0.51739
2020-07-09,1.00603
2020-07-10,0.57487
