date,국세
2020-03-20,4.85628
2020-03-21,2.4687
2020-03-22,1.9935
2020-03-23,5.40101
2020-03-24,6.1312
2020-03-25,7.01205
2020-03-26,6.52526
2020-03-27,6.21233
2020-03-28,1.83124
2020-03-29,2.08623
2020-03-30,6.57162
2020-03-31,6.67593
2020-04-01,5.91098
2020-04-02,6.80343
2020-04-03,5.52851
2020-04-04,2.07464
2020-04-05,2.01668
2020-04-06,5.82985
2020-04-07,5.47056
2020-04-08,5.58646
2020-04-09,5.50533
2020-04-10,4.76356
2020-04-11,1.92396
2020-04-12,2.42234
2020-04-13,5.48215
2020-04-14,4.64765
2020-04-15,1.94714
2020-04-16,4.90264
2020-04-17,3.96383
2020-04-18,1.61103
2020-04-19,1.70375
2020-04-20,4.93741
2020-04-21,4.96059
2020-04-22,5.47056
2020-04-23,4.949
2020-04-24,4.16087
2020-04-25,1.6458
2020-04-26,1.81965
2020-04-27,4.99536
2020-04-28,4.80992
2020-04-29,4.49698
2020-04-30,1.98191
2020-05-01,2.63096
2020-05-02,1.84283
2020-05-03,1.90078
2020-05-04,4.23041
2020-05-05,2.50347
2020-05-06,4.76356
2020-05-07,5.4242
2020-05-08,4.8331
2020-05-09,1.91237
2020-05-10,1.98191
2020-05-11,5.52851
2020-05-12,4.949
2020-05-13,5.11126
2020-05-14,4.60129
2020-05-15,3.98701
2020-05-16,1.80806
2020-05-17,1.86601
2020-05-18,5.33147
2020-05-19,5.48215
2020-05-20,4.69401
2020-05-21,3.84793
2020-05-22,3.54659
2020-05-23,1.97032
2020-05-24,1.57626
2020-05-25,7.61474
2020-05-26,8.51877
2020-05-27,5.03013
2020-05-28,4.36949
2020-05-29,3.535
2020-05-30,2.16736
2020-05-31,1.63421
2020-06-01,3.94065
2020-06-02,3.82475
2020-06-03,3.56977
2020-06-04,3.36114
2020-06-05,3.26842
2020-06-06,1.40241
2020-06-07,1.43718
2020-06-08,4.02178
2020-06-09,4.32313
2020-06-10,4.77515
2020-06-11,3.59295
2020-06-12,2.96708
2020-06-13,1.48354
2020-06-14,1.29809
2020-06-15,4.14928
2020-06-16,3.9986
2020-06-17,3.67408
2020-06-18,3.74362
2020-06-19,3.61613
2020-06-20,1.54149
2020-06-21,1.47195
2020-06-22,3.81316
2020-06-23,4.13769
2020-06-24,4.18405
2020-06-25,4.16087
2020-06-26,3.37273
2020-06-27,2.10941
2020-06-28,1.22855
2020-06-29,4.25359
2020-06-30,4.33472
2020-07-01,4.33472
2020-07-02,3.51182
2020-07-03,2.83959
2020-07-04,1.47195
2020-07-05,1.2865
2020-07-06,4.40426
2020-07-07,4.60129
2020-07-08,4.13769
2020-07-09,4.29995
2020-07-10,5.08808
2020-07-11,1.50672
2020-07-12,1.59944
2020-07-13,3.77839
2020-07-14,5.40101
2020-07-15,5.08808
2020-07-16,4.89105
2020-07-17,3.98701
2020-07-18,1.90078
2020-07-19,1.59944
2020-07-20,5.12285
2020-07-21,5.03013
2020-07-22,5.16921
2020-07-23,5.11126
2020-07-24,4.90264
2020-07-25,1.93555
2020-07-26,1.94714
2020-07-27,6.43254
2020-07-28,4.41585
2020-07-29,3.7668
2020-07-30,4.39267
2020-07-31,3.9986
2020-08-01,1.24014
2020-08-02,1.14742
2020-08-03,3.31478
2020-08-04,3.25683
2020-08-05,3.25683
2020-08-06,3.1757
2020-08-07,3.08298
