date,주식거래세
2020-03-20,18.78078
2020-03-21,7.75862
2020-03-22,5.48029
2020-03-23,15.76354
2020-03-24,19.88916
2020-03-25,21.24384
2020-03-26,24.93842
2020-03-27,20.75123
2020-03-28,6.34236
2020-03-29,7.88177
2020-03-30,19.02709
2020-03-31,17.85714
2020-04-01,16.00985
2020-04-02,19.39655
2020-04-03,19.64285
2020-04-04,7.266
2020-04-05,6.15763
2020-04-06,18.2266
2020-04-07,17.54926
2020-04-08,18.71921
2020-04-09,16.68719
2020-04-10,14.96305
2020-04-11,6.65024
2020-04-12,4.98768
2020-04-13,12.25369
2020-04-14,15.82512
2020-04-15,5.17241
2020-04-16,12.06896
2020-04-17,16.31773
2020-04-18,7.08128
2020-04-19,5.35714
2020-04-20,15.20935
2020-04-21,12.7463
2020-04-22,12.19211
2020-04-23,14.28571
2020-04-24,11.88423
2020-04-25,10.03694
2020-04-26,8.55911
2020-04-27,15.76354
2020-04-28,12.68472
2020-04-29,13.36206
2020-04-30,7.14285
2020-05-01,5.7266
2020-05-02,5.35714
2020-05-03,4.80295
2020-05-04,11.02216
2020-05-05,6.34236
2020-05-06,11.6995
2020-05-07,9.91379
2020-05-08,11.39162
2020-05-09,5.48029
2020-05-10,3.01724
2020-05-11,9.85221
2020-05-12,10.96059
2020-05-13,12.86945
2020-05-14,12.13054
2020-05-15,13.66995
2020-05-16,5.23399
2020-05-17,9.23645
2020-05-18,14.71674
2020-05-19,16.44088
2020-05-20,13.54679
2020-05-21,15.27093
2020-05-22,13.05418
2020-05-23,5.84975
2020-05-24,5.04926
2020-05-25,12.56157
2020-05-26,17.11822
2020-05-27,13.42364
2020-05-28,12.43842
2020-05-29,12.37684
2020-05-30,5.60344
2020-05-31,4.61822
2020-06-01,13.05418
2020-06-02,15.02463
2020-06-03,13.91625
2020-06-04,12.13054
2020-06-05,15.82512
2020-06-06,5.9729
2020-06-07,5.29556
2020-06-08,12.80788
2020-06-09,12.13054
2020-06-10,13.30049
2020-06-11,14.77832
2020-06-12,12.62315
2020-06-13,6.34236
2020-06-14,4.86453
2020-06-15,23.02955
2020-06-16,39.47044
2020-06-17,27.40147
2020-06-18,19.58128
2020-06-19,18.84236
2020-06-20,7.51231
2020-06-21,16.37931
2020-06-22,28.81773
2020-06-23,29.6798
2020-06-24,33.62068
2020-06-25,100.0
2020-06-26,74.13793
2020-06-27,24.26108
2020-06-28,19.27339
2020-06-29,32.14285
2020-06-30,32.0197
2020-07-01,28.01724
2020-07-02,27.09359
2020-07-03,29.43349
2020-07-04,15.76354
2020-07-05,12.00738
2020-07-06,29.61822
2020-07-07,29.49507
2020-07-08,28.87931
2020-07-09,28.07881
2020-07-10,22.59852
2020-07-11,9.1133
2020-07-12,7.75862
2020-07-13,25.0
2020-07-14,21.67487
2020-07-15,23.02955
2020-07-16,17.79556
2020-07-17,33.55911
2020-07-18,19.08866
2020-07-19,9.72906
2020-07-20,20.38177
2020-07-21,29.55665
2020-07-22,73.33743
2020-07-23,49.32266
2020-07-24,27.40147
2020-07-25,10.4064
2020-07-26,12.31527
2020-07-27,19.766
2020-07-28,27.83251
2020-07-29,26.78571
2020-07-30,26.10837
2020-07-31,23.1527
2020-08-01,9.60591
2020-08-02,8.43596
2020-08-03,19.766
2020-08-04,21.49014
2020-08-05,23.9532
2020-08-06,27.95566
2020-08-07,25.43103
2020-08-08,8.86699
2020-08-09,9.66748
2020-08-10,23.52216
2020-08-11,25.80049
2020-08-12,26.78571
2020-08-13,23.33743
2020-08-14,21.67487
2020-08-15,8.00492
2020-08-16,7.69704
2020-08-17,6.28078
2020-08-18,18.65763
2020-08-19,17.91871
2020-08-20,18.04187
2020-08-21,19.45812
2020-08-22,7.69704
2020-08-23,5.29556
2020-08-24,15.76354
2020-08-25,20.13546
2020-08-26,20.13546
2020-08-27,22.9064
2020-08-28,21.42857
2020-08-29,9.29802
2020-08-30,7.32758
2020-08-31,18.4729
2020-09-01,18.71921
2020-09-02,24.87684
2020-09-03,22.04433
2020-09-04,20.01231
2020-09-05,9.3596
2020-09-06,6.83497
2020-09-07,23.76847
2020-09-08,30.11083
2020-09-09,25.55418
2020-09-10,52.89408
2020-09-11,69.45812
2020-09-12,28.44827
2020-09-13,20.68965
2020-09-14,55.60344
2020-09-15,36.39162
2020-09-16,29.55665
2020-09-17,23.9532
2020-09-18,21.98275
2020-09-19,10.52955
2020-09-20,8.86699
