date,CPA광고
2020-03-20,40.0
2020-03-21,6.66666
2020-03-22,17.77777
2020-03-23,64.44444
2020-03-24,44.44444
2020-03-25,56.66666
2020-03-26,62.22222
2020-03-27,52.22222
2020-03-28,25.55555
2020-03-29,35.55555
2020-03-30,47.77777
2020-03-31,72.22222
2020-04-01,57.77777
2020-04-02,67.77777
2020-04-03,42.22222
2020-04-04,18.88888
2020-04-05,11.11111
2020-04-06,51.11111
2020-04-07,77.77777
2020-04-08,83.33333
2020-04-09,77.77777
2020-04-10,100.0
2020-04-11,61.11111
2020-04-12,74.44444
2020-04-13,93.33333
2020-04-14,85.55555
2020-04-15,26.66666
2020-04-16,65.55555
2020-04-17,53.33333
2020-04-18,15.55555
2020-04-19,35.55555
2020-04-20,61.11111
2020-04-21,65.55555
2020-04-22,58.88888
2020-04-23,57.77777
2020-04-24,48.88888
2020-04-25,12.22222
2020-04-26,17.77777
2020-04-27,42.22222
2020-04-28,66.66666
2020-04-29,33.33333
2020-04-30,7.77777
2020-05-01,22.22222
2020-05-03,22.22222
2020-05-04,42.22222
2020-05-05,25.55555
2020-05-06,47.77777
2020-05-07,46.66666
2020-05-08,43.33333
2020-05-09,11.11111
2020-05-10,11.11111
2020-05-11,56.66666
2020-05-12,72.22222
2020-05-13,53.33333
2020-05-14,57.77777
2020-05-15,42.22222
2020-05-16,8.88888
2020-05-17,17.77777
2020-05-18,58.88888
2020-05-19,53.33333
2020-05-20,75.55555
2020-05-21,58.88888
2020-05-22,41.11111
2020-05-23,26.66666
2020-05-24,33.33333
2020-05-25,61.11111
2020-05-26,64.44444
2020-05-27,33.33333
2020-05-28,33.33333
2020-05-29,26.66666
2020-05-30,6.66666
2020-05-31,16.66666
2020-06-01,54.44444
2020-06-02,45.55555
2020-06-03,62.22222
2020-06-04,50.0
2020-06-05,47.77777
2020-06-07,14.44444
2020-06-08,44.44444
2020-06-09,48.88888
2020-06-10,48.88888
2020-06-11,48.88888
2020-06-12,47.77777
2020-06-13,14.44444
2020-06-14,16.66666
2020-06-15,50.0
2020-06-16,53.33333
2020-06-17,65.55555
2020-06-18,57.77777
2020-06-19,33.33333
2020-06-20,12.22222
2020-06-21,17.77777
2020-06-22,52.22222
2020-06-23,52.22222
2020-06-24,42.22222
2020-06-25,45.55555
2020-06-26,36.66666
2020-06-27,5.55555
2020-06-28,7.77777
2020-06-29,60.0
2020-06-30,56.66666
2020-07-01,70.0
2020-07-02,56.66666
2020-07-03,38.88888
2020-07-04,20.0
2020-07-05,13.33333
2020-07-06,54.44444
2020-07-07,51.11111
2020-07-08,54.44444
2020-07-09,52.22222
2020-07-10,61.11111
2020-07-11,11.11111
2020-07-12,6.66666
2020-07-13,61.11111
2020-07-14,32.22222
2020-07-15,51.11111
2020-07-16,60.0
2020-07-17,53.33333
2020-07-18,5.55555
2020-07-19,11.11111
2020-07-20,46.66666
2020-07-21,62.22222
2020-07-22,60.0
2020-07-23,56.66666
2020-07-24,50.0
2020-07-25,11.11111
2020-07-26,21.11111
2020-07-27,41.11111
2020-07-28,45.55555
2020-07-29,54.44444
2020-07-30,47.77777
2020-07-31,34.44444
2020-08-01,16.66666
2020-08-02,16.66666
2020-08-03,48.88888
2020-08-04,52.22222
2020-08-05,40.0
2020-08-06,68.88888
2020-08-07,43.33333
