date,배당주순위
2020-03-20,1.56547
2020-03-21,1.6924
2020-03-22,2.28474
2020-03-23,2.00973
2020-03-24,2.24243
2020-03-25,1.86164
2020-03-26,1.39623
2020-03-27,1.24814
2020-03-28,0.52887
2020-03-29,0.76158
2020-03-30,1.14237
2020-03-31,0.82504
2020-04-01,1.22699
2020-04-02,0.80389
2020-04-03,0.88851
2020-04-04,0.67696
2020-04-05,0.93082
2020-04-06,1.22699
2020-04-07,1.18468
2020-04-08,0.80389
2020-04-09,1.12121
2020-04-10,0.97313
2020-04-11,0.63465
2020-04-12,0.67696
2020-04-13,0.8462
2020-04-14,0.95197
2020-04-15,0.46541
2020-04-16,0.61349
2020-04-17,0.57118
2020-04-18,0.50772
2020-04-19,0.67696
2020-04-20,0.48656
2020-04-21,0.35963
2020-04-22,0.74042
2020-04-23,0.57118
2020-04-24,0.48656
2020-04-25,0.38079
2020-04-26,0.38079
2020-04-27,0.61349
2020-04-28,0.63465
2020-04-29,0.78273
2020-04-30,0.44425
2020-05-01,0.38079
2020-05-02,0.12693
2020-05-03,0.19039
2020-05-04,0.4231
2020-05-05,0.33848
2020-05-06,0.38079
2020-05-07,0.44425
2020-05-08,0.31732
2020-05-09,0.33848
2020-05-10,0.29617
2020-05-11,0.21155
2020-05-12,0.46541
2020-05-13,0.44425
2020-05-14,0.52887
2020-05-15,0.46541
2020-05-16,0.21155
2020-05-17,0.16924
2020-05-18,0.4231
2020-05-19,0.71927
2020-05-20,0.63465
2020-05-21,0.69811
2020-05-22,0.74042
2020-05-23,0.50772
2020-05-24,0.57118
2020-05-25,0.74042
2020-05-26,0.63465
2020-05-27,0.50772
2020-05-28,0.93082
2020-05-29,1.54431
2020-05-30,0.55003
2020-05-31,0.61349
2020-06-01,1.03659
2020-06-02,1.16352
2020-06-03,1.03659
2020-06-04,0.95197
2020-06-05,1.10006
2020-06-06,0.40194
2020-06-07,0.80389
2020-06-08,1.0789
2020-06-09,0.69811
2020-06-10,0.6558
2020-06-11,0.55003
2020-06-12,0.8462
2020-06-13,0.33848
2020-06-14,0.67696
2020-06-15,0.55003
2020-06-16,0.61349
2020-06-17,0.33848
2020-06-18,0.76158
2020-06-19,0.8462
2020-06-20,0.31732
2020-06-21,0.46541
2020-06-22,0.35963
2020-06-23,0.63465
2020-06-24,0.76158
2020-06-25,0.6558
2020-06-26,0.35963
2020-06-27,0.10577
2020-06-28,0.4231
2020-06-29,0.33848
2020-06-30,0.2327
2020-07-01,0.16924
2020-07-02,0.71927
2020-07-03,1.77702
2020-07-04,1.10006
2020-07-05,2.03088
2020-07-06,3.55405
2020-07-07,2.3059
2020-07-08,1.71356
2020-07-09,1.54431
2020-07-10,0.97313
2020-07-11,1.10006
2020-07-12,0.67696
2020-07-13,0.99428
2020-07-14,0.80389
2020-07-15,0.93082
2020-07-16,0.93082
2020-07-17,1.05775
2020-07-18,0.63465
2020-07-19,1.20583
2020-07-20,1.03659
2020-07-21,1.24814
2020-07-22,1.56547
2020-07-23,1.6924
2020-07-24,1.12121
2020-07-25,0.74042
2020-07-26,0.99428
2020-07-27,0.95197
2020-07-28,1.62894
2020-07-29,1.48085
2020-07-30,1.45969
2020-07-31,1.2693
2020-08-01,0.74042
2020-08-02,0.35963
2020-08-03,0.95197
2020-08-04,1.0789
2020-08-05,1.60778
2020-08-06,2.41167
2020-08-07,2.05204
2020-08-08,2.26359
2020-08-09,2.26359
2020-08-10,3.3425
2020-08-11,3.30019
2020-08-12,2.87708
2020-08-13,2.79246
2020-08-14,4.48487
2020-08-15,4.71757
2020-08-16,5.39454
2020-08-17,9.16014
2020-08-18,9.24476
2020-08-19,11.55066
2020-08-20,13.70848
2020-08-21,11.88914
2020-08-22,9.32938
2020-08-23,11.4872
2020-08-24,15.54897
2020-08-25,16.67019
2020-08-26,26.1265
2020-08-27,17.5587
2020-08-28,15.95092
2020-08-29,13.15845
2020-08-30,16.26824
2020-08-31,17.41061
2020-09-01,17.89718
2020-09-02,18.80685
2020-09-03,24.83604
2020-09-04,18.80685
2020-09-05,17.41061
2020-09-06,17.91834
2020-09-07,22.9744
2020-09-08,20.73196
2020-09-09,19.4415
2020-09-10,21.34546
2020-09-11,21.28199
2020-09-12,16.35286
2020-09-13,16.41633
2020-09-14,22.29744
2020-09-15,21.45123
2020-09-16,21.85318
2020-09-17,19.77998
2020-09-18,20.62618
2020-09-19,14.99894
2020-09-20,29.469
2020-09-21,26.23228
2020-09-22,26.21112
2020-09-23,24.18024
2020-09-24,20.81658
2020-09-25,17.00867
2020-09-26,14.17389
2020-09-27,13.64501
2020-09-28,14.4066
2020-09-29,15.86629
2020-09-30,11.74106
2020-10-01,11.08525
2020-10-02,11.50835
2020-10-03,17.17791
2020-10-04,20.56272
2020-10-05,25.91495
2020-10-06,22.00126
2020-10-07,23.6302
2020-10-08,21.00698
2020-10-09,13.15845
2020-10-10,14.19504
2020-10-11,17.7491
2020-10-12,27.71313
2020-10-13,23.73598
2020-10-14,22.76285
2020-10-15,19.97038
2020-10-16,16.88174
2020-10-17,12.73535
2020-10-18,14.42775
2020-10-19,20.4781
2020-10-20,22.86862
2020-10-21,29.91326
2020-10-22,26.74
2020-10-23,28.17854
2020-10-24,15.80283
2020-10-25,15.6759
2020-10-26,19.92807
2020-10-27,19.14533
2020-10-28,19.56843
2020-10-29,16.75481
2020-10-30,16.2894
2020-10-31,9.8371
2020-11-01,10.11212
2020-11-02,15.0624
2020-11-03,16.54326
2020-11-04,14.8297
2020-11-05,20.73196
2020-11-06,18.12989
2020-11-07,14.30082
2020-11-08,12.43917
2020-11-09,19.94922
2020-11-10,22.65707
2020-11-11,26.52845
2020-11-12,25.63994
2020-11-13,24.49756
2020-11-14,14.47006
2020-11-15,14.59699
2020-11-16,32.59995
2020-11-17,32.34609
2020-11-18,36.72519
2020-11-19,30.63253
