date,현대차주가
2020-03-20,8.0289
2020-03-21,1.17945
2020-03-22,0.98927
2020-03-23,8.10961
2020-03-24,8.11793
2020-03-25,9.21813
2020-03-26,9.65821
2020-03-27,8.20226
2020-03-28,1.21347
2020-03-29,0.87129
2020-03-30,7.11545
2020-03-31,6.52916
2020-04-01,6.87424
2020-04-02,6.42566
2020-04-03,5.07194
2020-04-04,0.83148
2020-04-05,0.65342
2020-04-06,5.11211
2020-04-07,5.96911
2020-04-08,5.50587
2020-04-09,7.45401
2020-04-10,7.53291
2020-04-11,0.97515
2020-04-12,0.82677
2020-04-13,5.92604
2020-04-14,5.65172
2020-04-15,0.95398
2020-04-16,5.00028
2020-04-17,5.63
2020-04-18,0.79167
2020-04-19,0.58303
2020-04-20,5.59309
2020-04-21,6.42547
2020-04-22,7.52097
2020-04-23,6.09922
2020-04-24,5.36871
2020-04-25,0.75548
2020-04-26,0.5937
2020-04-27,4.8928
2020-04-28,4.68561
2020-04-29,4.30126
2020-04-30,0.68635
2020-05-01,0.76271
2020-05-02,0.39918
2020-05-03,0.43682
2020-05-04,3.82354
2020-05-05,0.69757
2020-05-06,4.13931
2020-05-07,3.64313
2020-05-08,3.64386
2020-05-09,0.59497
2020-05-10,0.5025
2020-05-11,4.032
2020-05-12,3.70104
2020-05-13,3.99581
2020-05-14,3.78518
2020-05-15,3.44607
2020-05-16,0.48386
2020-05-17,0.40913
2020-05-18,3.37116
2020-05-19,5.86217
2020-05-20,4.72578
2020-05-21,4.33618
2020-05-22,4.03001
2020-05-23,0.53218
2020-05-24,0.45944
2020-05-25,3.98296
2020-05-26,4.62969
2020-05-27,4.36297
2020-05-28,4.17278
2020-05-29,3.8534
2020-05-30,0.48676
2020-05-31,0.40316
2020-06-01,4.59223
2020-06-02,4.83598
2020-06-03,6.41335
2020-06-04,5.96079
2020-06-05,5.3783
2020-06-06,0.67513
2020-06-07,0.59823
2020-06-08,5.24674
2020-06-09,5.03231
2020-06-10,4.51026
2020-06-11,4.57106
2020-06-12,4.73012
2020-06-13,0.53435
2020-06-14,0.40569
2020-06-15,5.05511
2020-06-16,4.83001
2020-06-17,4.4368
2020-06-18,3.96324
2020-06-19,3.59627
2020-06-20,0.43446
2020-06-21,0.3429
2020-06-22,3.61689
2020-06-23,3.74049
2020-06-24,4.21585
2020-06-25,3.69489
2020-06-26,3.39052
2020-06-27,0.4104
2020-06-28,0.31431
2020-06-29,3.34836
2020-06-30,3.31923
2020-07-01,3.16922
2020-07-02,3.04001
2020-07-03,2.86123
2020-07-04,0.3695
2020-07-05,0.34254
2020-07-06,4.0083
2020-07-07,3.93302
2020-07-08,3.45168
2020-07-09,3.25282
2020-07-10,3.03332
2020-07-11,0.42107
2020-07-12,0.361
2020-07-13,3.91836
2020-07-14,3.67932
2020-07-15,5.84136
2020-07-16,5.59526
2020-07-17,13.61223
2020-07-18,1.01171
2020-07-19,0.87997
2020-07-20,7.80615
2020-07-21,7.82262
2020-07-22,6.57368
2020-07-23,7.16177
2020-07-24,6.70577
2020-07-25,0.79257
2020-07-26,0.75493
2020-07-27,6.14554
2020-07-28,6.05
2020-07-29,6.05977
2020-07-30,6.78195
2020-07-31,5.75468
2020-08-01,0.66048
2020-08-02,0.59407
2020-08-03,5.60449
2020-08-04,6.61258
2020-08-05,6.7939
2020-08-06,9.58402
2020-08-07,9.18303
2020-08-08,1.30901
2020-08-09,1.21673
2020-08-10,27.42007
2020-08-11,26.58243
2020-08-12,18.19053
2020-08-13,16.08658
2020-08-14,14.63009
2020-08-15,1.68485
2020-08-16,1.28639
2020-08-17,2.6725
2020-08-18,14.51645
2020-08-19,13.42385
2020-08-20,14.67171
2020-08-21,13.34025
2020-08-22,1.52073
2020-08-23,1.17656
2020-08-24,12.39151
2020-08-25,13.48936
2020-08-26,13.07914
2020-08-27,12.44942
2020-08-28,15.47967
2020-08-29,1.92697
2020-08-30,1.64486
2020-08-31,16.21542
2020-09-01,14.25298
2020-09-02,14.01177
2020-09-03,13.19839
2020-09-04,13.10592
2020-09-05,1.56289
2020-09-06,1.19483
2020-09-07,11.77392
2020-09-08,11.69104
2020-09-09,11.61197
2020-09-10,10.61835
2020-09-11,10.08417
2020-09-12,1.35118
2020-09-13,1.26215
2020-09-14,13.77056
2020-09-15,13.73473
2020-09-16,14.72183
2020-09-17,15.57322
2020-09-18,12.77948
2020-09-19,1.62586
2020-09-20,1.36366
2020-09-21,13.53261
2020-09-22,13.64353
2020-09-23,13.87986
2020-09-24,13.60969
2020-09-25,12.16098
2020-09-26,1.65988
2020-09-27,1.15575
2020-09-28,10.75931
2020-09-29,9.23804
2020-09-30,1.11557
2020-10-01,1.22089
2020-10-02,1.29743
2020-10-03,1.02926
2020-10-04,1.09929
