date,자동차보험비교견적사이트
2020-03-20,11.15591
2020-03-21,7.52688
2020-03-22,9.00537
2020-03-23,18.01075
2020-03-24,14.51612
2020-03-25,16.26344
2020-03-26,17.60752
2020-03-27,12.6344
2020-03-28,7.9301
2020-03-29,9.13978
2020-03-30,12.09677
2020-03-31,17.47311
2020-04-01,15.99462
2020-04-02,15.7258
2020-04-03,9.27419
2020-04-04,5.10752
2020-04-05,6.98924
2020-04-06,15.18817
2020-04-07,15.7258
2020-04-08,12.5
2020-04-09,12.6344
2020-04-10,12.09677
2020-04-11,8.33333
2020-04-12,8.73655
2020-04-13,12.36559
2020-04-14,12.36559
2020-04-15,7.9301
2020-04-16,10.61827
2020-04-17,13.70967
2020-04-18,9.54301
2020-04-19,7.9301
2020-04-20,19.08602
2020-04-21,14.24731
2020-04-22,14.1129
2020-04-23,13.44086
2020-04-24,16.12903
2020-04-25,6.3172
2020-04-26,6.04838
2020-04-27,17.3387
2020-04-28,13.57526
2020-04-29,8.87096
2020-04-30,6.85483
2020-05-01,9.54301
2020-05-02,4.7043
2020-05-03,6.3172
2020-05-04,16.39784
2020-05-05,10.08064
2020-05-06,18.54838
2020-05-07,14.38172
2020-05-08,13.03763
2020-05-09,6.85483
2020-05-10,6.98924
2020-05-11,16.12903
2020-05-12,13.57526
2020-05-13,13.44086
2020-05-14,15.59139
2020-05-15,13.44086
2020-05-16,8.19892
2020-05-17,9.81182
2020-05-18,16.26344
2020-05-19,14.78494
2020-05-20,14.51612
2020-05-21,14.24731
2020-05-22,13.57526
2020-05-23,8.33333
2020-05-24,9.27419
2020-05-25,16.39784
2020-05-26,17.06989
2020-05-27,10.88709
2020-05-28,15.99462
2020-05-29,13.03763
2020-05-30,6.72043
2020-05-31,6.72043
2020-06-01,16.26344
2020-06-02,17.47311
2020-06-03,15.7258
2020-06-04,11.82795
2020-06-05,11.96236
2020-06-06,7.12365
2020-06-07,6.3172
2020-06-08,15.32258
2020-06-09,21.50537
2020-06-10,12.76881
2020-06-11,16.12903
2020-06-12,13.70967
2020-06-13,8.19892
2020-06-14,6.3172
2020-06-15,16.66666
2020-06-16,14.91935
2020-06-17,12.76881
2020-06-18,14.38172
2020-06-19,11.42473
2020-06-20,8.46774
2020-06-21,6.72043
2020-06-22,17.87634
2020-06-23,14.51612
2020-06-24,16.12903
2020-06-25,15.45698
2020-06-26,12.76881
2020-06-27,9.27419
2020-06-28,7.52688
2020-06-29,16.80107
2020-06-30,16.53225
2020-07-01,18.14516
2020-07-02,15.45698
2020-07-03,10.21505
2020-07-04,7.25806
2020-07-05,11.0215
2020-07-06,15.32258
2020-07-07,14.24731
2020-07-08,11.82795
2020-07-09,10.61827
2020-07-10,10.75268
2020-07-11,7.79569
2020-07-12,7.9301
2020-07-13,13.03763
2020-07-14,12.36559
2020-07-15,16.80107
2020-07-16,13.57526
2020-07-17,8.60215
2020-07-18,5.24193
2020-07-19,6.3172
2020-07-20,17.2043
2020-07-21,10.61827
2020-07-22,12.09677
2020-07-23,10.08064
2020-07-24,10.08064
2020-07-25,5.91397
2020-07-26,7.79569
2020-07-27,13.97849
2020-07-28,12.23118
2020-07-29,15.18817
2020-07-30,11.55913
2020-07-31,12.90322
2020-08-01,8.33333
2020-08-02,6.98924
2020-08-03,16.26344
2020-08-04,14.91935
2020-08-05,12.5
2020-08-06,15.05376
2020-08-07,12.23118
2020-08-08,7.25806
2020-08-09,7.12365
2020-08-10,11.55913
2020-08-11,14.65053
2020-08-12,13.84408
2020-08-13,12.09677
2020-08-14,13.30645
2020-08-15,7.79569
2020-08-16,5.10752
2020-08-17,6.85483
2020-08-18,15.05376
2020-08-19,11.82795
2020-08-20,14.24731
2020-08-21,13.30645
2020-08-22,7.9301
2020-08-23,7.39247
2020-08-24,15.86021
2020-08-25,12.09677
2020-08-26,11.42473
2020-08-27,12.36559
2020-08-28,10.48387
2020-08-29,5.77956
2020-08-30,7.52688
2020-08-31,16.39784
2020-09-01,11.82795
2020-09-02,13.84408
2020-09-03,12.5
2020-09-04,10.61827
2020-09-05,4.8387
2020-09-06,7.25806
2020-09-07,11.55913
2020-09-08,14.65053
2020-09-09,14.91935
2020-09-10,14.51612
2020-09-11,10.88709
2020-09-12,4.8387
2020-09-13,5.51075
2020-09-14,11.42473
2020-09-15,13.84408
2020-09-16,13.70967
2020-09-17,11.0215
2020-09-18,11.42473
2020-09-19,6.58602
2020-09-20,6.45161
2020-09-21,14.38172
2020-09-22,18.54838
2020-09-23,14.1129
2020-09-24,11.82795
2020-09-25,6.98924
2020-09-26,7.25806
2020-09-27,6.3172
2020-09-28,10.75268
2020-09-29,7.25806
2020-09-30,4.7043
2020-10-01,4.7043
2020-10-02,5.24193
2020-10-03,6.98924
2020-10-04,7.12365
2020-10-05,18.68279
2020-10-06,15.32258
2020-10-07,14.24731
2020-10-08,12.36559
2020-10-09,5.51075
2020-10-10,5.24193
2020-10-11,9.27419
2020-10-12,13.97849
