date,정기예금이자
2020-03-20,29.45945
2020-03-21,18.1081
2020-03-22,12.83783
2020-03-23,22.02702
2020-03-24,18.64864
2020-03-25,18.1081
2020-03-26,21.08108
2020-03-27,19.05405
2020-03-28,16.48648
2020-03-29,14.86486
2020-03-30,25.81081
2020-03-31,19.32432
2020-04-01,22.83783
2020-04-02,20.67567
2020-04-03,11.48648
2020-04-04,7.43243
2020-04-05,8.1081
2020-04-06,17.7027
2020-04-07,12.7027
2020-04-08,16.62162
2020-04-09,14.86486
2020-04-10,16.89189
2020-04-11,5.94594
2020-04-12,6.08108
2020-04-13,14.59459
2020-04-14,13.51351
2020-04-15,6.89189
2020-04-16,15.67567
2020-04-17,17.29729
2020-04-18,8.91891
2020-04-19,8.91891
2020-04-20,16.21621
2020-04-21,13.1081
2020-04-22,14.32432
2020-04-23,12.83783
2020-04-24,13.78378
2020-04-25,7.16216
2020-04-26,7.02702
2020-04-27,12.56756
2020-04-28,12.29729
2020-04-29,15.27027
2020-04-30,4.86486
2020-05-01,9.18918
2020-05-02,6.75675
2020-05-03,7.16216
2020-05-04,15.67567
2020-05-05,9.45945
2020-05-06,16.75675
2020-05-07,15.54054
2020-05-08,12.02702
2020-05-09,7.02702
2020-05-10,10.13513
2020-05-11,13.78378
2020-05-12,13.51351
2020-05-13,11.75675
2020-05-14,12.16216
2020-05-15,11.75675
2020-05-16,7.02702
2020-05-17,7.29729
2020-05-18,11.08108
2020-05-19,12.7027
2020-05-20,10.81081
2020-05-21,11.75675
2020-05-22,12.29729
2020-05-23,6.48648
2020-05-24,7.97297
2020-05-25,14.05405
2020-05-26,15.27027
2020-05-27,12.29729
2020-05-28,17.43243
2020-05-29,13.37837
2020-05-30,6.35135
2020-05-31,7.97297
2020-06-01,16.21621
2020-06-02,16.48648
2020-06-03,18.64864
2020-06-04,14.45945
2020-06-05,10.13513
2020-06-06,5.81081
2020-06-07,5.13513
2020-06-08,14.59459
2020-06-09,12.56756
2020-06-10,14.05405
2020-06-11,10.67567
2020-06-12,9.86486
2020-06-13,6.21621
2020-06-14,8.37837
2020-06-15,9.18918
2020-06-16,13.78378
2020-06-17,13.1081
2020-06-18,10.54054
2020-06-19,11.21621
2020-06-20,6.35135
2020-06-21,3.91891
2020-06-22,12.29729
2020-06-23,11.21621
2020-06-24,10.13513
2020-06-25,14.59459
2020-06-26,8.91891
2020-06-27,5.54054
2020-06-28,5.0
2020-06-29,10.81081
2020-06-30,11.48648
2020-07-01,12.29729
2020-07-02,8.91891
2020-07-03,9.72972
2020-07-04,4.45945
2020-07-05,4.05405
2020-07-06,10.81081
2020-07-07,8.64864
2020-07-08,7.97297
2020-07-09,8.91891
2020-07-10,10.67567
2020-07-11,4.32432
2020-07-12,7.29729
2020-07-13,8.37837
2020-07-14,11.89189
2020-07-15,12.7027
2020-07-16,12.16216
2020-07-17,9.59459
2020-07-18,4.72972
2020-07-19,5.54054
2020-07-20,10.81081
2020-07-21,12.29729
2020-07-22,14.45945
2020-07-23,9.05405
2020-07-24,9.59459
2020-07-25,4.86486
2020-07-26,5.54054
2020-07-27,13.91891
2020-07-28,12.97297
2020-07-29,8.37837
2020-07-30,8.37837
2020-07-31,8.64864
2020-08-01,4.32432
2020-08-02,5.54054
2020-08-03,8.91891
2020-08-04,6.08108
2020-08-05,8.91891
2020-08-06,10.4054
2020-08-07,7.97297
2020-08-08,5.94594
2020-08-09,4.59459
2020-08-10,9.18918
2020-08-11,9.86486
2020-08-12,8.1081
2020-08-13,9.45945
2020-08-14,7.43243
2020-08-15,4.45945
2020-08-16,3.64864
2020-08-17,4.59459
2020-08-18,9.59459
2020-08-19,9.59459
2020-08-20,10.0
2020-08-21,11.75675
2020-08-22,4.32432
2020-08-23,2.97297
2020-08-24,6.48648
2020-08-25,8.91891
2020-08-26,10.81081
2020-08-27,9.05405
2020-08-28,7.7027
2020-08-29,4.32432
2020-08-30,3.51351
2020-08-31,10.4054
2020-09-01,7.97297
2020-09-02,8.51351
2020-09-03,8.51351
2020-09-04,8.1081
2020-09-05,5.67567
2020-09-06,5.67567
2020-09-07,9.45945
2020-09-08,8.91891
2020-09-09,10.4054
2020-09-10,10.4054
2020-09-11,8.91891
2020-09-12,7.56756
2020-09-13,7.83783
2020-09-14,12.56756
2020-09-15,12.43243
2020-09-16,12.02702
2020-09-17,10.4054
2020-09-18,8.37837
2020-09-19,6.21621
2020-09-20,4.18918
2020-09-21,11.48648
2020-09-22,6.35135
2020-09-23,9.32432
2020-09-24,7.83783
2020-09-25,8.37837
2020-09-26,4.59459
2020-09-27,3.78378
2020-09-28,9.72972
2020-09-29,7.02702
2020-09-30,3.51351
2020-10-01,2.97297
2020-10-02,3.51351
2020-10-03,6.21621
2020-10-04,7.83783
2020-10-05,11.75675
2020-10-06,11.62162
2020-10-07,10.4054
2020-10-08,9.32432
2020-10-09,3.78378
2020-10-10,4.32432
2020-10-11,5.81081
2020-10-12,13.1081
2020-10-13,15.81081
2020-10-14,12.02702
2020-10-15,13.78378
2020-10-16,11.75675
2020-10-17,5.94594
2020-10-18,7.43243
2020-10-19,11.21621
2020-10-20,13.64864
2020-10-21,15.54054
2020-10-22,13.24324
2020-10-23,12.02702
2020-10-24,4.32432
2020-10-25,6.21621
2020-10-26,9.72972
2020-10-27,7.97297
2020-10-28,11.89189
2020-10-29,9.18918
2020-10-30,10.94594
2020-10-31,4.18918
2020-11-01,3.64864
2020-11-02,9.72972
2020-11-03,9.45945
2020-11-04,7.43243
2020-11-05,7.83783
2020-11-06,10.13513
2020-11-07,5.13513
2020-11-08,3.24324
2020-11-09,8.37837
2020-11-10,9.45945
2020-11-11,7.83783
2020-11-12,8.78378
2020-11-13,9.72972
2020-11-14,4.86486
2020-11-15,4.05405
2020-11-16,9.59459
2020-11-17,8.37837
2020-11-18,11.48648
2020-11-19,11.48648
