date,건강보험요율
2020-03-20,10.85696
2020-03-21,2.13479
2020-03-22,1.89082
2020-03-23,11.74138
2020-03-24,14.6691
2020-03-25,13.54071
2020-03-26,11.13144
2020-03-27,10.70448
2020-03-28,2.92772
2020-03-29,3.87313
2020-03-30,39.00579
2020-03-31,18.60323
2020-04-01,16.01097
2020-04-02,18.35925
2020-04-03,100.0
2020-04-04,21.40896
2020-04-05,6.64836
2020-04-06,30.07014
2020-04-07,19.70112
2020-04-08,17.53583
2020-04-09,16.16346
2020-04-10,15.88899
2020-04-11,2.19579
2020-04-12,2.43976
2020-04-13,13.35773
2020-04-14,12.19884
2020-04-15,3.0802
2020-04-16,13.72369
2020-04-17,14.33363
2020-04-18,3.20219
2020-04-19,2.71424
2020-04-20,16.49893
2020-04-21,17.10887
2020-04-22,24.70265
2020-04-23,20.58554
2020-04-24,22.99481
2020-04-25,3.23269
2020-04-26,2.16529
2020-04-27,17.62732
2020-04-28,17.71881
2020-04-29,14.88258
2020-04-30,2.53125
2020-05-01,3.84263
2020-05-02,2.19579
2020-05-03,2.50076
2020-05-04,12.80878
2020-05-05,3.17169
2020-05-06,17.8713
2020-05-07,16.04147
2020-05-08,14.36413
2020-05-09,2.59225
2020-05-10,1.98231
2020-05-11,11.5584
2020-05-12,11.10094
2020-05-13,8.47819
2020-05-14,7.77676
2020-05-15,8.66117
2020-05-16,2.0128
2020-05-17,1.21988
2020-05-18,9.21012
2020-05-19,10.61299
2020-05-20,10.21652
2020-05-21,11.25343
2020-05-22,7.68526
2020-05-23,1.49435
2020-05-24,1.89082
2020-05-25,12.29033
2020-05-26,9.63708
2020-05-27,8.69167
2020-05-28,8.72217
2020-05-29,7.38029
2020-05-30,1.76883
2020-05-31,1.09789
2020-06-01,8.66117
2020-06-02,9.63708
2020-06-03,10.82647
2020-06-04,9.69807
2020-06-05,8.99664
2020-06-06,1.79932
2020-06-07,0.9759
2020-06-08,10.33851
2020-06-09,11.00945
2020-06-10,10.4605
2020-06-11,7.2888
2020-06-12,6.3129
2020-06-13,0.88441
2020-06-14,1.15888
2020-06-15,7.71576
2020-06-16,6.67886
2020-06-17,7.04483
2020-06-18,7.25831
2020-06-19,6.46538
2020-06-20,1.15888
2020-06-21,0.85391
2020-06-22,7.71576
2020-06-23,9.66758
2020-06-24,10.18603
2020-06-25,10.55199
2020-06-26,8.4172
2020-06-27,1.58584
2020-06-28,1.40286
2020-06-29,9.4236
2020-06-30,11.37541
2020-07-01,10.24702
2020-07-02,10.15553
2020-07-03,9.51509
2020-07-04,1.67734
2020-07-05,1.40286
2020-07-06,11.22293
2020-07-07,12.68679
2020-07-08,10.27752
2020-07-09,10.18603
2020-07-10,8.90515
2020-07-11,1.40286
2020-07-12,1.06739
2020-07-13,7.22781
2020-07-14,7.74626
2020-07-15,7.41079
2020-07-16,5.79444
2020-07-17,5.67246
2020-07-18,1.55535
2020-07-19,0.88441
2020-07-20,7.74626
2020-07-21,7.50228
2020-07-22,9.14913
2020-07-23,7.53278
2020-07-24,7.86825
2020-07-25,1.25038
2020-07-26,0.76242
2020-07-27,7.53278
2020-07-28,8.50869
2020-07-29,8.3562
2020-07-30,8.75266
2020-07-31,8.23421
2020-08-01,1.49435
2020-08-02,1.0064
2020-08-03,7.74626
2020-08-04,9.02714
2020-08-05,7.71576
2020-08-06,8.29521
2020-08-07,6.86184
2020-08-08,0.91491
2020-08-09,0.88441
2020-08-10,9.4236
2020-08-11,6.92284
2020-08-12,9.69807
2020-08-13,7.83775
2020-08-14,6.16041
2020-08-15,0.9759
2020-08-16,0.85391
2020-08-17,2.16529
2020-08-18,7.10582
2020-08-19,7.13632
2020-08-20,8.3867
2020-08-21,6.89234
2020-08-22,1.34187
2020-08-23,1.18938
2020-08-24,10.15553
2020-08-25,10.00304
2020-08-26,8.69167
2020-08-27,10.21652
2020-08-28,29.79566
2020-08-29,1.46386
2020-08-30,2.0738
2020-08-31,17.07837
2020-09-01,11.80237
2020-09-02,13.54071
2020-09-03,10.91796
2020-09-04,10.5215
2020-09-05,1.21988
2020-09-06,1.58584
2020-09-07,12.77828
2020-09-08,14.12015
2020-09-09,10.88746
2020-09-10,11.31442
2020-09-11,8.47819
2020-09-12,1.06739
2020-09-13,1.58584
2020-09-14,8.47819
2020-09-15,9.11863
2020-09-16,8.69167
2020-09-17,7.89874
2020-09-18,6.73985
2020-09-19,1.37236
2020-09-20,1.18938
2020-09-21,8.90515
2020-09-22,8.66117
2020-09-23,9.60658
2020-09-24,9.3931
2020-09-25,8.75266
2020-09-26,1.28087
2020-09-27,1.28087
2020-09-28,10.24702
2020-09-29,8.3257
2020-09-30,1.0369
2020-10-01,1.43336
2020-10-02,1.25038
2020-10-03,1.12839
2020-10-04,0.91491
2020-10-05,11.00945
2020-10-06,11.25343
2020-10-07,10.94845
2020-10-08,9.88106
2020-10-09,1.70783
2020-10-10,1.25038
2020-10-11,1.31137
2020-10-12,9.33211
2020-10-13,9.3931
2020-10-14,8.3257
2020-10-15,7.65477
2020-10-16,5.85544
2020-10-17,0.88441
2020-10-18,0.91491
2020-10-19,7.22781
2020-10-20,8.56968
2020-10-21,8.81366
2020-10-22,8.69167
2020-10-23,7.68526
2020-10-24,1.21988
2020-10-25,1.0369
2020-10-26,8.96614
2020-10-27,9.4541
2020-10-28,8.3257
2020-10-29,7.74626
2020-10-30,7.53278
2020-10-31,1.76883
2020-11-01,1.0369
2020-11-02,9.11863
2020-11-03,10.58249
2020-11-04,9.88106
2020-11-05,8.93565
2020-11-06,8.63068
2020-11-07,1.09789
2020-11-08,1.0369
2020-11-09,9.57609
2020-11-10,9.4236
2020-11-11,6.73985
2020-11-12,7.41079
2020-11-13,7.56328
2020-11-14,1.31137
2020-11-15,1.31137
2020-11-16,7.86825
2020-11-17,7.59377
2020-11-18,6.86184
2020-11-19,7.41079
2020-11-20,6.86184
2020-11-21,1.0369
2020-11-22,1.09789
2020-11-23,10.24702
2020-11-24,9.4541
2020-11-25,10.82647
2020-11-26,10.58249
2020-11-27,9.85056
2020-11-28,2.16529
2020-11-29,1.31137
2020-11-30,12.99176
2020-12-01,11.61939
2020-12-02,11.74138
2020-12-03,10.82647
2020-12-04,10.06404
2020-12-05,1.95181
2020-12-06,1.43336
2020-12-07,10.94845
2020-12-08,11.03995
2020-12-09,10.4605
2020-12-10,10.79597
2020-12-11,9.17962
2020-12-12,1.67734
2020-12-13,1.43336
2020-12-14,9.11863
2020-12-15,10.91796
2020-12-16,9.66758
2020-12-17,9.57609
2020-12-18,7.74626
2020-12-19,1.25038
2020-12-20,1.09789
2020-12-21,10.15553
2020-12-22,12.80878
2020-12-23,10.70448
2020-12-24,9.54559
2020-12-25,1.40286
2020-12-26,1.28087
2020-12-27,1.49435
2020-12-28,11.92436
2020-12-29,13.54071
2020-12-30,12.35132
2020-12-31,9.17962
2021-01-01,1.73833
2021-01-02,2.25678
2021-01-03,1.55535
2021-01-04,31.86947
2021-01-05,33.97377
2021-01-06,27.90484
2021-01-07,21.83592
2021-01-08,19.06068
2021-01-09,2.59225
2021-01-10,3.01921
2021-01-11,21.13449
2021-01-12,20.09759
2021-01-13,17.59682
2021-01-14,16.22445
2021-01-15,17.38334
2021-01-16,2.37877
2021-01-17,2.31777
2021-01-18,20.25007
2021-01-19,26.19701
2021-01-20,28.51479
2021-01-21,29.91765
2021-01-22,30.64958
2021-01-23,3.35468
2021-01-24,3.1107
2021-01-25,41.32357
2021-01-26,25.06861
2021-01-27,25.95303
2021-01-28,29.03324
2021-01-29,28.3318
2021-01-30,4.39158
2021-01-31,2.65324
2021-02-01,35.83409
2021-02-02,31.19853
2021-02-03,31.01555
2021-02-04,31.86947
2021-02-05,29.4602
2021-02-06,3.35468
2021-02-07,2.68374
2021-02-08,29.18572
2021-02-09,27.17291
2021-02-10,21.07349
2021-02-11,1.64684
2021-02-12,1.43336
2021-02-13,1.49435
2021-02-14,1.52485
2021-02-15,12.5953
2021-02-16,12.96126
2021-02-17,12.10734
2021-02-18,10.70448
2021-02-19,9.97255
2021-02-20,1.55535
2021-02-21,1.43336
2021-02-22,12.5648
2021-02-23,13.02226
2021-02-24,12.5953
2021-02-25,14.39463
2021-02-26,13.26623
2021-02-27,2.22628
2021-02-28,1.31137
2021-03-01,2.34827
2021-03-02,16.28545
2021-03-03,16.22445
2021-03-04,14.7301
2021-03-05,15.46203
2021-03-06,2.47026
2021-03-07,1.58584
2021-03-08,11.68039
2021-03-09,13.26623
2021-03-10,13.26623
2021-03-11,9.4236
2021-03-12,8.3257
2021-03-13,1.52485
2021-03-14,1.15888
2021-03-15,9.97255
2021-03-16,8.50869
2021-03-17,8.63068
2021-03-18,8.56968
2021-03-19,7.62427
2021-03-20,1.43336
2021-03-21,0.73193
2021-03-22,9.60658
2021-03-23,9.48459
2021-03-24,9.3931
2021-03-25,11.5279
2021-03-26,8.69167
2021-03-27,1.49435
2021-03-28,0.9759
2021-03-29,9.36261
2021-03-30,9.85056
2021-03-31,10.30802
2021-04-01,12.35132
2021-04-02,10.76547
2021-04-03,1.92131
2021-04-04,1.43336
2021-04-05,16.04147
2021-04-06,15.24855
2021-04-07,10.5215
2021-04-08,12.10734
2021-04-09,10.73498
2021-04-10,1.92131
2021-04-11,1.15888
2021-04-12,12.19884
2021-04-13,11.43641
2021-04-14,10.61299
2021-04-15,9.3931
2021-04-16,10.09454
2021-04-17,1.28087
2021-04-18,0.79292
2021-04-19,13.69319
2021-04-20,15.49252
2021-04-21,15.46203
2021-04-22,15.85849
2021-04-23,17.50533
2021-04-24,1.64684
2021-04-25,1.21988
2021-04-26,11.61939
2021-04-27,12.25983
2021-04-28,9.08813
2021-04-29,10.79597
2021-04-30,11.34492
2021-05-01,1.76883
2021-05-02,1.55535
2021-05-03,13.38822
2021-05-04,17.53583
2021-05-05,2.62275
2021-05-06,14.54711
2021-05-07,12.5953
2021-05-08,1.86032
2021-05-09,1.52485
2021-05-10,14.82159
2021-05-11,9.88106
2021-05-12,8.26471
2021-05-13,8.11222
2021-05-14,6.95333
2021-05-15,1.79932
2021-05-16,1.40286
2021-05-17,7.74626
2021-05-18,7.77676
2021-05-19,1.92131
2021-05-20,9.14913
2021-05-21,9.27111
2021-05-22,1.28087
2021-05-23,1.06739
2021-05-24,9.51509
2021-05-25,11.89387
2021-05-26,8.3562
2021-05-27,8.4172
2021-05-28,7.19731
2021-05-29,1.52485
2021-05-30,1.46386
2021-05-31,9.69807
2021-06-01,10.79597
2021-06-02,8.87465
2021-06-03,9.88106
2021-06-04,9.17962
2021-06-05,1.58584
2021-06-06,0.48795
2021-06-07,8.20372
2021-06-08,9.17962
