date,주식종목추천
2020-03-20,31.94444
2020-03-21,18.38235
2020-03-22,16.58496
2020-03-23,27.12418
2020-03-24,31.53594
2020-03-25,38.39869
2020-03-26,42.56535
2020-03-27,38.80718
2020-03-28,21.32352
2020-03-29,16.66666
2020-03-30,32.27124
2020-03-31,42.81045
2020-04-01,41.33986
2020-04-02,36.5196
2020-04-03,34.88562
2020-04-04,16.50326
2020-04-05,16.09477
2020-04-06,33.16993
2020-04-07,49.183
2020-04-08,41.01307
2020-04-09,36.02941
2020-04-10,35.45751
2020-04-11,18.13725
2020-04-12,16.83006
2020-04-13,25.40849
2020-04-14,24.4281
2020-04-15,16.09477
2020-04-16,27.28758
2020-04-17,36.7647
2020-04-18,15.84967
2020-04-19,14.29738
2020-04-20,25.89869
2020-04-21,28.51307
2020-04-22,27.28758
2020-04-23,31.12745
2020-04-24,22.54901
2020-04-25,11.8464
2020-04-26,9.88562
2020-04-27,21.97712
2020-04-28,27.85947
2020-04-29,22.38562
2020-04-30,9.88562
2020-05-01,10.78431
2020-05-02,8.08823
2020-05-03,8.98692
2020-05-04,12.82679
2020-05-05,10.29411
2020-05-06,17.89215
2020-05-07,21.56862
2020-05-08,18.05555
2020-05-09,9.47712
2020-05-10,10.29411
2020-05-11,18.13725
2020-05-12,21.16013
2020-05-13,20.26143
2020-05-14,20.09803
2020-05-15,18.70915
2020-05-16,10.94771
2020-05-17,8.00653
2020-05-18,21.16013
2020-05-19,26.14379
2020-05-20,27.77777
2020-05-21,29.00326
2020-05-22,20.83333
2020-05-23,10.70261
2020-05-24,11.02941
2020-05-25,25.24509
2020-05-26,31.78104
2020-05-27,28.67647
2020-05-28,24.3464
2020-05-29,17.64705
2020-05-30,8.08823
2020-05-31,8.90522
2020-06-01,22.63071
2020-06-02,31.94444
2020-06-03,37.4183
2020-06-04,29.82026
2020-06-05,28.18627
2020-06-06,13.80718
2020-06-07,13.80718
2020-06-08,28.67647
2020-06-09,27.36928
2020-06-10,30.71895
2020-06-11,27.20588
2020-06-12,17.97385
2020-06-13,7.10784
2020-06-14,7.76143
2020-06-15,19.03594
2020-06-16,19.85294
2020-06-17,20.66993
2020-06-18,23.28431
2020-06-19,19.19934
2020-06-20,9.88562
2020-06-21,10.21241
2020-06-22,18.87254
2020-06-23,24.183
2020-06-24,28.83986
2020-06-25,17.72875
2020-06-26,14.54248
2020-06-27,8.49673
2020-06-28,8.66013
2020-06-29,13.15359
2020-06-30,17.40196
2020-07-01,18.87254
2020-07-02,19.77124
2020-07-03,15.60457
2020-07-04,8.82352
2020-07-05,9.88562
2020-07-06,21.73202
2020-07-07,22.38562
2020-07-08,19.85294
2020-07-09,24.2647
2020-07-10,16.66666
2020-07-11,9.23202
2020-07-12,12.82679
2020-07-13,22.95751
2020-07-14,23.69281
2020-07-15,20.09803
2020-07-16,19.19934
2020-07-17,19.28104
2020-07-18,11.19281
2020-07-19,9.55882
2020-07-20,20.58823
2020-07-21,24.3464
2020-07-22,30.39215
2020-07-23,27.77777
2020-07-24,25.24509
2020-07-25,13.31699
2020-07-26,13.39869
2020-07-27,25.73529
2020-07-28,31.86274
2020-07-29,31.78104
2020-07-30,29.16666
2020-07-31,23.03921
2020-08-01,11.19281
2020-08-02,12.90849
2020-08-03,26.87908
2020-08-04,28.26797
2020-08-05,33.98692
2020-08-06,36.4379
2020-08-07,35.45751
2020-08-08,17.32026
2020-08-09,14.54248
2020-08-10,37.1732
2020-08-11,42.56535
2020-08-12,32.84313
2020-08-13,36.7647
2020-08-14,24.5098
2020-08-15,13.23529
2020-08-16,10.04901
2020-08-17,12.0915
2020-08-18,22.63071
2020-08-19,26.63398
2020-08-20,24.8366
2020-08-21,21.89542
2020-08-22,9.23202
2020-08-23,8.57843
2020-08-24,22.38562
2020-08-25,30.88235
2020-08-26,31.53594
2020-08-27,32.51633
2020-08-28,29.16666
2020-08-29,13.64379
2020-08-30,16.33986
2020-08-31,33.74183
2020-09-01,34.31372
2020-09-02,40.68627
2020-09-03,40.60457
2020-09-04,33.25163
2020-09-05,17.97385
2020-09-06,15.19607
2020-09-07,43.21895
2020-09-08,40.27777
2020-09-09,35.86601
2020-09-10,41.09477
2020-09-11,33.41503
2020-09-12,14.62418
2020-09-13,19.52614
2020-09-14,40.03267
2020-09-15,40.44117
2020-09-16,40.93137
2020-09-17,34.23202
2020-09-18,29.41176
2020-09-19,13.97058
2020-09-20,12.4183
2020-09-21,29.08496
2020-09-22,25.57189
2020-09-23,26.47058
2020-09-24,22.46732
2020-09-25,18.62745
2020-09-26,11.11111
2020-09-27,10.78431
2020-09-28,20.91503
2020-09-29,17.72875
2020-09-30,8.49673
2020-10-01,8.33333
2020-10-02,8.16993
2020-10-03,8.08823
2020-10-04,10.37581
2020-10-05,24.4281
2020-10-06,25.65359
2020-10-07,29.57516
2020-10-08,26.71568
2020-10-09,16.09477
2020-10-10,12.1732
2020-10-11,13.31699
2020-10-12,34.23202
2020-10-13,32.10784
2020-10-14,30.71895
2020-10-15,23.28431
2020-10-16,22.05882
2020-10-17,11.11111
2020-10-18,12.5
2020-10-19,21.65032
2020-10-20,20.83333
2020-10-21,21.32352
2020-10-22,20.26143
2020-10-23,21.48692
2020-10-24,9.64052
2020-10-25,9.55882
2020-10-26,20.91503
2020-10-27,19.03594
2020-10-28,16.58496
2020-10-29,17.48366
2020-10-30,13.97058
2020-10-31,7.92483
2020-11-01,8.66013
2020-11-02,16.09477
2020-11-03,17.32026
2020-11-04,16.91176
2020-11-05,19.68954
2020-11-06,23.44771
2020-11-07,10.86601
2020-11-08,10.21241
