date,마멘토
2020-03-20,49.43181
2020-03-21,22.72727
2020-03-22,23.29545
2020-03-23,68.75
2020-03-24,76.13636
2020-03-25,68.18181
2020-03-26,68.18181
2020-03-27,52.27272
2020-03-28,28.97727
2020-03-29,31.25
2020-03-30,64.20454
2020-03-31,53.40909
2020-04-01,53.97727
2020-04-02,54.54545
2020-04-03,56.81818
2020-04-04,27.27272
2020-04-05,32.38636
2020-04-06,57.95454
2020-04-07,64.77272
2020-04-08,63.63636
2020-04-09,51.70454
2020-04-10,53.97727
2020-04-11,23.86363
2020-04-12,22.15909
2020-04-13,63.63636
2020-04-14,50.56818
2020-04-15,34.65909
2020-04-16,43.75
2020-04-17,47.72727
2020-04-18,30.11363
2020-04-19,15.90909
2020-04-20,60.22727
2020-04-21,50.0
2020-04-22,50.0
2020-04-23,48.29545
2020-04-24,39.77272
2020-04-25,16.47727
2020-04-26,30.68181
2020-04-27,48.86363
2020-04-28,52.27272
2020-04-29,33.52272
2020-04-30,18.75
2020-05-01,26.70454
2020-05-02,11.36363
2020-05-03,17.61363
2020-05-04,43.75
2020-05-05,14.20454
2020-05-06,50.0
2020-05-07,38.63636
2020-05-08,56.81818
2020-05-09,20.45454
2020-05-10,26.70454
2020-05-11,44.31818
2020-05-12,50.56818
2020-05-13,44.88636
2020-05-14,44.31818
2020-05-15,42.61363
2020-05-16,21.02272
2020-05-17,25.0
2020-05-18,47.15909
2020-05-19,57.38636
2020-05-20,30.11363
2020-05-21,44.31818
2020-05-22,36.36363
2020-05-23,25.0
2020-05-24,24.43181
2020-05-25,42.61363
2020-05-26,56.81818
2020-05-27,34.65909
2020-05-28,51.13636
2020-05-29,30.11363
2020-05-30,5.11363
2020-05-31,14.20454
2020-06-01,34.65909
2020-06-02,53.40909
2020-06-03,34.0909
2020-06-04,43.18181
2020-06-05,40.3409
2020-06-06,24.43181
2020-06-07,19.31818
2020-06-08,47.72727
2020-06-09,32.95454
2020-06-10,43.18181
2020-06-11,38.06818
2020-06-12,37.5
2020-06-13,22.15909
2020-06-14,17.61363
2020-06-15,38.63636
2020-06-16,43.18181
2020-06-17,39.20454
2020-06-18,40.3409
2020-06-19,31.25
2020-06-20,14.20454
2020-06-21,14.77272
2020-06-22,44.31818
2020-06-23,48.29545
2020-06-24,47.15909
2020-06-25,56.25
2020-06-26,39.77272
2020-06-27,19.88636
2020-06-28,15.3409
2020-06-29,50.56818
2020-06-30,42.04545
2020-07-01,47.72727
2020-07-02,36.93181
2020-07-03,42.04545
2020-07-04,15.90909
2020-07-05,10.22727
2020-07-06,52.27272
2020-07-07,48.29545
2020-07-08,42.04545
2020-07-09,45.45454
2020-07-10,43.18181
2020-07-11,12.5
2020-07-12,18.18181
2020-07-13,46.5909
