date,디지털화폐
2020-03-20,0.37111
2020-03-21,0.71042
2020-03-22,0.46654
2020-03-23,0.74223
2020-03-24,1.14515
2020-03-25,2.18428
2020-03-26,1.43144
2020-03-27,1.20877
2020-03-28,1.17696
2020-03-29,2.70384
2020-03-30,2.36454
2020-03-31,1.70713
2020-04-01,1.31481
2020-04-02,1.17696
2020-04-03,0.9755
2020-04-04,0.9649
2020-04-05,15.86258
2020-04-06,15.98982
2020-04-07,20.95217
2020-04-08,6.55285
2020-04-09,4.53822
2020-04-10,4.7927
2020-04-11,2.44936
2020-04-12,3.05375
2020-04-13,4.64425
2020-04-14,3.98685
2020-04-15,2.2479
2020-04-16,6.51044
2020-04-17,5.51373
2020-04-18,2.84169
2020-04-19,2.93712
2020-04-20,6.84975
2020-04-21,4.67606
2020-04-22,5.96967
2020-04-23,6.66949
2020-04-24,4.58063
2020-04-25,6.41501
2020-04-26,3.81719
2020-04-27,3.59452
2020-04-28,3.31884
2020-04-29,2.70384
2020-04-30,2.09945
2020-05-01,3.55211
2020-05-02,2.05704
2020-05-03,1.67532
2020-05-04,1.98282
2020-05-05,1.82377
2020-05-06,2.83108
2020-05-07,2.85229
2020-05-08,3.11737
2020-05-09,3.89142
2020-05-10,3.45668
2020-05-11,3.26582
2020-05-12,3.2128
2020-05-13,2.84169
2020-05-14,3.27642
2020-05-15,1.98282
2020-05-16,1.68592
2020-05-17,2.07825
2020-05-18,9.59601
2020-05-19,17.05015
2020-05-20,9.04464
2020-05-21,5.37588
2020-05-22,13.4026
2020-05-23,4.50641
2020-05-24,5.55614
2020-05-25,8.72654
2020-05-26,6.7119
2020-05-27,4.67606
2020-05-28,4.63365
2020-05-29,3.55211
2020-05-30,2.33273
2020-05-31,2.8841
2020-06-01,4.03986
2020-06-02,5.58795
2020-06-03,4.61244
2020-06-04,3.71116
2020-06-05,2.65083
2020-06-06,1.55868
2020-06-07,1.80256
2020-06-08,2.69324
2020-06-09,24.76937
2020-06-10,18.65125
2020-06-11,8.02672
2020-06-12,16.67903
2020-06-13,7.31629
2020-06-14,7.0088
2020-06-15,12.99968
2020-06-16,5.72579
2020-06-17,4.85632
2020-06-18,7.68741
2020-06-19,5.23804
2020-06-20,2.39635
2020-06-21,2.44936
2020-06-22,4.1671
2020-06-23,4.75029
2020-06-24,5.31226
2020-06-25,4.07167
2020-06-26,2.83108
2020-06-27,1.70713
2020-06-28,2.02523
2020-06-29,3.00074
2020-06-30,3.38246
2020-07-01,3.48849
2020-07-02,2.53419
2020-07-03,2.36454
2020-07-04,1.9298
2020-07-05,1.97221
2020-07-06,2.69324
2020-07-07,2.91591
2020-07-08,3.18099
2020-07-09,2.97953
2020-07-10,2.38574
2020-07-11,1.45265
2020-07-12,2.79927
2020-07-13,7.11483
2020-07-14,3.95504
2020-07-15,3.61573
2020-07-16,3.74297
2020-07-17,6.16053
2020-07-18,4.42158
2020-07-19,3.75357
2020-07-20,5.00477
2020-07-21,3.85961
2020-07-22,4.24133
2020-07-23,2.82048
2020-07-24,2.21609
2020-07-25,1.53748
2020-07-26,1.72834
2020-07-27,4.03986
