date,원달러환율
2020-03-20,76.99975
2020-03-21,4.12014
2020-03-22,2.28725
2020-03-23,14.52622
2020-03-24,75.75775
2020-03-25,10.12586
2020-03-26,8.78664
2020-03-27,8.39021
2020-03-28,2.30722
2020-03-29,1.52025
2020-03-30,43.01432
2020-03-31,6.64506
2020-04-01,6.55405
2020-04-02,7.18258
2020-04-03,96.61379
2020-04-04,2.28562
2020-04-05,1.32253
2020-04-06,5.91079
2020-04-07,53.72747
2020-04-08,5.80112
2020-04-09,5.24494
2020-04-10,5.21581
2020-04-11,1.4826
2020-04-12,1.08093
2020-04-13,62.9148
2020-04-14,22.55012
2020-04-15,1.98117
2020-04-16,5.42761
2020-04-17,4.53064
2020-04-18,1.29306
2020-04-19,0.93722
2020-04-20,45.68
2020-04-21,6.81528
2020-04-22,5.60733
2020-04-23,4.56436
2020-04-24,39.1577
2020-04-25,1.60078
2020-04-26,1.01808
2020-04-27,4.32343
2020-04-28,20.88026
2020-04-29,20.80202
2020-04-30,1.62468
2020-05-01,1.63483
2020-05-02,1.01088
2020-05-03,0.88125
2020-05-04,53.18012
2020-05-05,1.67214
2020-05-06,3.86807
2020-05-07,3.27228
2020-05-08,19.37114
2020-05-09,1.15754
2020-05-10,0.74997
2020-05-11,3.3731
2020-05-12,42.20738
2020-05-13,3.1027
2020-05-14,3.33218
2020-05-15,28.34569
2020-05-16,1.26753
2020-05-17,0.90678
2020-05-18,3.62157
2020-05-19,69.35035
2020-05-20,3.97904
2020-05-21,3.46247
2020-05-22,4.0383
2020-05-23,1.37719
2020-05-24,1.06326
2020-05-25,42.44373
2020-05-26,4.65406
2020-05-27,4.07889
2020-05-28,4.44913
2020-05-29,3.67427
2020-05-30,1.14804
2020-05-31,0.86324
2020-06-01,48.89172
2020-06-02,4.13585
2020-06-03,4.53555
2020-06-04,4.19707
2020-06-05,28.38628
2020-06-06,1.54808
2020-06-07,0.92282
2020-06-08,4.60135
2020-06-09,100.0
2020-06-10,37.39782
2020-06-11,5.27997
2020-06-12,4.96865
2020-06-13,1.2253
2020-06-14,0.96243
2020-06-15,25.42924
2020-06-16,24.62525
2020-06-17,4.6318
2020-06-18,3.78819
2020-06-19,3.43105
2020-06-20,0.98535
2020-06-21,0.71495
2020-06-22,22.46763
2020-06-23,57.74547
2020-06-24,3.96955
2020-06-25,3.77314
2020-06-26,3.60094
2020-06-27,1.05376
2020-06-28,0.77223
2020-06-29,27.37801
2020-06-30,3.87854
2020-07-01,3.45822
2020-07-02,3.141
2020-07-03,42.68467
2020-07-04,1.05475
2020-07-05,0.69956
2020-07-06,3.54693
2020-07-07,23.32694
2020-07-08,3.39438
2020-07-09,3.17243
2020-07-10,3.08372
2020-07-11,0.92478
2020-07-12,0.66224
2020-07-13,56.32801
2020-07-14,3.35412
2020-07-15,3.00384
