date,이더리움시세
2020-03-20,7.55542
2020-03-21,4.88577
2020-03-22,4.13604
2020-03-23,5.28783
2020-03-24,5.55392
2020-03-25,5.70607
2020-03-26,4.39624
2020-03-27,4.34332
2020-03-28,3.60608
2020-03-29,3.4135
2020-03-30,4.01843
2020-03-31,3.90303
2020-04-01,3.32088
2020-04-02,3.64209
2020-04-03,3.87951
2020-04-04,3.01143
2020-04-05,2.85634
2020-04-06,4.74244
2020-04-07,6.56532
2020-04-08,5.02322
2020-04-09,4.37933
2020-04-10,4.03019
2020-04-11,3.23635
2020-04-12,2.96807
2020-04-13,3.66708
2020-04-14,3.19593
2020-04-15,2.79533
2020-04-16,3.81703
2020-04-17,3.94125
2020-04-18,3.46862
2020-04-19,3.82365
2020-04-20,4.16617
2020-04-21,3.77072
2020-04-22,3.47009
2020-04-23,3.87289
2020-04-24,4.55133
2020-04-25,3.80086
2020-04-26,3.85746
2020-04-27,4.65938
2020-04-28,4.16397
2020-04-29,5.23712
2020-04-30,7.62083
2020-05-01,4.70422
2020-05-02,3.90817
2020-05-03,3.97359
2020-05-04,3.80674
2020-05-05,3.43408
2020-05-06,4.08311
2020-05-07,4.0052
2020-05-08,4.34699
2020-05-09,3.30398
2020-05-10,3.44069
2020-05-11,3.87436
2020-05-12,3.41938
2020-05-13,2.80121
2020-05-14,3.20475
2020-05-15,2.81003
2020-05-16,2.07867
2020-05-17,2.10734
2020-05-18,3.32529
2020-05-19,2.99673
2020-05-20,2.6248
2020-05-21,2.53954
2020-05-22,2.69831
2020-05-23,2.28228
2020-05-24,2.02869
2020-05-25,2.42781
2020-05-26,2.27493
2020-05-27,2.34329
2020-05-28,2.51308
2020-05-29,3.20916
2020-05-30,3.22974
2020-05-31,3.72515
2020-06-01,3.87069
2020-06-02,5.10187
2020-06-03,3.90303
2020-06-04,3.93758
2020-06-05,3.34293
2020-06-06,2.41752
2020-06-07,2.42414
2020-06-08,3.12242
2020-06-09,2.94234
2020-06-10,2.75491
2020-06-11,3.09008
2020-06-12,3.13565
2020-06-13,2.16614
2020-06-14,1.85963
2020-06-15,3.44951
2020-06-16,4.1228
2020-06-17,3.25767
2020-06-18,2.59467
2020-06-19,2.27199
2020-06-20,1.71042
2020-06-21,1.91844
2020-06-22,2.53586
2020-06-23,2.93572
2020-06-24,2.67479
2020-06-25,2.54101
2020-06-26,2.27272
2020-06-27,1.63839
2020-06-28,2.00737
2020-06-29,2.22642
2020-06-30,2.13674
2020-07-01,2.14777
2020-07-02,2.21539
2020-07-03,1.86625
2020-07-04,1.50902
2020-07-05,1.54283
2020-07-06,2.24406
2020-07-07,2.55498
2020-07-08,2.7255
2020-07-09,2.93058
2020-07-10,2.21612
2020-07-11,1.75599
2020-07-12,1.67514
2020-07-13,2.43369
2020-07-14,2.21759
2020-07-15,1.99267
2020-07-16,1.92946
2020-07-17,1.79201
2020-07-18,1.42376
2020-07-19,1.4583
2020-07-20,1.93681
2020-07-21,2.26317
2020-07-22,2.43737
2020-07-23,3.95889
2020-07-24,3.78616
2020-07-25,3.88906
2020-07-26,5.89056
2020-07-27,7.78034
2020-07-28,7.37974
2020-07-29,5.97142
2020-07-30,5.07835
2020-07-31,6.24852
2020-08-01,7.29742
2020-08-02,12.06926
2020-08-03,8.86819
2020-08-04,8.02363
2020-08-05,7.21363
2020-08-06,6.53372
2020-08-07,5.83764
2020-08-08,4.59617
2020-08-09,4.51311
2020-08-10,5.92805
2020-08-11,5.23344
2020-08-12,4.95486
2020-08-13,4.6263
2020-08-14,6.7263
2020-08-15,6.35584
2020-08-16,5.27093
2020-08-17,5.29224
2020-08-18,6.2669
2020-08-19,5.33267
2020-08-20,4.89312
2020-08-21,4.64027
2020-08-22,3.85452
2020-08-23,3.38262
2020-08-24,4.34037
2020-08-25,4.34773
2020-08-26,4.21762
2020-08-27,3.85011
2020-08-28,3.83173
2020-08-29,3.25326
2020-08-30,3.60902
2020-08-31,5.329
2020-09-01,7.1585
2020-09-02,8.13021
2020-09-03,6.12577
2020-09-04,6.43449
2020-09-05,4.92473
2020-09-06,5.68549
2020-09-07,5.71636
2020-09-08,4.8696
2020-09-09,4.78581
2020-09-10,5.36281
2020-09-11,4.45725
2020-09-12,3.49435
2020-09-13,4.00814
2020-09-14,4.12721
2020-09-15,4.48885
2020-09-16,3.92214
2020-09-17,4.16323
2020-09-18,3.93096
2020-09-19,3.27457
2020-09-20,3.31206
2020-09-21,3.67517
2020-09-22,3.93758
2020-09-23,3.57667
2020-09-24,3.86334
2020-09-25,3.51126
2020-09-26,2.96512
2020-09-27,2.81444
2020-09-28,3.3297
2020-09-29,3.08347
