date,가상자산거래소
2020-04-01,1.07296
2020-04-07,1.07296
2020-04-14,1.28755
2020-04-20,1.07296
2020-04-21,1.07296
2020-04-28,1.07296
2020-05-18,2.78969
2020-05-21,1.28755
2020-05-22,1.07296
2020-05-28,1.07296
2020-06-01,1.50214
2020-06-08,1.71673
2020-06-10,1.28755
2020-06-16,1.28755
2020-07-07,1.07296
2020-07-08,1.07296
2020-07-09,1.07296
2020-07-13,1.07296
2020-07-28,1.28755
2020-07-31,1.28755
2020-08-11,3.21888
2020-08-18,1.07296
2020-08-24,1.07296
2020-08-25,1.50214
2020-08-27,1.07296
2020-09-02,2.5751
2020-09-03,2.14592
2020-09-08,1.28755
2020-09-14,1.28755
2020-09-17,1.28755
2020-09-21,1.50214
2020-09-22,1.07296
2020-09-23,1.50214
2020-09-28,1.07296
2020-10-07,1.07296
2020-10-14,1.07296
2020-10-16,2.14592
2020-10-23,1.28755
2020-10-27,1.50214
2020-10-28,1.71673
2020-10-29,1.07296
2020-11-02,2.14592
2020-11-04,1.07296
2020-11-06,1.50214
2020-11-10,1.07296
2020-11-11,3.21888
2020-11-12,1.50214
2020-11-15,1.93133
2020-11-17,2.5751
2020-11-18,2.36051
2020-11-19,3.64806
2020-11-21,1.07296
2020-11-23,1.50214
2020-11-24,2.78969
2020-11-26,2.14592
2020-11-27,1.50214
2020-11-29,1.07296
2020-11-30,3.64806
2020-12-01,5.57939
2020-12-02,2.36051
2020-12-03,1.28755
2020-12-04,2.5751
2020-12-07,2.36051
2020-12-08,3.86266
2020-12-09,2.5751
2020-12-10,1.50214
2020-12-11,3.00429
2020-12-14,1.50214
2020-12-15,2.14592
2020-12-16,2.36051
2020-12-17,1.71673
2020-12-21,1.07296
2020-12-22,1.28755
2020-12-23,1.07296
2020-12-25,2.78969
2020-12-27,1.28755
2020-12-28,4.07725
2020-12-29,1.28755
2020-12-30,1.93133
2021-01-03,1.07296
2021-01-04,2.36051
2021-01-05,1.28755
2021-01-06,2.5751
2021-01-07,3.43347
2021-01-08,4.50643
2021-01-10,2.14592
2021-01-11,1.93133
2021-01-12,3.86266
2021-01-13,1.07296
2021-01-14,2.14592
2021-01-15,1.28755
2021-01-17,1.50214
2021-01-18,1.93133
2021-01-19,1.50214
2021-01-21,3.00429
2021-01-22,3.64806
2021-01-23,1.71673
2021-01-24,4.50643
