date,주택연금
2020-03-20,5.49443
2020-03-21,4.49304
2020-03-22,5.09915
2020-03-23,5.85677
2020-03-24,100.0
2020-03-25,18.50583
2020-03-26,9.70419
2020-03-27,8.66328
2020-03-28,6.10053
2020-03-29,6.36405
2020-03-30,19.84979
2020-03-31,11.40391
2020-04-01,16.45035
2020-04-02,9.39455
2020-04-03,6.69345
2020-04-04,10.01383
2020-04-05,8.03742
2020-04-06,6.80545
2020-04-07,6.91086
2020-04-08,8.49858
2020-04-09,6.54193
2020-04-10,5.51419
2020-04-11,5.17161
2020-04-12,5.59325
2020-04-13,6.62098
2020-04-14,7.02944
2020-04-15,5.69207
2020-04-16,8.044
2020-04-17,7.32591
2020-04-18,7.52355
2020-04-19,5.62619
2020-04-20,7.58943
2020-04-21,6.48922
2020-04-22,7.34567
2020-04-23,7.95836
2020-04-24,6.2257
2020-04-25,5.19797
2020-04-26,4.67092
2020-04-27,11.19309
2020-04-28,6.27841
2020-04-29,6.02806
2020-04-30,5.92924
2020-05-01,7.44449
2020-05-02,8.98609
2020-05-03,9.59878
2020-05-04,9.35502
2020-05-05,10.77146
2020-05-06,10.3037
2020-05-07,9.61855
2020-05-08,34.35667
2020-05-09,10.42888
2020-05-10,9.6449
2020-05-11,9.23644
2020-05-12,8.16918
2020-05-13,9.3155
2020-05-14,10.71875
2020-05-15,6.75933
2020-05-16,10.34982
2020-05-17,9.13762
2020-05-18,7.83319
2020-05-19,7.45108
2020-05-20,8.4327
2020-05-21,8.93339
2020-05-22,15.60708
2020-05-23,6.16641
2020-05-24,10.83075
2020-05-25,8.86751
2020-05-26,7.45108
2020-05-27,6.91086
2020-05-28,6.21911
2020-05-29,5.96218
2020-05-30,5.22432
2020-05-31,6.41017
2020-06-01,6.81204
2020-06-02,7.35226
2020-06-03,7.56308
2020-06-04,7.3852
2020-06-05,7.2205
2020-06-06,9.96113
2020-06-07,6.93721
2020-06-08,6.54193
2020-06-09,5.59984
2020-06-10,6.08735
2020-06-11,5.96877
2020-06-12,5.69207
2020-06-13,4.81586
2020-06-14,5.65254
2020-06-15,6.62757
2020-06-16,5.96877
2020-06-17,6.25864
2020-06-18,5.99512
2020-06-19,5.52078
2020-06-20,4.60504
2020-06-21,5.23749
2020-06-22,6.35087
2020-06-23,6.04124
2020-06-24,5.67889
2020-06-25,5.64595
2020-06-26,5.25726
2020-06-27,4.32834
2020-06-28,4.85539
2020-06-29,6.3904
2020-06-30,6.13347
2020-07-01,5.79089
2020-07-02,6.87133
2020-07-03,5.73819
2020-07-04,4.72363
2020-07-05,4.85539
2020-07-06,6.66051
2020-07-07,6.21253
2020-07-08,6.35746
2020-07-09,5.91606
2020-07-10,6.29158
2020-07-11,5.74477
2020-07-12,6.35746
2020-07-13,7.94518
2020-07-14,8.18894
2020-07-15,9.07833
2020-07-16,9.58561
2020-07-17,6.35746
2020-07-18,5.07938
2020-07-19,4.86856
2020-07-20,6.2257
2020-07-21,7.35885
2020-07-22,7.51696
2020-07-23,6.23229
2020-07-24,5.5076
2020-07-25,4.96738
2020-07-26,4.8488
2020-07-27,6.84498
2020-07-28,7.20073
2020-07-29,6.87792
2020-07-30,7.91883
2020-07-31,7.1085
2020-08-01,4.67751
2020-08-02,4.41399
2020-08-03,8.07036
2020-08-04,6.86474
2020-08-05,7.06238
2020-08-06,9.26279
2020-08-07,6.16641
2020-08-08,7.00968
2020-08-09,5.57348
2020-08-10,6.37723
2020-08-11,6.1137
2020-08-12,6.27182
2020-08-13,5.7843
2020-08-14,5.75795
2020-08-15,4.80927
2020-08-16,6.23229
2020-08-17,8.01765
2020-08-18,6.08076
2020-08-19,5.65254
2020-08-20,5.02009
2020-08-21,6.15982
2020-08-22,5.05303
2020-08-23,4.47328
2020-08-24,5.4549
2020-08-25,5.70525
2020-08-26,5.37584
2020-08-27,6.37723
2020-08-28,6.69345
2020-08-29,5.23091
2020-08-30,5.07279
2020-08-31,6.43652
2020-09-01,6.70663
2020-09-02,5.86995
2020-09-03,5.64595
2020-09-04,4.99374
2020-09-05,4.2427
2020-09-06,4.83562
2020-09-07,8.18894
2020-09-08,7.28638
2020-09-09,7.83977
2020-09-10,9.83595
2020-09-11,6.62757
2020-09-12,10.26418
2020-09-13,8.5974
2020-09-14,8.37999
2020-09-15,8.156
2020-09-16,8.41293
2020-09-17,8.59081
2020-09-18,7.61578
2020-09-19,10.88345
2020-09-20,9.29573
2020-09-21,9.40773
2020-09-22,8.53811
2020-09-23,7.45108
2020-09-24,8.29435
2020-09-25,24.87647
2020-09-26,22.34666
2020-09-27,10.17194
2020-09-28,11.17991
2020-09-29,11.69378
2020-09-30,10.23124
2020-10-01,15.55438
2020-10-02,25.56163
2020-10-03,15.62685
2020-10-04,17.24751
2020-10-05,14.53323
2020-10-06,30.66736
2020-10-07,10.02042
2020-10-08,11.3512
2020-10-09,9.34185
2020-10-10,9.19032
2020-10-11,8.55128
2020-10-12,11.15356
2020-10-13,9.6976
2020-10-14,9.42091
2020-10-15,9.90183
2020-10-16,8.7621
2020-10-17,7.6026
2020-10-18,11.39073
2020-10-19,10.35641
2020-10-20,10.21147
2020-10-21,8.85433
2020-10-22,9.04539
2020-10-23,8.71598
2020-10-24,7.04921
2020-10-25,8.84775
2020-10-26,9.84913
2020-10-27,9.55925
2020-10-28,13.40009
2020-10-29,10.6924
2020-10-30,8.21529
2020-10-31,8.01765
2020-11-01,6.8318
2020-11-02,8.21529
2020-11-03,7.31273
2020-11-04,7.07556
2020-11-05,6.2257
2020-11-06,7.30614
2020-11-07,5.81724
2020-11-08,5.44831
2020-11-09,7.8266
2020-11-10,7.12826
2020-11-11,7.24026
2020-11-12,7.00968
2020-11-13,6.88451
2020-11-14,5.14526
2020-11-15,8.10988
2020-11-16,10.18512
2020-11-17,7.51037
2020-11-18,7.5499
2020-11-19,20.3373
2020-11-20,15.22498
2020-11-21,7.34567
2020-11-22,10.58699
2020-11-23,13.49232
2020-11-24,9.22985
2020-11-25,7.39179
2020-11-26,7.50378
2020-11-27,7.00968
2020-11-28,6.06759
2020-11-29,6.061
2020-11-30,7.12826
2020-12-01,10.88345
2020-12-02,8.46564
2020-12-03,6.5024
2020-12-04,6.21911
2020-12-05,5.83701
2020-12-06,6.07418
2020-12-07,7.81342
2020-12-08,7.70142
2020-12-09,7.06897
2020-12-10,6.88451
2020-12-11,7.74754
2020-12-12,6.89768
2020-12-13,5.77771
2020-12-14,8.156
2020-12-15,6.73298
2020-12-16,6.28499
2020-12-17,6.24547
2020-12-18,5.93583
2020-12-19,5.74477
2020-12-20,5.21114
2020-12-21,6.42334
2020-12-22,5.98194
2020-12-23,6.04782
2020-12-24,7.24026
2020-12-25,5.36267
2020-12-26,6.02147
2020-12-27,5.72501
2020-12-28,7.99789
2020-12-29,7.51037
2020-12-30,7.6026
2020-12-31,6.64734
2021-01-01,6.12029
2021-01-02,6.79886
2021-01-03,7.00309
2021-01-04,7.32591
2021-01-05,9.22326
2021-01-06,7.35885
2021-01-07,9.07833
2021-01-08,6.93721
2021-01-09,5.70525
2021-01-10,6.15982
2021-01-11,8.69622
2021-01-12,29.85703
2021-01-13,10.97569
2021-01-14,10.09947
2021-01-15,8.72257
2021-01-16,6.81204
2021-01-17,8.13624
2021-01-18,9.30232
2021-01-19,16.97081
2021-01-20,11.00204
2021-01-21,9.33526
2021-01-22,7.99789
2021-01-23,7.34567
2021-01-24,6.58146
2021-01-25,7.72119
2021-01-26,7.64872
2021-01-27,7.82001
2021-01-28,6.86474
2021-01-29,6.60122
2021-01-30,5.97536
2021-01-31,7.3852
2021-02-01,7.62896
2021-02-02,7.3852
2021-02-03,6.85157
2021-02-04,13.65043
2021-02-05,7.33249
2021-02-06,6.78569
2021-02-07,7.68166
2021-02-08,7.99789
2021-02-09,6.91086
2021-02-10,6.19276
2021-02-11,8.11647
2021-02-12,9.49337
2021-02-13,18.43336
2021-02-14,16.37789
2021-02-15,10.61334
2021-02-16,8.13624
2021-02-17,10.26418
2021-02-18,10.42888
2021-02-19,8.044
2021-02-20,6.88451
2021-02-21,6.9965
2021-02-22,8.16918
2021-02-23,7.62896
2021-02-24,7.26661
2021-02-25,7.11509
2021-02-26,6.19276
2021-02-27,6.31135
2021-02-28,6.80545
2021-03-01,6.69345
2021-03-02,7.28638
2021-03-03,6.56169
2021-03-04,6.53534
2021-03-05,5.8963
2021-03-06,5.7316
2021-03-07,5.95559
2021-03-08,7.29297
2021-03-09,6.71322
2021-03-10,6.91086
2021-03-11,8.21529
2021-03-12,6.83839
2021-03-13,6.00171
2021-03-14,7.72119
2021-03-15,8.14282
2021-03-16,10.69899
2021-03-17,8.70281
2021-03-18,9.77666
2021-03-19,8.37341
2021-03-20,6.40358
2021-03-21,6.13347
2021-03-22,7.48402
2021-03-23,6.85815
2021-03-24,7.80683
2021-03-25,6.93721
2021-03-26,5.84359
2021-03-27,6.60122
2021-03-28,6.15323
2021-03-29,7.50378
2021-03-30,6.76592
2021-03-31,6.70663
2021-04-01,13.48573
2021-04-02,6.5551
2021-04-03,5.51419
2021-04-04,6.17959
2021-04-05,6.24547
2021-04-06,5.79748
2021-04-07,6.13347
2021-04-08,5.85018
2021-04-09,5.64595
2021-04-10,5.14526
2021-04-11,5.28361
2021-04-12,6.26523
2021-04-13,6.17959
2021-04-14,6.34429
2021-04-15,5.51419
2021-04-16,6.09394
2021-04-17,6.12029
2021-04-18,5.96877
2021-04-19,6.52875
2021-04-20,7.68166
2021-04-21,6.29817
2021-04-22,5.65254
2021-04-23,5.60642
2021-04-24,4.95421
2021-04-25,5.59325
2021-04-26,6.56828
2021-04-27,8.55128
