date,서울전시회
2020-03-20,8.23563
2020-03-21,8.76318
2020-03-22,7.42477
2020-03-23,7.53223
2020-03-24,6.59437
2020-03-25,6.77999
2020-03-26,6.33059
2020-03-27,6.92653
2020-03-28,7.98163
2020-03-29,6.30128
2020-03-30,6.11567
2020-03-31,6.01797
2020-04-01,5.4318
2020-04-02,5.42203
2020-04-03,4.8261
2020-04-04,4.56232
2020-04-05,4.53302
2020-04-06,4.85541
2020-04-07,4.66002
2020-04-08,4.40601
2020-04-09,4.94333
2020-04-10,4.8261
2020-04-11,4.75771
2020-04-12,5.4025
2020-04-13,6.59437
2020-04-14,6.35013
2020-04-15,5.51973
2020-04-16,6.15474
2020-04-17,7.49316
2020-04-18,8.36264
2020-04-19,7.58108
2020-04-20,7.161
2020-04-21,8.87065
2020-04-22,9.0465
2020-04-23,9.31027
2020-04-24,10.41422
2020-04-25,10.41422
2020-04-26,10.39468
2020-04-27,11.92848
2020-04-28,12.70027
2020-04-29,14.87885
2020-04-30,14.29269
2020-05-01,13.47205
2020-05-02,12.37788
2020-05-03,11.44978
2020-05-04,12.82727
2020-05-05,11.03946
2020-05-06,10.24814
2020-05-07,8.35287
2020-05-08,7.161
2020-05-09,7.8937
2020-05-10,6.86791
2020-05-11,6.35013
2020-05-12,5.87143
2020-05-13,6.02774
2020-05-14,4.79679
2020-05-15,5.15826
2020-05-16,6.11567
2020-05-17,5.83235
2020-05-18,5.73466
2020-05-19,6.25244
2020-05-20,6.61391
2020-05-21,7.31731
2020-05-22,6.91676
2020-05-23,7.79601
2020-05-24,7.11215
2020-05-25,6.89722
2020-05-26,6.69206
2020-05-27,7.40523
2020-05-28,7.27823
2020-05-29,6.7116
2020-05-30,7.05353
2020-05-31,6.24267
2020-06-01,5.93982
2020-06-02,5.79327
2020-06-03,6.07659
2020-06-04,5.16803
2020-06-05,5.93982
2020-06-06,6.11567
2020-06-07,6.02774
2020-06-08,5.72489
2020-06-09,5.90074
2020-06-10,5.83235
2020-06-11,5.86166
2020-06-12,6.72137
2020-06-13,7.66901
2020-06-14,6.77999
2020-06-15,6.63345
2020-06-16,6.90699
2020-06-17,6.32082
2020-06-18,6.99491
2020-06-19,7.35638
2020-06-20,7.5127
2020-06-21,7.83509
2020-06-22,7.71785
2020-06-23,7.18053
2020-06-24,7.14146
2020-06-25,8.27471
2020-06-26,9.35912
2020-06-27,11.16647
2020-06-28,10.49237
2020-06-29,10.71707
2020-06-30,10.63892
2020-07-01,10.46307
2020-07-02,9.8769
2020-07-03,9.77921
2020-07-04,10.29699
2020-07-05,10.14067
2020-07-06,9.79874
2020-07-07,8.15748
2020-07-08,8.53849
2020-07-09,8.67526
2020-07-10,10.08206
2020-07-11,11.47909
2020-07-12,10.34583
2020-07-13,9.66197
2020-07-14,10.1016
2020-07-15,9.07581
2020-07-16,11.27393
2020-07-17,12.15318
2020-07-18,12.86635
2020-07-19,12.99335
2020-07-20,12.57327
2020-07-21,14.24384
2020-07-22,13.67721
2020-07-23,14.12661
2020-07-24,13.80422
2020-07-25,15.14263
2020-07-26,15.79718
2020-07-27,16.07073
2020-07-28,17.62407
2020-07-29,18.25908
2020-07-30,17.17467
2020-07-31,18.59124
2020-08-01,15.86557
2020-08-02,12.83704
2020-08-03,11.66471
2020-08-04,13.78468
2020-08-05,15.18171
2020-08-06,14.39038
2020-08-07,14.55646
2020-08-08,15.66041
2020-08-09,13.40367
2020-08-10,15.1524
2020-08-11,15.11332
2020-08-12,16.52012
2020-08-13,16.14888
2020-08-14,16.96951
2020-08-15,14.64439
2020-08-16,12.67096
2020-08-17,10.20906
2020-08-18,6.85814
2020-08-19,5.00195
2020-08-20,4.64048
2020-08-21,3.771
2020-08-22,3.76123
2020-08-23,3.20437
2020-08-24,3.08714
2020-08-25,3.02852
2020-08-26,2.35443
2020-08-27,3.22391
2020-08-28,3.11645
2020-08-29,2.34466
2020-08-30,2.54005
2020-08-31,2.28604
2020-09-01,2.53028
2020-09-02,2.42282
2020-09-03,2.80382
2020-09-04,3.08714
2020-09-05,3.10668
2020-09-06,3.03829
2020-09-07,2.93083
2020-09-08,2.88198
2020-09-09,2.76475
2020-09-10,3.03829
2020-09-11,3.50722
2020-09-12,4.09339
2020-09-13,3.94685
2020-09-14,4.71864
2020-09-15,4.98241
2020-09-16,4.66002
2020-09-17,5.01172
2020-09-18,5.69558
2020-09-19,5.84212
2020-09-20,6.18405
2020-09-21,5.6565
2020-09-22,6.22313
2020-09-23,6.67252
2020-09-24,7.38569
2020-09-25,7.29777
2020-09-26,8.19656
2020-09-27,7.90347
2020-09-28,8.05001
2020-09-29,7.78624
2020-09-30,7.288
2020-10-01,7.73739
2020-10-02,9.82805
2020-10-03,9.16373
2020-10-04,6.99491
2020-10-05,6.95584
2020-10-06,7.01445
2020-10-07,6.87768
2020-10-08,8.74364
2020-10-09,9.19304
2020-10-10,8.48964
2020-10-11,8.04025
2020-10-12,7.93278
2020-10-13,8.38218
2020-10-14,7.61039
2020-10-15,8.56779
2020-10-16,8.93903
2020-10-17,10.57053
2020-10-18,10.4533
2020-10-19,9.55451
2020-10-20,10.2286
2020-10-21,10.02344
2020-10-22,10.32629
2020-10-23,12.98358
2020-10-24,12.95427
2020-10-25,11.19577
2020-10-26,11.55724
2020-10-27,12.44626
2020-10-28,12.42672
2020-10-29,12.25087
2020-10-30,14.49785
2020-10-31,14.20476
2020-11-01,13.40367
2020-11-02,11.60609
2020-11-03,10.25791
2020-11-04,9.95506
2020-11-05,11.00039
2020-11-06,11.79171
2020-11-07,11.51817
2020-11-08,10.56076
2020-11-09,11.85033
2020-11-10,10.88315
2020-11-11,11.47909
2020-11-12,11.70379
2020-11-13,12.52442
2020-11-14,11.78194
2020-11-15,12.53419
2020-11-16,11.68425
2020-11-17,11.53771
2020-11-18,11.00039
2020-11-19,9.98436
2020-11-20,9.81828
2020-11-21,9.07581
2020-11-22,8.39194
2020-11-23,7.29777
2020-11-24,6.77022
2020-11-25,6.85814
2020-11-26,5.56858
2020-11-27,5.89097
2020-11-28,6.2329
2020-11-29,6.28175
2020-11-30,5.66627
2020-12-01,5.92028
2020-12-02,5.3048
2020-12-03,5.1778
2020-12-04,5.56858
2020-12-05,4.1227
2020-12-06,4.025
2020-12-07,3.53653
2020-12-08,3.30207
2020-12-09,3.27276
2020-12-10,3.57561
2020-12-11,3.86869
2020-12-12,3.24345
2020-12-13,2.14927
2020-12-14,2.54005
2020-12-15,2.74521
2020-12-16,2.63774
2020-12-17,2.52051
2020-12-18,2.63774
2020-12-19,2.93083
2020-12-20,3.35091
2020-12-21,4.025
2020-12-22,3.21414
2020-12-23,2.76475
2020-12-24,2.93083
2020-12-25,2.95037
2020-12-26,3.00898
2020-12-27,3.21414
2020-12-28,3.28253
2020-12-29,3.37045
2020-12-30,3.57561
2020-12-31,3.59515
2021-01-01,5.59788
2021-01-02,6.77022
2021-01-03,6.05705
2021-01-04,5.79327
2021-01-05,4.75771
2021-01-06,4.6991
2021-01-07,4.23993
2021-01-08,5.39273
2021-01-09,5.99843
2021-01-10,6.56506
2021-01-11,6.12543
2021-01-12,5.89097
2021-01-13,6.87768
2021-01-14,7.21961
2021-01-15,7.50293
2021-01-16,8.54826
2021-01-17,8.16725
2021-01-18,7.84486
2021-01-19,8.75341
2021-01-20,9.41774
2021-01-21,9.94529
2021-01-22,11.51817
2021-01-23,11.40093
2021-01-24,12.41695
2021-01-25,11.16647
2021-01-26,11.04923
2021-01-27,12.4658
2021-01-28,11.4107
2021-01-29,14.61508
2021-01-30,14.05822
2021-01-31,14.04845
2021-02-01,12.82727
2021-02-02,11.78194
2021-02-03,9.99413
2021-02-04,10.36537
2021-02-05,12.44626
2021-02-06,12.10433
2021-02-07,11.5084
2021-02-08,10.20906
2021-02-09,10.68776
2021-02-10,9.8769
2021-02-11,8.89996
2021-02-12,11.10785
2021-02-13,13.05197
2021-02-14,12.96404
2021-02-15,12.9445
2021-02-16,12.13364
2021-02-17,12.1141
2021-02-18,13.1692
2021-02-19,15.54318
2021-02-20,15.81672
2021-02-21,15.7581
2021-02-22,14.10707
2021-02-23,13.77491
2021-02-24,15.09378
2021-02-25,16.49081
2021-02-26,17.14536
2021-02-27,18.7964
2021-02-28,21.02383
2021-03-01,14.59554
2021-03-02,12.54396
2021-03-03,13.72606
2021-03-04,15.7581
2021-03-05,15.96326
2021-03-06,16.76436
2021-03-07,15.18171
2021-03-08,14.26338
2021-03-09,13.57952
2021-03-10,13.71629
2021-03-11,15.48456
2021-03-12,16.09026
2021-03-13,17.81946
2021-03-14,17.20398
2021-03-15,15.4064
2021-03-16,16.63735
2021-03-17,15.96326
2021-03-18,17.55568
2021-03-19,19.90035
2021-03-20,19.33372
2021-03-21,18.5717
2021-03-22,17.43845
2021-03-23,17.20398
2021-03-24,17.46776
2021-03-25,19.12856
2021-03-26,19.22626
2021-03-27,20.66236
2021-03-28,19.67565
2021-03-29,17.79015
2021-03-30,18.08323
2021-03-31,19.06017
2021-04-01,17.78038
2021-04-02,19.59749
2021-04-03,18.91363
2021-04-04,14.89839
2021-04-05,14.60531
2021-04-06,12.89566
2021-04-07,13.49159
2021-04-08,13.65767
2021-04-09,13.55998
2021-04-10,14.16568
2021-04-11,13.7456
2021-04-12,12.00664
2021-04-13,12.16295
2021-04-14,12.84681
2021-04-15,13.88237
2021-04-16,14.26338
2021-04-17,15.96326
2021-04-18,15.60179
2021-04-19,14.04845
2021-04-20,15.14263
2021-04-21,14.74208
2021-04-22,15.25986
2021-04-23,15.91441
2021-04-24,17.54591
2021-04-25,17.04767
2021-04-26,17.73153
2021-04-27,18.14185
2021-04-28,19.50957
2021-04-29,20.63305
2021-04-30,26.47518
2021-05-01,23.70066
2021-05-02,18.97225
2021-05-03,17.82923
2021-05-04,19.59749
2021-05-05,18.54239
2021-05-06,16.19773
2021-05-07,15.58225
2021-05-08,14.99609
2021-05-09,15.36733
2021-05-10,14.49785
2021-05-11,15.20125
2021-05-12,16.15865
2021-05-13,18.26885
2021-05-14,20.16412
2021-05-15,21.01406
2021-05-16,17.37983
2021-05-17,19.57796
2021-05-18,22.36225
2021-05-19,22.26455
2021-05-20,18.36654
2021-05-21,18.89409
2021-05-22,18.91363
2021-05-23,16.64712
2021-05-24,16.4322
2021-05-25,15.48456
2021-05-26,15.90465
2021-05-27,15.76787
2021-05-28,19.2751
2021-05-29,19.92966
2021-05-30,17.6143
2021-05-31,16.12934
2021-06-01,16.17819
2021-06-02,14.53692
2021-06-03,13.09105
2021-06-04,16.85228
