date,강제집행
2020-03-20,20.93023
2020-03-21,9.04392
2020-03-22,10.20671
2020-03-23,20.28423
2020-03-24,23.7726
2020-03-25,21.44702
2020-03-26,21.57622
2020-03-27,14.08268
2020-03-28,6.97674
2020-03-29,9.81912
2020-03-30,20.41343
2020-03-31,23.25581
2020-04-01,19.37984
2020-04-02,20.28423
2020-04-03,15.37467
2020-04-04,6.97674
2020-04-05,8.78552
2020-04-06,18.34625
2020-04-07,21.31782
2020-04-08,20.80103
2020-04-09,21.31782
2020-04-10,18.99224
2020-04-11,7.88113
2020-04-12,6.84754
2020-04-13,18.99224
2020-04-14,24.677
2020-04-15,12.0155
2020-04-16,20.28423
2020-04-17,20.54263
2020-04-18,7.23514
2020-04-19,8.52713
2020-04-20,23.12661
2020-04-21,22.48062
2020-04-22,23.12661
2020-04-23,22.86821
2020-04-24,18.99224
2020-04-25,10.33591
2020-04-26,8.78552
2020-04-27,20.02583
2020-04-28,25.45219
2020-04-29,22.99741
2020-04-30,12.79069
2020-05-01,13.82428
2020-05-02,9.30232
2020-05-03,8.01033
2020-05-04,15.11627
2020-05-05,9.30232
2020-05-06,19.89664
2020-05-07,18.99224
2020-05-08,18.86304
2020-05-09,9.43152
2020-05-10,12.2739
2020-05-11,23.38501
2020-05-12,25.19379
2020-05-13,26.61498
2020-05-14,100.0
2020-05-15,32.42894
2020-05-16,13.04909
2020-05-17,9.68992
2020-05-18,20.28423
2020-05-19,29.32816
2020-05-20,25.32299
2020-05-21,25.45219
2020-05-22,20.41343
2020-05-23,9.17312
2020-05-24,8.78552
2020-05-25,20.02583
2020-05-26,25.96899
2020-05-27,24.5478
2020-05-28,21.31782
2020-05-29,17.05426
2020-05-30,8.01033
2020-05-31,8.01033
2020-06-01,22.09302
2020-06-02,20.67183
2020-06-03,21.83462
2020-06-04,24.031
2020-06-05,20.02583
2020-06-06,8.01033
2020-06-07,8.52713
2020-06-08,19.89664
2020-06-09,24.8062
2020-06-10,23.51421
2020-06-11,15.11627
2020-06-12,18.86304
2020-06-13,9.94832
2020-06-14,10.59431
2020-06-15,20.54263
2020-06-16,23.25581
2020-06-17,26.87338
2020-06-18,16.66666
2020-06-19,21.18863
2020-06-20,8.65633
2020-06-21,7.88113
2020-06-22,24.8062
2020-06-23,25.32299
2020-06-24,24.5478
2020-06-25,23.9018
2020-06-26,20.02583
2020-06-27,5.81395
2020-06-28,8.39793
2020-06-29,20.15503
2020-06-30,23.51421
2020-07-01,22.99741
2020-07-02,23.12661
2020-07-03,20.54263
2020-07-04,6.33074
2020-07-05,10.20671
2020-07-06,17.44186
2020-07-07,19.25064
2020-07-08,25.71059
2020-07-09,21.96382
2020-07-10,14.59948
2020-07-11,9.56072
2020-07-12,10.20671
2020-07-13,18.21705
2020-07-14,22.35142
2020-07-15,26.48578
2020-07-16,19.37984
2020-07-17,17.70025
2020-07-18,8.01033
2020-07-19,8.39793
2020-07-20,19.89664
2020-07-21,23.9018
2020-07-22,18.99224
2020-07-23,17.82945
2020-07-24,16.92506
2020-07-25,9.56072
2020-07-26,6.33074
2020-07-27,16.79586
2020-07-28,17.95865
2020-07-29,15.11627
2020-07-30,20.93023
2020-07-31,16.66666
2020-08-01,8.13953
2020-08-02,7.23514
2020-08-03,18.99224
2020-08-04,22.60981
2020-08-05,17.18346
2020-08-06,19.76744
2020-08-07,16.27906
2020-08-08,7.23514
2020-08-09,7.49354
2020-08-10,19.76744
2020-08-11,21.83462
2020-08-12,19.76744
2020-08-13,20.41343
2020-08-14,16.27906
2020-08-15,6.45994
2020-08-16,6.84754
2020-08-17,8.39793
2020-08-18,20.93023
2020-08-19,22.48062
2020-08-20,21.31782
2020-08-21,16.79586
2020-08-22,9.43152
2020-08-23,5.81395
2020-08-24,17.95865
2020-08-25,23.25581
2020-08-26,16.79586
2020-08-27,18.21705
2020-08-28,17.18346
2020-08-29,7.75193
2020-08-30,8.01033
2020-08-31,17.95865
2020-09-01,19.37984
2020-09-02,18.86304
2020-09-03,17.95865
2020-09-04,13.95348
2020-09-05,6.07235
2020-09-06,6.71834
2020-09-07,16.79586
2020-09-08,15.11627
2020-09-09,22.09302
2020-09-10,16.79586
2020-09-11,16.27906
2020-09-12,6.20155
2020-09-13,6.58914
2020-09-14,18.73385
2020-09-15,22.35142
2020-09-16,22.48062
2020-09-17,20.28423
2020-09-18,17.82945
2020-09-19,7.88113
2020-09-20,5.55555
2020-09-21,18.34625
2020-09-22,20.54263
2020-09-23,20.28423
2020-09-24,21.96382
2020-09-25,13.69509
2020-09-26,7.88113
2020-09-27,6.20155
2020-09-28,15.37467
2020-09-29,13.82428
2020-09-30,6.45994
2020-10-01,5.03875
2020-10-02,11.6279
2020-10-03,8.39793
2020-10-04,9.94832
2020-10-05,20.80103
2020-10-06,22.22222
2020-10-07,23.12661
2020-10-08,21.05943
