date,에어비앤비주가
2020-03-20,0.32914
2020-03-21,0.29922
2020-03-22,0.41891
2020-03-23,0.47875
2020-03-24,0.17953
2020-03-26,0.47875
2020-03-27,0.23937
2020-03-28,0.20945
2020-03-30,0.32914
2020-03-31,0.68821
2020-04-01,0.50867
2020-04-02,0.41891
2020-04-03,0.23937
2020-04-04,0.71813
2020-04-05,0.23937
2020-04-06,0.17953
2020-04-07,0.59844
2020-04-08,0.53859
2020-04-09,0.83782
2020-04-10,0.38898
2020-04-11,0.89766
2020-04-12,0.17953
2020-04-13,0.14961
2020-04-14,0.50867
2020-04-15,0.50867
2020-04-16,0.32914
2020-04-17,0.38898
2020-04-18,0.35906
2020-04-19,0.38898
2020-04-20,0.50867
2020-04-21,0.56852
2020-04-22,0.38898
2020-04-23,0.44883
2020-04-25,0.14961
2020-04-27,0.56852
2020-04-28,0.44883
2020-04-29,0.29922
2020-04-30,0.38898
2020-05-01,0.32914
2020-05-02,0.14961
2020-05-05,0.17953
2020-05-06,0.41891
2020-05-07,0.71813
2020-05-08,0.53859
2020-05-09,0.29922
2020-05-11,0.80789
2020-05-12,0.71813
2020-05-13,0.47875
2020-05-14,0.38898
2020-05-15,0.20945
2020-05-16,0.38898
2020-05-17,0.20945
2020-05-19,0.20945
2020-05-20,0.26929
2020-05-23,0.14961
2020-05-24,0.38898
2020-05-25,0.14961
2020-05-26,0.17953
2020-05-27,0.23937
2020-05-28,0.32914
2020-05-30,0.47875
2020-05-31,0.17953
2020-06-02,0.32914
2020-06-04,0.20945
2020-06-05,0.35906
2020-06-06,0.23937
2020-06-09,0.53859
2020-06-10,0.71813
2020-06-11,0.23937
2020-06-12,0.29922
2020-06-13,0.23937
2020-06-14,0.32914
2020-06-15,0.14961
2020-06-16,0.29922
2020-06-17,0.17953
2020-06-19,0.20945
2020-06-22,0.41891
2020-06-23,0.20945
2020-06-25,0.17953
2020-06-26,0.20945
2020-06-27,0.26929
2020-06-30,0.20945
2020-07-02,0.44883
2020-07-05,0.26929
2020-07-06,0.20945
2020-07-08,0.41891
2020-07-09,0.14961
2020-07-10,0.20945
2020-07-11,0.23937
2020-07-12,0.17953
2020-07-14,0.23937
2020-07-19,0.14961
2020-07-20,0.14961
2020-07-23,0.26929
2020-07-24,0.20945
2020-07-25,0.20945
2020-07-26,0.23937
2020-07-27,0.47875
2020-07-28,0.41891
2020-07-29,0.59844
2020-07-30,0.65828
2020-08-01,0.14961
2020-08-02,0.26929
2020-08-03,0.20945
2020-08-04,0.23937
2020-08-05,0.35906
2020-08-06,0.17953
2020-08-07,0.23937
2020-08-09,0.35906
2020-08-10,0.17953
2020-08-11,0.14961
2020-08-12,1.16696
2020-08-13,0.65828
2020-08-14,0.65828
2020-08-15,0.17953
2020-08-16,0.41891
2020-08-17,0.29922
2020-08-18,0.41891
2020-08-19,0.38898
2020-08-20,1.88509
2020-08-21,0.56852
2020-08-22,0.41891
2020-08-23,0.38898
2020-08-24,0.50867
2020-08-25,0.80789
2020-08-26,0.47875
2020-08-27,0.98743
2020-08-28,1.25673
2020-08-29,0.98743
2020-08-30,0.86774
2020-08-31,1.37642
2020-09-01,0.74805
2020-09-02,0.92758
2020-09-03,4.57809
2020-09-04,1.91502
2020-09-05,1.28665
2020-09-06,1.04727
2020-09-07,2.45362
2020-09-08,1.94494
2020-09-09,0.77797
2020-09-10,0.80789
2020-09-11,1.04727
2020-09-12,0.50867
2020-09-13,0.71813
2020-09-14,1.04727
2020-09-15,1.40634
2020-09-16,1.16696
2020-09-17,1.04727
2020-09-18,0.95751
2020-09-19,0.71813
2020-09-20,0.71813
2020-09-21,0.47875
2020-09-22,0.56852
2020-09-23,0.44883
2020-09-24,0.26929
2020-09-25,0.23937
2020-09-26,0.44883
2020-09-27,0.59844
2020-09-28,0.44883
2020-09-29,0.41891
2020-09-30,0.14961
2020-10-01,0.32914
2020-10-02,0.47875
2020-10-03,0.44883
2020-10-04,0.68821
2020-10-05,0.29922
2020-10-06,0.59844
2020-10-07,0.17953
2020-10-08,0.41891
2020-10-09,0.47875
2020-10-10,0.29922
2020-10-11,0.47875
2020-10-12,0.20945
2020-10-13,0.59844
2020-10-14,0.29922
2020-10-15,0.59844
2020-10-16,0.59844
2020-10-17,0.17953
2020-10-19,0.14961
2020-10-20,0.17953
2020-10-21,2.93237
2020-10-22,0.86774
2020-10-23,1.19688
2020-10-24,0.44883
2020-10-25,0.53859
2020-10-26,0.59844
2020-10-27,0.53859
2020-10-28,0.65828
2020-10-29,0.38898
2020-10-30,0.59844
2020-10-31,0.26929
2020-11-01,0.29922
2020-11-02,0.32914
2020-11-03,0.23937
2020-11-04,0.47875
2020-11-05,0.35906
2020-11-06,0.92758
2020-11-07,0.77797
2020-11-08,0.29922
2020-11-09,1.49611
2020-11-10,2.06463
2020-11-11,1.10712
2020-11-12,0.74805
2020-11-13,0.74805
2020-11-14,0.68821
2020-11-15,0.53859
2020-11-16,0.56852
2020-11-17,2.27408
2020-11-18,1.55595
2020-11-19,1.25673
2020-11-20,1.25673
2020-11-21,0.86774
2020-11-22,0.47875
2020-11-23,2.99222
2020-11-24,2.51346
2020-11-25,1.49611
2020-11-26,1.91502
2020-11-27,1.13704
2020-11-28,1.67564
2020-11-29,1.31657
2020-11-30,1.46618
2020-12-01,3.02214
2020-12-02,2.09455
2020-12-03,2.15439
2020-12-04,2.24416
2020-12-05,1.64572
2020-12-06,4.00957
2020-12-07,5.74506
2020-12-08,7.48055
2020-12-09,7.06163
2020-12-10,23.84799
2020-12-11,100.0
2020-12-12,20.10771
2020-12-13,8.2286
2020-12-14,15.17055
2020-12-15,36.11609
2020-12-16,33.90185
2020-12-17,29.71274
2020-12-18,27.34889
2020-12-19,21.78336
2020-12-20,15.20047
2020-12-21,23.69838
2020-12-22,22.6511
2020-12-23,17.53441
2020-12-24,12.56732
2020-12-25,9.66487
2020-12-26,7.57031
2020-12-27,8.67743
2020-12-28,11.78934
2020-12-29,15.55954
2020-12-30,16.51705
2020-12-31,11.28067
2021-01-01,10.29323
2021-01-02,8.37821
2021-01-03,8.01915
2021-01-04,12.14841
2021-01-05,15.11071
2021-01-06,14.72172
2021-01-07,14.33273
2021-01-08,17.11549
2021-01-09,14.12327
2021-01-10,14.4225
2021-01-11,24.38659
2021-01-12,20.31717
2021-01-13,25.25433
2021-01-14,27.40873
2021-01-15,27.07959
2021-01-16,16.81627
2021-01-17,11.90903
2021-01-18,13.6146
2021-01-19,20.2274
2021-01-20,19.86834
2021-01-21,23.09994
