date,저작권료
2020-11-07,9.65824
2020-11-08,10.54977
2020-11-09,8.61812
2020-11-10,6.3893
2020-11-11,9.36106
2020-11-12,8.32095
2020-11-13,9.80683
2020-11-14,40.86181
2020-11-15,10.84695
2020-11-16,13.52154
2020-11-17,9.50965
2020-11-18,9.80683
2020-11-19,13.07578
2020-11-20,11.4413
2020-11-21,8.02377
2020-11-22,12.03566
2020-11-23,11.14413
2020-11-24,12.48142
2020-11-25,8.9153
2020-11-26,10.99554
2020-11-27,7.578
2020-11-28,9.36106
2020-11-29,10.40118
2020-11-30,10.84695
2020-12-01,10.69836
2020-12-02,8.02377
2020-12-03,7.13224
2020-12-04,7.13224
2020-12-05,5.79494
2020-12-06,6.24071
2020-12-07,8.9153
2020-12-08,9.50965
2020-12-09,10.99554
2020-12-10,8.46953
2020-12-11,12.48142
2020-12-12,9.06389
2020-12-13,7.87518
2020-12-14,9.21248
2020-12-15,10.2526
2020-12-16,10.10401
2020-12-17,9.65824
2020-12-18,9.06389
2020-12-19,9.65824
2020-12-20,8.9153
2020-12-21,8.9153
2020-12-22,8.02377
2020-12-23,10.40118
2020-12-24,9.95542
2020-12-25,14.71025
2020-12-26,15.60178
2020-12-27,16.79049
2020-12-28,12.63001
2020-12-29,10.2526
2020-12-30,11.58989
2020-12-31,9.21248
2021-01-01,12.48142
2021-01-02,14.71025
2021-01-03,12.48142
2021-01-04,10.40118
2021-01-05,13.22436
2021-01-06,9.65824
2021-01-07,10.10401
2021-01-08,13.22436
2021-01-09,11.88707
2021-01-10,11.14413
2021-01-11,14.41307
2021-01-12,12.63001
2021-01-13,10.69836
2021-01-14,10.54977
2021-01-15,11.73848
2021-01-16,11.88707
2021-01-17,12.18424
2021-01-18,10.10401
2021-01-19,10.99554
2021-01-20,11.14413
2021-01-21,9.06389
2021-01-22,10.84695
2021-01-23,8.46953
2021-01-24,11.4413
2021-01-25,11.14413
2021-01-26,9.21248
2021-01-27,12.18424
2021-01-28,8.76671
2021-01-29,9.21248
2021-01-30,10.69836
2021-01-31,8.46953
2021-02-01,7.72659
2021-02-02,9.50965
2021-02-03,8.61812
2021-02-04,8.32095
2021-02-05,9.50965
2021-02-06,5.94353
2021-02-07,7.28083
2021-02-08,6.24071
2021-02-09,11.14413
2021-02-10,8.61812
2021-02-11,6.53789
2021-02-12,14.85884
2021-02-13,12.63001
2021-02-14,12.92719
2021-02-15,12.03566
2021-02-16,11.29271
2021-02-17,10.99554
2021-02-18,12.03566
2021-02-19,12.18424
2021-02-20,9.80683
2021-02-21,7.13224
2021-02-22,8.9153
2021-02-23,9.36106
2021-02-24,14.56166
2021-02-25,11.4413
2021-02-26,10.99554
2021-02-27,7.13224
2021-02-28,4.90341
2021-03-01,7.28083
2021-03-02,14.85884
2021-03-03,6.68647
2021-03-04,9.95542
2021-03-05,8.76671
2021-03-06,7.28083
2021-03-07,6.3893
2021-03-08,8.76671
2021-03-09,9.65824
2021-03-10,12.92719
2021-03-11,10.84695
2021-03-12,12.03566
2021-03-13,8.61812
2021-03-14,10.54977
2021-03-15,11.88707
2021-03-16,10.99554
2021-03-17,9.80683
2021-03-18,7.42942
2021-03-19,8.76671
2021-03-20,9.50965
2021-03-21,9.95542
2021-03-22,7.42942
2021-03-23,10.69836
2021-03-24,10.2526
2021-03-25,13.96731
2021-03-26,10.99554
2021-03-27,10.10401
2021-03-28,10.99554
2021-03-29,7.72659
2021-03-30,12.48142
2021-03-31,10.10401
2021-04-01,9.80683
2021-04-02,10.84695
2021-04-03,9.65824
2021-04-04,12.92719
2021-04-05,9.95542
2021-04-06,15.00742
2021-04-07,8.02377
2021-04-08,8.17236
2021-04-09,9.36106
2021-04-10,12.63001
2021-04-11,12.7786
2021-04-12,10.99554
2021-04-13,10.2526
2021-04-14,10.2526
2021-04-15,10.2526
2021-04-16,12.03566
2021-04-17,11.58989
2021-04-18,55.42347
2021-04-19,37.44427
2021-04-20,25.70579
2021-04-21,22.58543
2021-04-22,18.72213
2021-04-23,14.71025
2021-04-24,22.13967
2021-04-25,21.24814
2021-04-26,13.96731
2021-04-27,15.00742
2021-04-28,12.48142
2021-04-29,8.17236
2021-04-30,11.4413
2021-05-01,10.40118
2021-05-02,8.02377
2021-05-03,10.10401
2021-05-04,10.99554
2021-05-05,9.21248
2021-05-06,7.28083
2021-05-07,9.50965
2021-05-08,13.96731
2021-05-09,14.26448
2021-05-10,16.19613
2021-05-11,10.2526
2021-05-12,10.2526
2021-05-13,8.32095
2021-05-14,11.29271
2021-05-15,10.10401
2021-05-16,15.15601
2021-05-17,12.03566
2021-05-18,13.22436
