date,청년창업지원
2020-03-20,37.44075
2020-03-21,20.85308
2020-03-22,26.54028
2020-03-23,45.49763
2020-03-24,40.75829
2020-03-25,37.20379
2020-03-26,36.25592
2020-03-27,37.44075
2020-03-28,26.54028
2020-03-29,23.45971
2020-03-30,42.18009
2020-03-31,41.70616
2020-04-01,39.09952
2020-04-02,40.04739
2020-04-03,37.44075
2020-04-04,22.51184
2020-04-05,21.56398
2020-04-06,40.99526
2020-04-07,39.09952
2020-04-08,40.04739
2020-04-09,36.49289
2020-04-10,34.59715
2020-04-11,20.61611
2020-04-12,23.93364
2020-04-13,36.25592
2020-04-14,31.75355
2020-04-15,20.37914
2020-04-16,32.46445
2020-04-17,32.22748
2020-04-18,25.82938
2020-04-19,22.27488
2020-04-20,41.94312
2020-04-21,36.72985
2020-04-22,42.65402
2020-04-23,39.09952
2020-04-24,36.96682
2020-04-25,23.93364
2020-04-26,30.56872
2020-04-27,42.18009
2020-04-28,40.75829
2020-04-29,36.25592
2020-04-30,27.72511
2020-05-01,27.48815
2020-05-02,30.33175
2020-05-03,33.64928
2020-05-04,40.75829
2020-05-05,42.65402
2020-05-06,64.69194
2020-05-07,52.8436
2020-05-08,40.28436
2020-05-09,35.78199
2020-05-10,35.54502
2020-05-11,59.00473
2020-05-12,62.55924
2020-05-13,56.16113
2020-05-14,66.35071
2020-05-15,51.65876
2020-05-16,35.54502
2020-05-17,46.91943
2020-05-18,66.82464
2020-05-19,61.3744
2020-05-20,54.50236
2020-05-21,57.34597
2020-05-22,55.21327
2020-05-23,33.64928
2020-05-24,37.20379
2020-05-25,58.76777
2020-05-26,58.29383
2020-05-27,56.3981
2020-05-28,67.53554
2020-05-29,46.91943
2020-05-30,37.67772
2020-05-31,50.47393
2020-06-01,73.93364
2020-06-02,61.3744
2020-06-03,54.50236
2020-06-04,50.23696
2020-06-05,43.60189
2020-06-06,37.91469
2020-06-07,41.23222
2020-06-08,77.25118
2020-06-09,68.00947
2020-06-10,56.87203
2020-06-11,57.34597
2020-06-12,52.36966
2020-06-13,44.31279
2020-06-14,46.44549
2020-06-15,66.58767
2020-06-16,72.51184
2020-06-17,68.00947
2020-06-18,60.6635
2020-06-19,57.34597
2020-06-20,36.72985
2020-06-21,46.91943
2020-06-22,73.45971
2020-06-23,63.5071
2020-06-24,63.98104
2020-06-25,61.3744
2020-06-26,54.50236
2020-06-27,43.60189
2020-06-28,45.73459
2020-06-29,66.35071
2020-06-30,60.18957
2020-07-01,54.50236
2020-07-02,59.47867
2020-07-03,50.0
2020-07-04,38.62559
2020-07-05,42.18009
2020-07-06,77.25118
2020-07-07,70.14218
2020-07-08,54.50236
2020-07-09,55.92417
2020-07-10,45.02369
2020-07-11,30.56872
2020-07-12,47.63033
2020-07-13,65.40284
2020-07-14,67.29857
2020-07-15,58.05687
2020-07-16,59.00473
2020-07-17,44.07582
2020-07-18,45.49763
2020-07-19,37.67772
