date,국제구리가격
2020-11-08,3.64749
2020-11-09,7.34824
2020-11-10,11.31522
2020-11-11,8.3067
2020-11-12,8.70607
2020-11-13,7.93397
2020-11-14,5.6443
2020-11-15,5.13844
2020-11-16,10.19701
2020-11-17,11.79446
2020-11-18,11.36847
2020-11-19,9.53141
2020-11-20,9.26517
2020-11-21,8.65282
2020-11-22,5.72417
2020-11-23,9.47816
2020-11-24,12.6198
2020-11-25,12.99254
2020-11-26,12.14057
2020-11-27,13.79126
2020-11-28,9.69116
2020-11-29,5.19169
2020-11-30,12.64643
2020-12-01,17.75825
2020-12-02,16.21405
2020-12-03,15.94781
2020-12-04,15.84132
2020-12-05,10.33013
2020-12-06,6.9755
2020-12-07,13.92438
2020-12-08,14.69648
2020-12-09,12.24707
2020-12-10,13.12566
2020-12-11,13.52502
2020-12-12,9.23855
2020-12-13,5.59105
2020-12-14,10.01064
2020-12-15,12.38019
2020-12-16,12.48668
2020-12-17,12.40681
2020-12-18,14.32374
2020-12-19,8.99893
2020-12-20,6.70926
2020-12-21,12.75292
2020-12-22,15.52183
2020-12-23,13.4984
2020-12-24,12.08732
2020-12-25,7.96059
2020-12-26,6.49627
2020-12-27,5.16506
2020-12-28,10.41001
2020-12-29,12.99254
2020-12-30,12.53993
2020-12-31,8.91906
2021-01-01,6.4164
2021-01-02,6.36315
2021-01-03,6.57614
2021-01-04,12.51331
2021-01-05,14.48349
2021-01-06,14.29712
2021-01-07,16.79978
2021-01-08,16.69329
2021-01-09,10.22364
2021-01-10,7.72097
2021-01-11,15.52183
2021-01-12,18.21086
2021-01-13,15.92119
2021-01-14,15.36208
2021-01-15,13.89776
2021-01-16,7.93397
2021-01-17,5.88391
2021-01-18,11.87433
2021-01-19,14.96272
2021-01-20,13.47177
2021-01-21,13.63152
2021-01-22,12.88604
2021-01-23,8.67944
2021-01-24,5.32481
2021-01-25,11.68796
2021-01-26,14.56336
2021-01-27,12.91267
2021-01-28,13.44515
2021-01-29,15.06922
2021-01-30,13.55165
2021-01-31,8.20021
2021-02-01,16.21405
2021-02-02,17.01277
2021-02-03,15.46858
2021-02-04,14.61661
2021-02-05,12.93929
2021-02-06,9.29179
2021-02-07,5.19169
2021-02-08,11.58146
2021-02-09,16.32055
2021-02-10,15.57507
2021-02-11,9.13205
2021-02-12,8.33333
2021-02-13,9.90415
2021-02-14,6.89563
2021-02-15,15.89456
2021-02-16,31.09691
2021-02-17,30.37806
2021-02-18,29.63258
2021-02-19,32.6411
2021-02-20,24.30777
2021-02-21,14.56336
2021-02-22,45.82002
2021-02-23,59.93077
2021-02-24,52.90202
2021-02-25,46.53887
2021-02-26,44.2492
2021-02-27,23.40255
2021-02-28,12.85942
2021-03-01,26.06496
2021-03-02,45.50053
2021-03-03,39.53674
2021-03-04,41.95953
2021-03-05,44.9148
2021-03-06,19.96805
2021-03-07,12.8328
2021-03-08,32.88072
2021-03-09,34.0788
2021-03-10,38.17891
2021-03-11,34.26517
2021-03-12,33.81256
2021-03-13,16.82641
2021-03-14,9.47816
2021-03-15,30.37806
2021-03-16,32.05537
2021-03-17,28.75399
2021-03-18,30.16506
2021-03-19,25.18636
2021-03-20,12.14057
2021-03-21,7.98722
2021-03-22,20.50053
2021-03-23,21.64536
2021-03-24,22.25772
2021-03-25,23.85516
2021-03-26,28.59424
2021-03-27,18.92971
2021-03-28,12.08732
2021-03-29,22.1246
2021-03-30,20.36741
2021-03-31,18.79659
2021-04-01,16.21405
2021-04-02,13.57827
2021-04-03,9.0788
2021-04-04,6.3099
2021-04-05,15.30883
2021-04-06,18.79659
2021-04-07,15.52183
2021-04-08,14.24387
2021-04-09,11.90095
2021-04-10,6.68264
2021-04-11,4.81895
2021-04-12,14.24387
2021-04-13,15.22896
2021-04-14,18.63684
2021-04-15,26.35782
2021-04-16,29.44621
2021-04-17,13.23216
2021-04-18,9.50479
2021-04-19,34.13205
2021-04-20,51.8903
2021-04-21,52.55591
2021-04-22,52.87539
2021-04-23,54.39297
2021-04-24,23.69542
2021-04-25,15.65495
2021-04-26,61.87433
2021-04-27,68.69009
2021-04-28,73.80191
2021-04-29,69.38232
2021-04-30,52.55591
2021-05-01,22.44408
2021-05-02,12.40681
2021-05-03,51.14483
2021-05-04,52.90202
2021-05-05,41.50692
2021-05-06,65.38871
2021-05-07,71.9116
2021-05-08,30.61767
2021-05-09,19.22257
2021-05-10,69.08945
2021-05-11,82.6411
2021-05-12,88.20553
2021-05-13,81.73588
2021-05-14,70.44728
2021-05-15,25.61235
2021-05-16,17.25239
2021-05-17,62.14057
2021-05-18,58.04046
2021-05-19,57.13525
2021-05-20,100.0
2021-05-21,74.68051
2021-05-22,29.07348
2021-05-23,16.42705
2021-05-24,63.79126
2021-05-25,74.14802
2021-05-26,69.00958
2021-05-27,60.56975
2021-05-28,71.72523
2021-05-29,28.59424
2021-05-30,15.76144
2021-05-31,53.94036
2021-06-01,54.2066
2021-06-02,54.47284
2021-06-03,55.16506
2021-06-04,51.81043
2021-06-05,21.03301
2021-06-06,15.09584
2021-06-07,43.39723
2021-06-08,42.62513
2021-06-09,39.19062
2021-06-10,37.69968
2021-06-11,44.56869
2021-06-12,20.36741
2021-06-13,13.23216
2021-06-14,38.79126
2021-06-15,43.82321
2021-06-16,51.94355
2021-06-17,45.4739
2021-06-18,51.01171
2021-06-19,20.42066
2021-06-20,12.35356
2021-06-21,45.50053
2021-06-22,49.70713
2021-06-23,52.55591
2021-06-24,45.6869
2021-06-25,38.23216
2021-06-26,17.38551
2021-06-27,10.11714
2021-06-28,32.13525
2021-06-29,33.17358
2021-06-30,35.83599
2021-07-01,32.90734
2021-07-02,29.02023
2021-07-03,14.61661
2021-07-04,7.24174
2021-07-05,30.61767
2021-07-06,43.92971
2021-07-07,43.55697
2021-07-08,34.77103
2021-07-09,30.21831
2021-07-10,14.2705
2021-07-11,7.66773
2021-07-12,28.86048
2021-07-13,31.76251
2021-07-14,27.63578
2021-07-15,26.83706
2021-07-16,27.18317
2021-07-17,12.30031
2021-07-18,7.37486
2021-07-19,24.28115
2021-07-20,28.94036
2021-07-21,25.87859
2021-07-22,28.56762
2021-07-23,30.85729
2021-07-24,16.29392
2021-07-25,7.90734
2021-07-26,38.97763
2021-07-27,52.84877
2021-07-28,41.48029
2021-07-29,42.99787
2021-07-30,37.27369
2021-07-31,14.51011
2021-08-01,7.80085
2021-08-02,31.92225
2021-08-03,33.5197
2021-08-04,31.17678
2021-08-05,28.78061
2021-08-06,29.9787
2021-08-07,12.46006
2021-08-08,6.78913
2021-08-09,29.15335
2021-08-10,32.13525
2021-08-11,30.27156
2021-08-12,33.33333
2021-08-13,28.48775
2021-08-14,13.33865
2021-08-15,6.92225
2021-08-16,20.15441
2021-08-17,28.83386
2021-08-18,27.36954
2021-08-19,36.79446
2021-08-20,35.09052
2021-08-21,13.97763
2021-08-22,6.78913
2021-08-23,32.98722
2021-08-24,35.01064
2021-08-25,34.21192
2021-08-26,28.70074
2021-08-27,24.17465
2021-08-28,12.43343
2021-08-29,6.78913
2021-08-30,28.30138
2021-08-31,31.49627
2021-09-01,27.79552
2021-09-02,26.70394
2021-09-03,22.89669
2021-09-04,11.26198
2021-09-05,5.03194
2021-09-06,20.28753
2021-09-07,22.25772
2021-09-08,21.56549
2021-09-09,22.04472
2021-09-10,24.92012
2021-09-11,14.32374
2021-09-12,7.13525
2021-09-13,29.73908
2021-09-14,31.01703
2021-09-15,27.18317
2021-09-16,27.84877
2021-09-17,23.24281
2021-09-18,9.55804
2021-09-19,4.33972
2021-09-20,9.21192
2021-09-21,15.84132
2021-09-22,20.92651
2021-09-23,25.47923
2021-09-24,21.72523
2021-09-25,10.41001
2021-09-26,5.27156
2021-09-27,23.32268
2021-09-28,23.53567
2021-09-29,25.31948
2021-09-30,21.64536
2021-10-01,27.15654
2021-10-02,10.91586
2021-10-03,5.83067
2021-10-04,19.48881
2021-10-05,31.92225
2021-10-06,27.68903
2021-10-07,26.94355
2021-10-08,27.92864
2021-10-09,10.56975
2021-10-10,5.45793
2021-10-11,24.09478
