date,지급명령
2020-03-20,56.81818
2020-03-21,21.28099
2020-03-22,16.94214
2020-03-23,56.61157
2020-03-24,64.66942
2020-03-25,70.66115
2020-03-26,69.62809
2020-03-27,66.1157
2020-03-28,21.07438
2020-03-29,27.27272
2020-03-30,66.73553
2020-03-31,72.93388
2020-04-01,70.86776
2020-04-02,67.76859
2020-04-03,66.1157
2020-04-04,27.68595
2020-04-05,23.96694
2020-04-06,68.80165
2020-04-07,79.75206
2020-04-08,71.07438
2020-04-09,78.09917
2020-04-10,60.12396
2020-04-11,23.55371
2020-04-12,26.03305
2020-04-13,65.70247
2020-04-14,67.9752
2020-04-15,27.89256
2020-04-16,67.56198
2020-04-17,74.17355
2020-04-18,29.54545
2020-04-19,23.3471
2020-04-20,74.38016
2020-04-21,72.31404
2020-04-22,71.69421
2020-04-23,63.42975
2020-04-24,64.66942
2020-04-25,22.93388
2020-04-26,20.45454
2020-04-27,69.42148
2020-04-28,74.58677
2020-04-29,67.76859
2020-04-30,27.47933
2020-05-01,33.47107
2020-05-02,27.47933
2020-05-03,22.72727
2020-05-04,55.99173
2020-05-05,35.7438
2020-05-06,65.70247
2020-05-07,67.56198
2020-05-08,52.06611
2020-05-09,30.78512
2020-05-10,28.30578
2020-05-11,70.45454
2020-05-12,66.52892
2020-05-13,58.47107
2020-05-14,58.47107
2020-05-15,55.3719
2020-05-16,29.95867
2020-05-17,31.19834
2020-05-18,63.63636
2020-05-19,67.14876
2020-05-20,60.33057
2020-05-21,69.00826
2020-05-22,53.09917
2020-05-23,28.09917
2020-05-24,29.13223
2020-05-25,65.90909
2020-05-26,66.73553
2020-05-27,69.42148
2020-05-28,56.81818
2020-05-29,53.30578
2020-05-30,28.51239
2020-05-31,25.41322
2020-06-01,65.49586
2020-06-02,64.4628
2020-06-03,63.42975
2020-06-04,59.91735
2020-06-05,52.47933
2020-06-06,22.10743
2020-06-07,23.55371
2020-06-08,60.12396
2020-06-09,57.43801
2020-06-10,54.13223
2020-06-11,57.85123
2020-06-12,52.68595
2020-06-13,25.20661
2020-06-14,22.31404
2020-06-15,64.66942
2020-06-16,59.50413
2020-06-17,60.53719
2020-06-18,59.71074
2020-06-19,54.13223
2020-06-20,23.3471
2020-06-21,27.47933
2020-06-22,66.32231
2020-06-23,65.49586
2020-06-24,61.57024
2020-06-25,55.78512
2020-06-26,54.33884
2020-06-27,17.76859
2020-06-28,14.87603
2020-06-29,52.68595
2020-06-30,58.05785
2020-07-01,61.57024
2020-07-02,59.0909
2020-07-03,49.79338
2020-07-04,23.76033
2020-07-05,26.65289
2020-07-06,58.67768
2020-07-07,63.01652
2020-07-08,61.36363
2020-07-09,63.42975
2020-07-10,62.80991
2020-07-11,29.95867
2020-07-12,24.38016
2020-07-13,66.52892
