date,LS머트리얼즈주가
2021-10-18,0.01469
2021-12-23,0.00918
2022-10-05,0.01286
2022-10-06,0.00918
2022-11-09,0.01469
2022-11-10,0.02572
2023-03-07,0.03123
2023-03-08,0.01102
2023-03-18,0.00918
2023-04-03,0.11942
2023-04-04,0.03674
2023-04-05,0.01102
2023-04-06,0.02204
2023-04-07,0.00918
2023-04-08,0.01653
2023-04-09,0.0202
2023-04-10,0.0202
2023-04-11,0.24068
2023-04-12,0.0643
2023-04-13,0.03123
2023-04-14,0.02204
2023-04-15,0.02204
2023-04-17,0.01653
2023-04-18,0.01653
2023-04-20,0.00918
2023-04-22,0.02572
2023-04-23,0.00918
2023-04-25,0.01286
2023-04-26,0.01469
2023-04-27,0.0202
2023-04-28,0.00918
2023-04-29,0.01286
2023-05-02,0.02388
2023-05-03,0.01102
2023-05-04,0.01286
2023-05-08,0.01653
2023-05-09,0.01286
2023-05-11,0.01102
2023-05-13,0.00918
2023-06-22,0.05511
2023-06-23,0.05328
2023-06-24,0.04409
2023-06-25,0.16902
2023-06-26,0.05328
2023-06-27,0.01837
2023-06-28,0.03307
2023-06-29,0.01286
2023-07-03,0.00918
2023-07-10,0.01286
2023-07-11,0.01102
2023-07-17,0.00918
2023-07-20,0.00918
2023-07-23,0.01469
2023-07-24,0.01286
2023-07-25,0.03123
2023-07-26,0.04041
2023-07-27,0.01102
2023-08-02,0.01469
2023-11-09,0.00918
2023-11-13,0.00918
2023-11-16,0.01837
2023-11-20,0.01469
2023-11-21,0.0202
2023-11-22,0.01286
2023-11-23,0.01837
2023-11-24,0.02572
2023-11-25,0.03123
2023-11-26,0.01837
2023-11-27,0.01469
2023-11-28,0.07349
2023-11-29,0.08083
2023-11-30,0.07349
2023-12-01,0.18005
2023-12-02,0.0643
2023-12-03,0.06981
2023-12-04,0.26456
2023-12-05,0.3013
2023-12-06,0.33989
2023-12-07,0.24619
2023-12-08,0.22598
2023-12-09,0.12493
2023-12-10,0.079
2023-12-11,0.80655
2023-12-12,100.0
2023-12-13,61.33862
2023-12-14,67.77636
2023-12-15,42.33772
2023-12-16,6.63433
2023-12-17,5.6716
2023-12-18,68.5572
2023-12-19,74.07631
2023-12-20,51.20248
2023-12-21,32.20525
2023-12-22,29.39058
2023-12-23,3.827
2023-12-24,4.91282
2023-12-25,4.10442
2023-12-26,27.05175
2023-12-27,28.77326
2023-12-28,27.22078
2023-12-29,5.3905
2023-12-30,2.87163
2023-12-31,2.53908
2024-01-01,2.91572
2024-01-02,19.88278
2024-01-03,16.24685
2024-01-04,24.50531
2024-01-05,20.8161
2024-01-06,3.08475
2024-01-07,2.76323
2024-01-08,18.97334
2024-01-09,25.9494
2024-01-10,20.96308
2024-01-11,16.01903
2024-01-12,34.86744
2024-01-13,6.48183
2024-01-14,5.00652
2024-01-15,20.87673
2024-01-16,12.90855
2024-01-17,10.00937
2024-01-18,9.89729
2024-01-19,9.57577
2024-01-20,1.42387
2024-01-21,1.14277
2024-01-22,10.65057
2024-01-23,11.06028
2024-01-24,9.99283
2024-01-25,10.02039
2024-01-26,8.63693
2024-01-27,1.05091
2024-01-28,0.99028
2024-01-29,8.92355
2024-01-30,9.56107
2024-01-31,7.73484
2024-02-01,7.8855
2024-02-02,7.25532
2024-02-03,0.80655
2024-02-04,0.70918
2024-02-05,5.65874
2024-02-06,5.66425
2024-02-07,5.46032
2024-02-08,4.37634
2024-02-09,0.58424
2024-02-10,0.44645
2024-02-11,0.45747
2024-02-12,0.48319
2024-02-13,6.57553
2024-02-14,4.94773
2024-02-15,5.08736
2024-02-16,4.39471
2024-02-17,0.53464
2024-02-18,0.49054
2024-02-19,3.83067
2024-02-20,3.7627
2024-02-21,3.72228
2024-02-22,3.61571
2024-02-23,3.36217
2024-02-24,0.47584
2024-02-25,0.49605
2024-02-26,4.87607
2024-02-27,4.20364
2024-02-28,4.29182
2024-02-29,4.05849
2024-03-01,0.60078
2024-03-02,0.46482
2024-03-03,0.43175
2024-03-04,3.86374
2024-03-05,3.97582
2024-03-06,3.31624
2024-03-07,3.2795
2024-03-08,3.12333
2024-03-09,0.42256
2024-03-10,0.47584
2024-03-11,3.11047
2024-03-12,4.41125
2024-03-13,4.08421
2024-03-14,3.22622
2024-03-15,2.71178
2024-03-16,0.39868
2024-03-17,0.33438
2024-03-18,3.20601
2024-03-19,2.52622
2024-03-20,2.12754
