date,현대오토에버주가
2020-03-20,5.28235
2020-03-21,0.57464
2020-03-22,0.57464
2020-03-23,4.47563
2020-03-24,4.7519
2020-03-25,5.06133
2020-03-26,5.74649
2020-03-27,5.91225
2020-03-28,0.72936
2020-03-29,0.53044
2020-03-30,5.79069
2020-03-31,5.61387
2020-04-01,7.45938
2020-04-02,5.32655
2020-04-03,5.10553
2020-04-04,0.68515
2020-04-05,0.30942
2020-04-06,5.32655
2020-04-07,5.9233
2020-04-08,6.15537
2020-04-09,8.54238
2020-04-10,8.99546
2020-04-11,1.1714
2020-04-12,0.88407
2020-04-13,7.08365
2020-04-14,6.39849
2020-04-15,1.06089
2020-04-16,5.73544
2020-04-17,5.80174
2020-04-18,0.70726
2020-04-19,0.55254
2020-04-20,6.42059
2020-04-21,6.07801
2020-04-22,5.52547
2020-04-23,5.11658
2020-04-24,4.38722
2020-04-25,0.38678
2020-04-26,0.35363
2020-04-27,3.91203
2020-04-28,4.47563
2020-04-29,4.06674
2020-04-30,0.78461
2020-05-01,0.47519
2020-05-02,0.27627
2020-05-03,0.43098
2020-05-04,3.82362
2020-05-05,0.77356
2020-05-06,4.55298
2020-05-07,5.45916
2020-05-08,5.72438
2020-05-09,0.64095
2020-05-10,0.6299
2020-05-11,7.76881
2020-05-12,7.22731
2020-05-13,6.82948
2020-05-14,6.52005
2020-05-15,5.3155
2020-05-16,0.68515
2020-05-17,0.49729
2020-05-18,5.23814
2020-05-19,5.91225
2020-05-20,5.20499
2020-05-21,4.78505
2020-05-22,4.78505
2020-05-23,0.41993
2020-05-24,0.33152
2020-05-25,6.52005
2020-05-26,6.4648
2020-05-27,5.3597
2020-05-28,5.65808
2020-05-29,4.58614
2020-05-30,0.32047
2020-05-31,0.28732
2020-06-01,4.51983
2020-06-02,4.34302
2020-06-03,5.17184
2020-06-04,4.93977
2020-06-05,3.91203
2020-06-06,0.34257
2020-06-07,0.32047
2020-06-08,3.96728
2020-06-09,4.1441
2020-06-10,3.92308
2020-06-11,4.1883
2020-06-12,4.67454
2020-06-13,0.41993
2020-06-14,0.18786
2020-06-15,4.53088
2020-06-16,4.39827
2020-06-17,4.28776
2020-06-18,3.87888
2020-06-19,3.5584
2020-06-20,0.29837
2020-06-21,0.14366
2020-06-22,3.26002
2020-06-23,3.29318
2020-06-24,3.18267
2020-06-25,2.96165
2020-06-26,2.72958
2020-06-27,0.30942
2020-06-28,0.23206
2020-06-29,2.53066
2020-06-30,2.98375
2020-07-01,2.88429
2020-07-02,3.20477
2020-07-03,2.9506
2020-07-04,0.25417
2020-07-05,0.0884
2020-07-06,2.42015
2020-07-07,3.11636
2020-07-08,2.88429
