date,중개형ISA계좌
2021-02-25,4.5977
2021-02-26,4.31034
2021-02-27,1.72413
2021-02-28,3.16091
2021-03-02,3.44827
2021-03-03,5.17241
2021-03-04,5.45977
2021-03-05,2.29885
2021-03-07,3.44827
2021-03-08,2.87356
2021-03-09,5.74712
2021-03-10,4.02298
2021-03-11,2.29885
2021-03-12,4.02298
2021-03-13,2.5862
2021-03-14,4.5977
2021-03-15,9.1954
2021-03-16,6.60919
2021-03-17,5.45977
2021-03-18,3.16091
2021-03-19,4.02298
2021-03-20,3.44827
2021-03-21,2.29885
2021-03-22,6.32183
2021-03-23,8.33333
2021-03-24,7.1839
2021-03-25,4.5977
2021-03-26,5.17241
2021-03-27,1.43678
2021-03-28,3.16091
2021-03-29,4.31034
2021-03-30,2.87356
2021-03-31,5.45977
2021-04-01,5.17241
2021-04-02,1.72413
2021-04-03,2.29885
2021-04-04,2.5862
2021-04-05,5.45977
2021-04-06,6.32183
2021-04-07,9.48275
2021-04-08,5.17241
2021-04-09,5.45977
2021-04-10,3.44827
2021-04-12,4.5977
2021-04-13,6.32183
2021-04-14,5.74712
2021-04-15,3.73563
2021-04-16,5.17241
2021-04-17,2.87356
2021-04-18,2.29885
2021-04-19,9.1954
2021-04-20,6.32183
2021-04-21,5.74712
2021-04-22,5.45977
2021-04-23,6.03448
2021-04-24,2.01149
2021-04-25,4.88505
2021-04-26,5.45977
2021-04-27,12.06896
2021-04-28,6.89655
2021-04-29,6.32183
2021-04-30,3.16091
2021-05-03,4.5977
2021-05-04,4.5977
2021-05-06,1.43678
2021-05-07,1.72413
2021-05-10,2.01149
2021-05-11,2.5862
2021-05-12,2.01149
2021-05-13,2.01149
2021-05-18,1.43678
2021-05-20,1.72413
2021-05-21,1.72413
2021-05-22,2.29885
2021-05-24,2.01149
2021-05-25,2.29885
2021-05-26,4.31034
2021-05-27,1.72413
2021-05-28,1.72413
2021-05-30,1.72413
2021-06-01,1.72413
2021-06-02,10.63218
2021-06-03,3.16091
2021-06-04,4.5977
2021-06-05,1.43678
2021-06-06,2.01149
2021-06-07,4.88505
2021-06-08,3.44827
2021-06-09,2.87356
2021-06-10,4.31034
2021-06-11,2.5862
2021-06-15,6.32183
2021-06-16,1.72413
2021-06-17,4.5977
2021-06-18,2.29885
2021-06-20,2.29885
2021-06-21,2.01149
2021-06-22,4.31034
2021-06-23,8.04597
2021-06-24,1.43678
2021-06-25,2.01149
2021-06-26,2.29885
2021-06-28,4.88505
2021-06-29,8.90804
2021-06-30,7.75862
2021-07-01,5.17241
2021-07-02,7.1839
2021-07-04,2.87356
2021-07-05,5.17241
2021-07-06,8.62068
2021-07-07,6.60919
2021-07-08,5.17241
2021-07-10,3.16091
2021-07-11,5.74712
2021-07-12,6.89655
2021-07-13,4.02298
2021-07-14,4.31034
2021-07-15,5.74712
2021-07-16,2.01149
2021-07-17,1.43678
2021-07-19,4.88505
2021-07-20,1.72413
2021-07-22,4.5977
2021-07-23,8.62068
2021-07-24,5.45977
2021-07-25,2.5862
2021-07-26,12.64367
2021-07-27,39.08045
2021-07-28,22.41379
2021-07-29,10.63218
2021-07-30,7.47126
2021-07-31,8.04597
2021-08-01,10.63218
2021-08-02,10.05747
2021-08-03,11.49425
2021-08-04,5.17241
2021-08-05,13.7931
2021-08-06,8.90804
2021-08-07,4.31034
2021-08-08,4.02298
2021-08-09,10.34482
2021-08-10,6.32183
2021-08-11,8.04597
2021-08-12,6.89655
2021-08-13,8.62068
2021-08-14,2.5862
2021-08-15,4.31034
2021-08-16,4.88505
2021-08-17,8.62068
2021-08-18,8.62068
2021-08-19,9.77011
2021-08-20,5.45977
2021-08-21,3.73563
2021-08-22,2.87356
2021-08-23,6.32183
2021-08-24,7.75862
2021-08-25,6.32183
2021-08-26,6.60919
2021-08-27,4.88505
