date,기아자동차주가
2020-03-20,11.2284
2020-03-21,1.84776
2020-03-22,1.3527
2020-03-23,10.8444
2020-03-24,10.44969
2020-03-25,11.27523
2020-03-26,11.58966
2020-03-27,10.20083
2020-03-28,1.6872
2020-03-29,1.19482
2020-03-30,8.57249
2020-03-31,7.89815
2020-04-01,8.72502
2020-04-02,7.8647
2020-04-03,6.8786
2020-04-04,1.10919
2020-04-05,0.97138
2020-04-06,7.66132
2020-04-07,9.81549
2020-04-08,9.29501
2020-04-09,10.59955
2020-04-10,11.45586
2020-04-11,1.39017
2020-04-12,1.26975
2020-04-13,10.28913
2020-04-14,9.31909
2020-04-15,1.48115
2020-04-16,8.08279
2020-04-17,9.12375
2020-04-18,1.1694
2020-04-19,1.04229
2020-04-20,8.98995
2020-04-21,8.58855
2020-04-22,9.00065
2020-04-23,8.75714
2020-04-24,8.48419
2020-04-25,1.10384
2020-04-26,0.78673
2020-04-27,8.58855
2020-04-28,8.84812
2020-04-29,8.10687
2020-04-30,0.98476
2020-05-01,1.22158
2020-05-02,0.50442
2020-05-03,0.57801
2020-05-04,6.3996
2020-05-05,0.96067
2020-05-06,7.24655
2020-05-07,6.227
2020-05-08,7.4138
2020-05-09,0.91919
2020-05-10,0.58068
2020-05-11,7.58104
2020-05-12,6.62171
2020-05-13,6.57621
2020-05-14,6.16411
2020-05-15,6.04236
2020-05-16,0.60209
2020-05-17,0.45625
2020-05-18,6.0156
2020-05-19,8.8227
2020-05-20,7.30676
2020-05-21,6.89466
2020-05-22,6.26312
2020-05-23,0.62082
2020-05-24,0.47498
2020-05-25,5.96743
2020-05-26,6.82107
2020-05-27,7.1074
2020-05-28,7.19704
2020-05-29,7.91688
2020-05-30,0.98609
2020-05-31,0.62216
2020-06-01,8.28483
2020-06-02,9.29501
2020-06-03,9.79408
2020-06-04,8.66348
2020-06-05,7.8085
2020-06-06,0.83089
2020-06-07,0.66364
2020-06-08,7.953
2020-06-09,7.35091
2020-06-10,6.5441
2020-06-11,6.88261
2020-06-12,7.29204
2020-06-13,0.63153
2020-06-14,0.45357
2020-06-15,7.37366
2020-06-16,7.59576
2020-06-17,6.65649
2020-06-18,6.61635
2020-06-19,5.80687
2020-06-20,0.61413
2020-06-21,0.42949
2020-06-22,5.81624
2020-06-23,5.89919
2020-06-24,7.00705
2020-06-25,6.27383
2020-06-26,6.01693
2020-06-27,0.54857
2020-06-28,0.43083
2020-06-29,5.63159
2020-06-30,5.42956
2020-07-01,4.93985
2020-07-02,4.80739
2020-07-03,4.68296
2020-07-04,0.48301
2020-07-05,0.41343
2020-07-06,5.66638
2020-07-07,5.26097
2020-07-08,5.53124
2020-07-09,4.91309
2020-07-10,4.29628
2020-07-11,0.51512
2020-07-12,0.3452
2020-07-13,5.80419
2020-07-14,5.83764
2020-07-15,7.13148
2020-07-16,6.6498
2020-07-17,7.53823
2020-07-18,0.81215
2020-07-19,0.67969
2020-07-20,8.29285
2020-07-21,7.9423
2020-07-22,6.88261
2020-07-23,7.19169
2020-07-24,7.08064
