date,직장인부업
2020-03-20,35.8811
2020-03-21,24.41613
2020-03-22,36.09341
2020-03-23,39.91507
2020-03-24,38.64118
2020-03-25,34.81953
2020-03-26,35.66878
2020-03-27,24.84076
2020-03-28,18.25902
2020-03-29,34.18259
2020-03-30,37.3673
2020-03-31,38.8535
2020-04-01,32.69639
2020-04-02,39.06581
2020-04-03,31.63481
2020-04-04,18.47133
2020-04-05,39.91507
2020-04-06,44.58598
2020-04-07,37.15498
2020-04-08,41.61358
2020-04-09,32.9087
2020-04-10,30.14861
2020-04-11,18.47133
2020-04-12,25.26539
2020-04-13,39.91507
2020-04-14,31.84713
2020-04-15,29.72399
2020-04-16,40.12738
2020-04-17,27.38853
2020-04-18,25.05307
2020-04-19,29.29936
2020-04-20,40.97664
2020-04-21,39.06581
2020-04-22,34.18259
2020-04-23,29.9363
2020-04-24,29.29936
2020-04-25,26.9639
2020-04-26,29.08704
2020-04-27,36.09341
2020-04-28,40.55201
2020-04-29,24.41613
2020-04-30,14.22505
2020-05-01,19.5329
2020-05-02,20.80679
2020-05-03,22.71762
2020-05-04,29.08704
2020-05-05,31.4225
2020-05-06,33.33333
2020-05-07,32.69639
2020-05-08,21.86836
2020-05-09,14.43736
2020-05-10,26.9639
2020-05-11,31.4225
2020-05-12,29.72399
2020-05-13,26.53927
2020-05-14,26.32696
2020-05-15,18.68365
2020-05-16,15.71125
2020-05-17,23.56687
2020-05-18,33.97027
2020-05-19,29.29936
2020-05-20,29.72399
2020-05-21,33.12101
2020-05-22,23.77919
2020-05-23,18.68365
2020-05-24,19.5329
2020-05-25,39.27813
2020-05-26,38.21656
2020-05-27,34.3949
2020-05-28,25.26539
2020-05-29,23.14225
2020-05-30,20.38216
2020-05-31,24.62845
2020-06-01,41.8259
2020-06-02,35.24416
2020-06-03,32.9087
2020-06-04,25.26539
2020-06-05,18.0467
2020-06-06,14.64968
2020-06-07,22.08067
2020-06-08,32.48407
2020-06-09,35.8811
2020-06-10,32.69639
2020-06-11,25.26539
2020-06-12,18.68365
2020-06-13,12.10191
2020-06-14,23.9915
2020-06-15,33.97027
2020-06-16,30.36093
2020-06-17,32.48407
2020-06-18,26.11464
2020-06-19,23.14225
2020-06-20,16.13588
2020-06-21,21.23142
2020-06-22,32.69639
2020-06-23,25.4777
2020-06-24,28.23779
2020-06-25,24.62845
2020-06-26,19.32059
2020-06-27,8.70488
2020-06-28,22.92993
2020-06-29,29.9363
2020-06-30,23.9915
2020-07-01,22.08067
2020-07-02,24.41613
2020-07-03,26.53927
2020-07-04,12.73885
2020-07-05,19.10828
2020-07-06,38.21656
2020-07-07,26.53927
2020-07-08,25.05307
2020-07-09,26.32696
2020-07-10,20.38216
2020-07-11,14.64968
2020-07-12,18.68365
2020-07-13,37.3673
2020-07-14,28.4501
2020-07-15,32.48407
2020-07-16,22.71762
