date,시가총액순위
2020-03-20,43.60167
2020-03-21,11.86574
2020-03-22,9.84659
2020-03-23,45.97482
2020-03-24,40.99908
2020-03-25,40.52707
2020-03-26,40.54018
2020-03-27,34.58764
2020-03-28,9.64337
2020-03-29,8.35846
2020-03-30,31.95227
2020-03-31,32.78484
2020-04-01,33.53874
2020-04-02,31.24426
2020-04-03,27.86154
2020-04-04,7.79467
2020-04-05,6.69332
2020-04-06,27.50098
2020-04-07,29.71023
2020-04-08,27.99921
2020-04-09,27.86154
2020-04-10,29.84135
2020-04-11,9.34836
2020-04-12,10.94139
2020-04-13,26.6553
2020-04-14,23.73148
2020-04-15,7.303
2020-04-16,23.65936
2020-04-17,28.22866
2020-04-18,7.36855
2020-04-19,6.67365
2020-04-20,25.56706
2020-04-21,26.7733
2020-04-22,26.91752
2020-04-23,26.5373
2020-04-24,22.17123
2020-04-25,6.47043
2020-04-26,6.27376
2020-04-27,23.30536
2020-04-28,22.84646
2020-04-29,22.89891
2020-04-30,6.23443
2020-05-01,5.93942
2020-05-02,4.52995
2020-05-03,5.11341
2020-05-04,21.51566
2020-05-05,7.27022
2020-05-06,23.74459
2020-05-07,22.82679
2020-05-08,21.53533
2020-05-09,7.13255
2020-05-10,5.61164
2020-05-11,22.59735
2020-05-12,23.20047
2020-05-13,25.27205
2020-05-14,26.93719
2020-05-15,24.94427
2020-05-16,7.48
2020-05-17,6.65399
2020-05-18,24.91805
2020-05-19,28.64166
2020-05-20,25.91451
2020-05-21,26.05873
2020-05-22,31.5786
2020-05-23,10.90861
2020-05-24,8.92224
2020-05-25,37.85892
2020-05-26,39.07171
2020-05-27,33.50596
2020-05-28,33.44696
2020-05-29,26.81263
2020-05-30,7.97823
2020-05-31,7.61111
2020-06-01,30.75914
2020-06-02,29.34312
2020-06-03,37.24269
2020-06-04,33.7223
2020-06-05,30.25435
2020-06-06,8.4109
2020-06-07,11.47895
2020-06-08,32.05716
2020-06-09,30.16913
2020-06-10,30.28713
2020-06-11,33.79441
2020-06-12,34.89576
2020-06-13,8.66002
2020-06-14,6.94899
2020-06-15,35.94467
2020-06-16,32.3325
2020-06-17,30.52314
2020-06-18,26.78641
2020-06-19,25.52117
2020-06-20,7.05388
2020-06-21,6.67365
2020-06-22,28.30077
2020-06-23,31.47371
2020-06-24,30.58214
2020-06-25,27.82221
2020-06-26,25.09505
2020-06-27,6.91621
2020-06-28,100.0
2020-06-29,25.35728
2020-06-30,25.63262
2020-07-01,23.60036
2020-07-02,29.42179
2020-07-03,29.5529
2020-07-04,7.17844
2020-07-05,8.62068
2020-07-06,33.85997
2020-07-07,35.14488
2020-07-08,29.40867
2020-07-09,34.0173
2020-07-10,31.69004
2020-07-11,9.73515
2020-07-12,8.31257
2020-07-13,30.67392
2020-07-14,28.3401
2020-07-15,29.25134
2020-07-16,28.2221
2020-07-17,27.42231
2020-07-18,8.32568
2020-07-19,7.37511
2020-07-20,28.55644
2020-07-21,30.58869
2020-07-22,29.25789
2020-07-23,29.3759
2020-07-24,28.35321
2020-07-25,7.51278
2020-07-26,8.5748
2020-07-27,28.03854
2020-07-28,32.97495
2020-07-29,32.36528
2020-07-30,30.65425
2020-07-31,31.19181
2020-08-01,10.31204
2020-08-02,8.87636
2020-08-03,37.61636
2020-08-04,34.16153
2020-08-05,39.09794
2020-08-06,39.54372
2020-08-07,55.56575
2020-08-08,15.56968
2020-08-09,13.30142
2020-08-10,51.12757
2020-08-11,50.70145
2020-08-12,41.68087
2020-08-13,40.13373
2020-08-14,32.98151
2020-08-15,9.43359
2020-08-16,8.29946
2020-08-17,10.58083
2020-08-18,34.57453
2020-08-19,35.62344
2020-08-20,53.08115
2020-08-21,41.05152
2020-08-22,10.20715
2020-08-23,9.20414
2020-08-24,33.06673
2020-08-25,34.70565
2020-08-26,35.95778
2020-08-27,38.23915
2020-08-28,32.52261
2020-08-29,10.18749
2020-08-30,11.00039
2020-08-31,37.03946
2020-09-01,35.61033
2020-09-02,33.55841
2020-09-03,35.27599
2020-09-04,33.91897
2020-09-05,10.18093
2020-09-06,9.36147
2020-09-07,32.00472
2020-09-08,33.70263
2020-09-09,35.05965
2020-09-10,38.84882
2020-09-11,37.32135
2020-09-12,10.43005
2020-09-13,8.77146
2020-09-14,34.58764
2020-09-15,34.20086
2020-09-16,33.41418
2020-09-17,36.6199
2020-09-18,31.78182
2020-09-19,8.58791
2020-09-20,8.01101
2020-09-21,32.10961
2020-09-22,32.79139
2020-09-23,30.87059
2020-09-24,32.03749
2020-09-25,27.80909
2020-09-26,7.72912
2020-09-27,6.47698
2020-09-28,26.6553
2020-09-29,24.53127
2020-09-30,6.44421
2020-10-01,6.01153
2020-10-02,6.21476
2020-10-03,5.80175
2020-10-04,5.9132
2020-10-05,26.5963
2020-10-06,25.54084
2020-10-07,23.71181
2020-10-08,25.12783
2020-10-09,7.17844
2020-10-10,6.11642
2020-10-11,6.2082
2020-10-12,24.96394
2020-10-13,25.39006
2020-10-14,24.31493
2020-10-15,33.15851
2020-10-16,26.86508
2020-10-17,7.185
2020-10-18,6.6081
2020-10-19,24.07893
2020-10-20,27.33709
2020-10-21,25.73095
2020-10-22,23.35125
2020-10-23,22.11223
2020-10-24,6.20165
2020-10-25,7.68323
2020-10-26,26.27507
2020-10-27,24.87872
2020-10-28,24.46571
2020-10-29,26.9503
2020-10-30,24.65582
2020-10-31,7.27022
2020-11-01,6.52287
2020-11-02,22.41379
2020-11-03,23.57414
2020-11-04,26.03907
2020-11-05,27.6452
2020-11-06,25.58017
2020-11-07,6.58843
2020-11-08,5.50675
2020-11-09,28.83833
2020-11-10,29.32345
2020-11-11,29.96591
2020-11-12,28.05821
2020-11-13,28.89733
2020-11-14,8.54202
2020-11-15,6.95555
2020-11-16,35.72833
2020-11-17,31.65727
2020-11-18,28.84489
2020-11-19,25.87518
2020-11-20,24.64271
2020-11-21,6.8441
2020-11-22,5.94598
2020-11-23,32.66684
2020-11-24,34.91543
2020-11-25,37.6688
2020-11-26,31.97194
2020-11-27,28.78589
2020-11-28,9.72859
2020-11-29,8.01756
2020-11-30,28.917
2020-12-01,29.63812
2020-12-02,35.66277
