date,채권판매
2020-03-20,28.94736
2020-03-21,23.68421
2020-03-23,15.78947
2020-03-24,28.94736
2020-03-25,36.8421
2020-03-26,21.05263
2020-03-27,31.57894
2020-03-29,21.05263
2020-03-30,50.0
2020-03-31,28.94736
2020-04-01,34.21052
2020-04-02,23.68421
2020-04-03,36.8421
2020-04-05,18.42105
2020-04-06,31.57894
2020-04-07,13.15789
2020-04-08,23.68421
2020-04-09,15.78947
2020-04-10,15.78947
2020-04-11,13.15789
2020-04-12,15.78947
2020-04-16,23.68421
2020-04-18,18.42105
2020-04-20,13.15789
2020-04-21,44.73684
2020-04-23,28.94736
2020-04-24,18.42105
2020-04-27,15.78947
2020-04-28,28.94736
2020-04-29,15.78947
2020-04-30,26.31578
2020-05-01,15.78947
2020-05-06,21.05263
2020-05-07,34.21052
2020-05-08,15.78947
2020-05-11,15.78947
2020-05-12,18.42105
2020-05-13,28.94736
2020-05-18,13.15789
2020-05-19,15.78947
2020-05-20,13.15789
2020-05-21,28.94736
2020-05-26,15.78947
2020-05-27,15.78947
2020-05-28,13.15789
2020-05-29,18.42105
2020-05-31,23.68421
2020-06-01,15.78947
2020-06-02,13.15789
2020-06-03,13.15789
2020-06-04,26.31578
2020-06-07,13.15789
2020-06-09,15.78947
2020-06-11,26.31578
2020-06-15,28.94736
2020-06-16,28.94736
2020-06-17,21.05263
2020-06-18,34.21052
2020-06-19,26.31578
2020-06-22,26.31578
2020-06-24,26.31578
2020-06-26,13.15789
2020-06-28,18.42105
2020-06-30,21.05263
2020-07-01,13.15789
2020-07-02,18.42105
2020-07-03,15.78947
2020-07-04,13.15789
2020-07-06,18.42105
2020-07-08,13.15789
2020-07-09,13.15789
2020-07-10,18.42105
2020-07-13,13.15789
2020-07-14,18.42105
2020-07-15,28.94736
2020-07-16,13.15789
2020-07-17,15.78947
2020-07-21,21.05263
2020-07-22,18.42105
2020-07-23,15.78947
2020-07-24,15.78947
2020-07-28,36.8421
2020-07-29,34.21052
2020-07-30,18.42105
2020-07-31,13.15789
2020-08-05,13.15789
2020-08-06,31.57894
2020-08-07,34.21052
2020-08-19,15.78947
2020-08-20,50.0
2020-08-21,15.78947
2020-08-22,28.94736
2020-08-24,15.78947
2020-08-26,23.68421
2020-08-31,21.05263
2020-09-02,13.15789
2020-09-04,15.78947
2020-09-05,13.15789
2020-09-06,18.42105
2020-09-08,18.42105
2020-09-09,15.78947
2020-09-11,13.15789
2020-09-13,15.78947
2020-09-14,13.15789
2020-09-16,15.78947
2020-09-18,15.78947
2020-09-19,18.42105
2020-09-22,28.94736
2020-09-23,44.73684
2020-09-24,15.78947
2020-09-27,15.78947
2020-09-28,18.42105
2020-10-02,28.94736
2020-10-05,28.94736
2020-10-06,18.42105
2020-10-07,15.78947
2020-10-08,21.05263
2020-10-12,18.42105
2020-10-13,15.78947
2020-10-14,13.15789
2020-10-16,28.94736
2020-10-18,18.42105
2020-10-19,28.94736
2020-10-20,31.57894
2020-10-21,42.10526
2020-10-23,18.42105
2020-10-24,13.15789
2020-10-26,13.15789
2020-10-27,15.78947
2020-10-28,39.47368
2020-10-29,15.78947
2020-10-30,26.31578
2020-11-01,13.15789
2020-11-02,15.78947
2020-11-05,21.05263
2020-11-07,18.42105
2020-11-10,21.05263
2020-11-12,26.31578
2020-11-14,13.15789
2020-11-17,28.94736
2020-11-18,18.42105
2020-11-20,13.15789
2020-11-23,34.21052
2020-11-25,21.05263
2020-11-26,42.10526
2020-11-27,15.78947
2020-11-29,15.78947
2020-11-30,31.57894
2020-12-01,18.42105
2020-12-02,18.42105
2020-12-03,21.05263
2020-12-04,13.15789
2020-12-07,13.15789
2020-12-08,28.94736
2020-12-09,18.42105
2020-12-10,21.05263
2020-12-11,15.78947
2020-12-12,13.15789
2020-12-13,26.31578
2020-12-14,15.78947
2020-12-16,18.42105
2020-12-17,15.78947
2020-12-19,13.15789
2020-12-21,23.68421
2020-12-22,15.78947
2020-12-24,26.31578
2020-12-29,15.78947
2020-12-31,13.15789
2021-01-01,15.78947
2021-01-02,18.42105
2021-01-04,13.15789
2021-01-05,39.47368
2021-01-06,26.31578
2021-01-10,23.68421
2021-01-11,15.78947
2021-01-12,23.68421
2021-01-13,13.15789
2021-01-14,13.15789
2021-01-15,26.31578
2021-01-19,15.78947
2021-01-20,21.05263
2021-01-22,26.31578
2021-01-23,13.15789
2021-01-25,18.42105
2021-01-26,13.15789
2021-01-28,13.15789
2021-01-30,13.15789
2021-01-31,18.42105
2021-02-01,13.15789
