date,대여금
2020-03-20,36.81073
2020-03-21,13.41281
2020-03-22,12.36959
2020-03-23,43.51713
2020-03-24,38.5991
2020-03-25,47.09388
2020-03-26,41.4307
2020-03-27,43.66616
2020-03-28,14.90312
2020-03-29,12.07153
2020-03-30,38.89716
2020-03-31,43.3681
2020-04-01,38.15201
2020-04-02,29.95529
2020-04-03,36.81073
2020-04-04,12.36959
2020-04-05,12.66766
2020-04-06,35.46944
2020-04-07,32.93591
2020-04-08,38.5991
2020-04-09,28.614
2020-04-10,34.57526
2020-04-11,13.41281
2020-04-12,18.03278
2020-04-13,34.87332
2020-04-14,38.00298
2020-04-15,12.36959
2020-04-16,35.17138
2020-04-17,32.93591
2020-04-18,17.58569
2020-04-19,15.94634
2020-04-20,38.00298
2020-04-21,34.72429
2020-04-22,38.15201
2020-04-23,31.59463
2020-04-24,31.4456
2020-04-25,13.56184
2020-04-26,15.35022
2020-04-27,43.07004
2020-04-28,41.72876
2020-04-29,36.2146
2020-04-30,16.6915
2020-05-01,15.79731
2020-05-02,12.81669
2020-05-03,16.09538
2020-05-04,31.14754
2020-05-05,21.60953
2020-05-06,47.98807
2020-05-07,42.02682
2020-05-08,42.32488
2020-05-09,13.71087
2020-05-10,12.36959
2020-05-11,33.38301
2020-05-12,36.36363
2020-05-13,29.80625
2020-05-14,32.93591
2020-05-15,32.19076
2020-05-16,10.87928
2020-05-17,10.13412
2020-05-18,33.97913
2020-05-19,35.61847
2020-05-20,40.23845
2020-05-21,39.94038
2020-05-22,29.65722
2020-05-23,13.41281
2020-05-24,11.4754
2020-05-25,32.78688
2020-05-26,30.9985
2020-05-27,39.64232
2020-05-28,40.68554
2020-05-29,28.614
2020-05-30,10.73025
2020-05-31,12.07153
2020-06-01,33.8301
2020-06-02,35.32041
2020-06-03,31.14754
2020-06-04,28.76304
2020-06-05,28.614
2020-06-06,12.96572
2020-06-07,16.84053
2020-06-08,32.04172
2020-06-09,36.51266
2020-06-10,35.02235
2020-06-11,35.02235
2020-06-12,33.23397
2020-06-13,16.54247
2020-06-14,14.00894
2020-06-15,36.95976
2020-06-16,36.95976
2020-06-17,30.84947
2020-06-18,31.59463
2020-06-19,37.70491
2020-06-20,15.79731
2020-06-21,15.49925
2020-06-22,35.76751
2020-06-23,37.40685
2020-06-24,33.97913
2020-06-25,33.08494
2020-06-26,27.57078
2020-06-27,10.87928
2020-06-28,15.49925
2020-06-29,34.42622
2020-06-30,35.02235
2020-07-01,32.33979
2020-07-02,28.76304
2020-07-03,29.35916
2020-07-04,10.28315
2020-07-05,8.34575
2020-07-06,31.74366
2020-07-07,33.68107
2020-07-08,30.25335
2020-07-09,27.27272
2020-07-10,29.35916
2020-07-11,9.0909
2020-07-12,8.79284
2020-07-13,29.0611
2020-07-14,29.65722
2020-07-15,36.95976
2020-07-16,27.71982
2020-07-17,27.27272
2020-07-18,7.45156
2020-07-19,11.02831
2020-07-20,27.71982
2020-07-21,28.16691
2020-07-22,28.31594
2020-07-23,29.21013
2020-07-24,30.84947
2020-07-25,8.94187
2020-07-26,8.19672
2020-07-27,29.50819
2020-07-28,31.4456
2020-07-29,28.46497
2020-07-30,30.10432
2020-07-31,32.63785
2020-08-01,8.79284
2020-08-02,6.25931
2020-08-03,25.33532
2020-08-04,23.09985
2020-08-05,25.03725
2020-08-06,25.48435
2020-08-07,24.88822
2020-08-08,10.28315
2020-08-09,14.00894
2020-08-10,30.40238
2020-08-11,30.84947
2020-08-12,29.21013
2020-08-13,31.89269
2020-08-14,27.71982
2020-08-15,13.41281
2020-08-16,9.23994
2020-08-17,12.22056
2020-08-18,25.63338
2020-08-19,29.35916
2020-08-20,25.33532
2020-08-21,29.65722
2020-08-22,8.79284
2020-08-23,8.19672
2020-08-24,32.04172
2020-08-25,31.89269
2020-08-26,28.01788
2020-08-27,30.10432
2020-08-28,23.845
2020-08-29,8.34575
2020-08-30,8.04769
2020-08-31,33.53204
2020-09-01,29.35916
2020-09-02,26.82563
2020-09-03,28.91207
2020-09-04,27.71982
2020-09-05,10.58122
2020-09-06,11.17734
2020-09-07,33.53204
2020-09-08,31.74366
2020-09-09,30.10432
2020-09-10,36.51266
2020-09-11,29.80625
2020-09-12,12.66766
2020-09-13,9.98509
2020-09-14,32.33979
2020-09-15,34.12816
2020-09-16,30.9985
2020-09-17,31.59463
2020-09-18,28.76304
2020-09-19,11.9225
2020-09-20,11.4754
2020-09-21,34.72429
2020-09-22,31.89269
2020-09-23,28.614
2020-09-24,30.70044
2020-09-25,33.23397
2020-09-26,10.87928
2020-09-27,14.15797
2020-09-28,38.74813
2020-09-29,28.16691
2020-09-30,9.538
2020-10-01,7.00447
2020-10-02,7.30253
2020-10-03,12.66766
2020-10-04,11.77347
2020-10-05,40.23845
2020-10-06,38.30104
2020-10-07,39.04619
2020-10-08,34.72429
2020-10-09,16.6915
2020-10-10,15.79731
2020-10-11,18.92697
2020-10-12,36.51266
2020-10-13,32.78688
2020-10-14,36.66169
2020-10-15,38.45007
2020-10-16,32.63785
2020-10-17,18.03278
2020-10-18,18.18181
2020-10-19,46.34873
2020-10-20,41.57973
2020-10-21,42.77198
2020-10-22,39.79135
2020-10-23,36.66169
2020-10-24,15.79731
2020-10-25,18.33084
2020-10-26,36.66169
2020-10-27,35.46944
2020-10-28,35.61847
2020-10-29,28.614
2020-10-30,29.80625
2020-10-31,12.22056
2020-11-01,13.11475
2020-11-02,30.55141
2020-11-03,31.59463
2020-11-04,25.33532
2020-11-05,25.93144
2020-11-06,27.57078
2020-11-07,7.1535
2020-11-08,7.30253
2020-11-09,30.25335
2020-11-10,24.59016
2020-11-11,29.35916
2020-11-12,26.82563
2020-11-13,24.2921
2020-11-14,8.94187
2020-11-15,9.38897
2020-11-16,33.53204
2020-11-17,33.68107
2020-11-18,31.4456
2020-11-19,26.08047
2020-11-20,25.78241
2020-11-21,10.73025
2020-11-22,9.98509
2020-11-23,26.82563
2020-11-24,30.25335
2020-11-25,31.89269
2020-11-26,31.74366
2020-11-27,30.84947
2020-11-28,12.96572
2020-11-29,8.34575
2020-11-30,33.38301
2020-12-01,32.19076
2020-12-02,28.614
