date,잠실장미아파트
2020-03-20,47.87379
2020-03-21,47.09647
2020-03-22,40.69501
2020-03-23,45.40466
2020-03-24,62.73433
2020-03-25,87.47142
2020-03-26,68.17558
2020-03-27,64.8834
2020-03-28,55.96707
2020-03-29,50.8459
2020-03-30,56.74439
2020-03-31,53.90946
2020-04-01,55.14403
2020-04-02,50.8459
2020-04-03,49.88568
2020-04-04,50.43438
2020-04-05,46.36488
2020-04-06,50.75445
2020-04-07,51.62322
2020-04-08,45.81618
2020-04-09,51.62322
2020-04-10,51.71467
2020-04-11,47.46227
2020-04-12,46.27343
2020-04-13,50.06858
2020-04-14,44.99314
2020-04-15,45.40466
2020-04-16,50.20576
2020-04-17,49.61133
2020-04-18,45.08459
2020-04-19,57.70461
2020-04-20,48.78829
2020-04-21,44.62734
2020-04-22,43.11842
2020-04-23,43.4385
2020-04-24,45.58756
2020-04-25,44.39871
2020-04-26,44.26154
2020-04-27,46.09053
2020-04-28,52.44627
2020-04-29,49.10836
2020-04-30,40.60356
2020-05-01,43.16415
2020-05-02,43.66712
2020-05-03,42.38683
2020-05-04,43.62139
2020-05-05,42.79835
2020-05-06,41.65523
2020-05-07,43.2556
2020-05-08,33.74485
2020-05-09,36.53406
2020-05-10,33.51623
2020-05-11,35.84819
2020-05-12,40.23776
2020-05-13,33.6534
2020-05-14,42.1582
2020-05-15,35.07087
2020-05-16,32.37311
2020-05-17,33.2876
2020-05-18,39.78052
2020-05-19,37.76863
2020-05-20,32.19021
2020-05-21,41.51806
2020-05-22,36.30544
2020-05-23,35.07087
2020-05-24,36.67123
2020-05-25,40.42066
2020-05-26,38.72885
2020-05-27,36.99131
2020-05-28,32.92181
2020-05-29,34.29355
2020-05-30,38.6374
2020-05-31,33.15043
2020-06-01,36.12254
2020-06-02,41.65523
2020-06-03,37.81435
2020-06-04,38.18015
2020-06-05,45.13031
2020-06-06,44.07864
2020-06-07,44.44444
2020-06-08,51.25743
2020-06-09,42.524
2020-06-10,42.02103
2020-06-11,51.66895
2020-06-12,48.74256
2020-06-13,45.95336
2020-06-14,45.67901
2020-06-15,52.1262
2020-06-16,46.73068
2020-06-17,64.38042
2020-06-18,68.44993
2020-06-19,69.09007
2020-06-20,66.84956
2020-06-21,57.11019
2020-06-22,70.55326
2020-06-23,86.19112
2020-06-24,76.81755
2020-06-25,69.09007
2020-06-26,66.84956
2020-06-27,58.02469
2020-06-28,54.00091
2020-06-29,68.0384
2020-06-30,64.1518
2020-07-01,68.26703
2020-07-02,73.84545
2020-07-03,74.30269
2020-07-04,68.17558
2020-07-05,59.62505
2020-07-06,100.0
2020-07-07,80.06401
2020-07-08,78.32647
2020-07-09,72.8395
2020-07-10,67.44398
2020-07-11,56.47005
2020-07-12,51.66895
2020-07-13,56.14997
2020-07-14,57.75034
2020-07-15,63.87745
2020-07-16,62.82578
2020-07-17,58.98491
2020-07-18,56.92729
2020-07-19,53.13214
2020-07-20,63.87745
2020-07-21,60.8139
2020-07-22,61.13397
2020-07-23,61.49977
2020-07-24,55.23548
2020-07-25,54.04663
2020-07-26,49.65706
2020-07-27,61.59122
2020-07-28,62.78006
2020-07-29,61.36259
2020-07-30,57.01874
2020-07-31,52.85779
2020-08-01,50.11431
2020-08-02,45.31321
2020-08-03,59.25925
2020-08-04,62.78006
2020-08-05,58.84773
2020-08-06,57.61316
2020-08-07,52.1262
2020-08-08,47.55372
2020-08-09,40.83219
2020-08-10,58.34476
2020-08-11,53.22359
2020-08-12,52.85779
2020-08-13,51.98902
2020-08-14,48.42249
2020-08-15,40.32921
2020-08-16,39.78052
2020-08-17,45.45038
2020-08-18,41.74668
2020-08-19,45.26748
2020-08-20,45.08459
2020-08-21,56.14997
2020-08-22,54.04663
2020-08-23,44.58161
2020-08-24,51.3946
2020-08-25,47.46227
2020-08-26,48.33104
2020-08-27,45.86191
2020-08-28,41.88385
2020-08-29,39.82624
2020-08-30,36.57978
2020-08-31,43.62139
2020-09-01,42.93552
2020-09-02,41.9753
2020-09-03,41.88385
2020-09-04,43.94147
2020-09-05,42.524
2020-09-06,37.7229
2020-09-07,47.05075
2020-09-08,42.3411
2020-09-09,41.9753
2020-09-10,41.83813
2020-09-11,40.14631
2020-09-12,38.54595
2020-09-13,42.24965
2020-09-14,43.48422
2020-09-15,43.11842
2020-09-16,39.59762
2020-09-17,40.32921
2020-09-18,38.31732
2020-09-19,41.15226
2020-09-20,34.65935
2020-09-21,40.51211
2020-09-22,38.04298
2020-09-23,36.21399
2020-09-24,35.20804
2020-09-25,32.28166
2020-09-26,33.2876
2020-09-27,30.08687
2020-09-28,41.01508
2020-09-29,33.6534
2020-09-30,29.53818
2020-10-01,29.90397
2020-10-02,36.25971
2020-10-03,35.39094
2020-10-04,37.63145
2020-10-05,40.83219
2020-10-06,40.23776
2020-10-07,38.40877
2020-10-08,38.22588
2020-10-09,37.58573
2020-10-10,40.64929
2020-10-11,34.47645
2020-10-12,44.71879
2020-10-13,45.17604
2020-10-14,42.8898
2020-10-15,44.30727
2020-10-16,40.28349
2020-10-17,41.19798
2020-10-18,39.55189
2020-10-19,41.92958
2020-10-20,45.31321
2020-10-21,42.79835
2020-10-22,39.27754
2020-10-23,37.26566
2020-10-24,39.04892
2020-10-25,35.20804
2020-10-26,42.79835
2020-10-27,41.01508
2020-10-28,41.42661
2020-10-29,40.92363
2020-10-30,38.2716
2020-10-31,36.48834
2020-11-01,34.47645
2020-11-02,36.80841
2020-11-03,39.50617
2020-11-04,34.43072
2020-11-05,38.91175
2020-11-06,38.31732
2020-11-07,37.49428
2020-11-08,34.47645
2020-11-09,37.54
2020-11-10,41.7924
2020-11-11,41.9753
2020-11-12,42.7069
2020-11-13,44.03292
2020-11-14,39.59762
2020-11-15,40.60356
2020-11-16,44.21582
2020-11-17,43.16415
2020-11-18,42.02103
2020-11-19,44.26154
2020-11-20,44.67306
2020-11-21,43.71284
2020-11-22,39.18609
2020-11-23,46.7764
2020-11-24,49.38271
2020-11-25,42.3411
2020-11-26,46.2277
2020-11-27,46.04481
2020-11-28,48.37677
2020-11-29,40.96936
2020-11-30,62.55144
2020-12-01,49.19981
2020-12-02,45.08459
2020-12-03,45.63328
2020-12-04,43.57567
2020-12-05,45.13031
2020-12-06,42.66117
2020-12-07,44.81024
2020-12-08,40.23776
2020-12-09,43.48422
2020-12-10,46.45633
2020-12-11,50.52583
2020-12-12,41.42661
2020-12-13,37.12848
2020-12-14,48.42249
2020-12-15,39.96342
2020-12-16,42.84407
2020-12-17,45.40466
2020-12-18,44.17009
2020-12-19,44.35299
2020-12-20,37.17421
2020-12-21,44.81024
2020-12-22,45.77046
2020-12-23,40.64929
2020-12-24,42.98125
2020-12-25,40.28349
2020-12-26,39.96342
2020-12-27,39.55189
2020-12-28,47.41655
2020-12-29,44.71879
2020-12-30,48.51394
2020-12-31,43.71284
2021-01-01,40.74074
2021-01-02,43.30132
2021-01-03,42.02103
2021-01-04,50.4801
2021-01-05,48.37677
2021-01-06,50.89163
2021-01-07,49.38271
2021-01-08,49.15409
2021-01-09,52.30909
2021-01-10,44.30727
2021-01-11,49.65706
2021-01-12,53.45221
2021-01-13,54.54961
2021-01-14,59.21353
2021-01-15,51.85185
2021-01-16,54.32098
2021-01-17,46.09053
2021-01-18,50.4801
2021-01-19,49.65706
2021-01-20,53.17786
2021-01-21,56.05852
2021-01-22,60.40237
2021-01-23,51.2117
2021-01-24,48.65112
2021-01-25,55.96707
2021-01-26,55.647
2021-01-27,56.3786
2021-01-28,54.96113
2021-01-29,59.07636
2021-01-30,53.04069
2021-01-31,51.30315
2021-02-01,64.97485
2021-02-02,56.14997
2021-02-03,68.49565
2021-02-04,56.47005
2021-02-05,49.61133
2021-02-06,51.30315
2021-02-07,49.74851
2021-02-08,60.03657
2021-02-09,58.75628
2021-02-10,50.75445
2021-02-11,42.7069
2021-02-12,47.00502
2021-02-13,49.24554
2021-02-14,44.12437
2021-02-15,54.73251
2021-02-16,50.38866
2021-02-17,53.26931
2021-02-18,51.34887
2021-02-19,47.37082
2021-02-20,52.72062
2021-02-21,47.18792
2021-02-22,51.30315
2021-02-23,51.5775
2021-02-24,44.67306
2021-02-25,49.65706
2021-02-26,46.86785
2021-02-27,57.93324
2021-02-28,49.74851
2021-03-01,41.92958
2021-03-02,54.73251
