date,전세자금대출
2020-03-20,43.90032
2020-03-21,36.53141
2020-03-22,37.56412
2020-03-23,56.44613
2020-03-24,53.24805
2020-03-25,48.01785
2020-03-26,48.62415
2020-03-27,42.50116
2020-03-28,34.93903
2020-03-29,35.86514
2020-03-30,54.91371
2020-03-31,48.05783
2020-04-01,47.01845
2020-04-02,46.95182
2020-04-03,41.02871
2020-04-04,34.79912
2020-04-05,36.87787
2020-04-06,54.58724
2020-04-07,51.58238
2020-04-08,48.39096
2020-04-09,44.44666
2020-04-10,40.62229
2020-04-11,38.18375
2020-04-12,40.02931
2020-04-13,54.87374
2020-04-14,47.77799
2020-04-15,40.9954
2020-04-16,51.05603
2020-04-17,43.68712
2020-04-18,36.91784
2020-04-19,46.17229
2020-04-20,61.14997
2020-04-21,53.74108
2020-04-22,50.4364
2020-04-23,45.21287
2020-04-24,41.54174
2020-04-25,34.19281
2020-04-26,37.56412
2020-04-27,54.26077
2020-04-28,47.40489
2020-04-29,39.98933
2020-04-30,31.56772
2020-05-01,30.86148
2020-05-02,30.22852
2020-05-03,35.29882
2020-05-04,51.84889
2020-05-05,44.28676
2020-05-06,57.11239
2020-05-07,48.63082
2020-05-08,38.1038
2020-05-09,31.57438
2020-05-10,34.1595
2020-05-11,53.14144
2020-05-12,54.97368
2020-05-13,48.18442
2020-05-14,42.82097
2020-05-15,39.04324
2020-05-16,32.42721
2020-05-17,36.55806
2020-05-18,55.20021
2020-05-19,49.6502
2020-05-20,47.93124
2020-05-21,44.42667
2020-05-22,39.54294
2020-05-23,32.29395
2020-05-24,35.92511
2020-05-25,54.96701
2020-05-26,48.85735
2020-05-27,42.59444
2020-05-28,43.45392
2020-05-29,36.7113
2020-05-30,30.22186
2020-05-31,36.2649
2020-06-01,51.91551
2020-06-02,48.10447
2020-06-03,44.62655
2020-06-04,43.30068
2020-06-05,38.37697
2020-06-06,31.19461
2020-06-07,36.07169
2020-06-08,55.05363
2020-06-09,50.14324
2020-06-10,49.08388
2020-06-11,44.92637
2020-06-12,40.16923
2020-06-13,35.02565
2020-06-14,37.32427
2020-06-15,56.13964
2020-06-16,50.02331
2020-06-17,74.63521
2020-06-18,67.29962
2020-06-19,51.42914
2020-06-20,37.211
2020-06-21,41.58838
2020-06-22,60.6103
2020-06-23,56.18628
2020-06-24,48.98394
2020-06-25,45.10626
2020-06-26,39.48297
2020-06-27,33.03351
2020-06-28,41.33519
2020-06-29,55.74655
2020-06-30,48.74408
2020-07-01,46.61203
2020-07-02,45.68592
2020-07-03,39.45632
2020-07-04,32.74701
2020-07-05,38.01718
2020-07-06,55.22686
2020-07-07,50.07662
2020-07-08,58.77806
2020-07-09,57.19901
2020-07-10,45.23286
2020-07-11,35.33879
2020-07-12,37.69071
2020-07-13,52.88826
2020-07-14,47.62475
2020-07-15,45.23286
2020-07-16,45.11293
2020-07-17,38.317
2020-07-18,32.74701
2020-07-19,34.53261
2020-07-20,50.18322
2020-07-21,45.56599
2020-07-22,42.29462
2020-07-23,39.00992
2020-07-24,35.55866
2020-07-25,27.95655
2020-07-26,31.00139
2020-07-27,50.34312
2020-07-28,45.61929
2020-07-29,43.2074
2020-07-30,44.30674
2020-07-31,44.9397
2020-08-01,31.79425
2020-08-02,32.28729
2020-08-03,48.00453
2020-08-04,44.43333
2020-08-05,40.72223
2020-08-06,40.08927
2020-08-07,36.92451
2020-08-08,29.1625
2020-08-09,32.96022
2020-08-10,49.01059
2020-08-11,42.64108
2020-08-12,43.04084
2020-08-13,40.80884
2020-08-14,36.17829
2020-08-15,27.10373
2020-08-16,27.10373
2020-08-17,37.9972
2020-08-18,45.42607
2020-08-19,44.67985
2020-08-20,41.08868
2020-08-21,35.36544
2020-08-22,29.02258
2020-08-23,31.2146
2020-08-24,46.99846
2020-08-25,41.81491
