date,노후자금
2020-03-20,29.69121
2020-03-21,26.12826
2020-03-22,31.82897
2020-03-23,25.17814
2020-03-24,31.35391
2020-03-25,31.11638
2020-03-26,26.36579
2020-03-27,29.69121
2020-03-28,29.69121
2020-03-29,36.10451
2020-03-30,37.52969
2020-03-31,41.56769
2020-04-01,38.00475
2020-04-02,36.10451
2020-04-03,22.80285
2020-04-04,17.10213
2020-04-05,24.46555
2020-04-06,29.45368
2020-04-07,27.07838
2020-04-08,21.14014
2020-04-09,23.75296
2020-04-10,24.94061
2020-04-11,19.95249
2020-04-12,24.70308
2020-04-13,36.57957
2020-04-14,31.11638
2020-04-15,24.22802
2020-04-16,29.21615
2020-04-17,29.92874
2020-04-18,24.46555
2020-04-19,35.39192
2020-04-20,33.25415
2020-04-21,28.97862
2020-04-22,25.6532
2020-04-23,31.82897
2020-04-24,25.6532
2020-04-25,21.14014
2020-04-26,27.31591
2020-04-27,37.29216
2020-04-28,33.96674
2020-04-29,32.77909
2020-04-30,22.56532
2020-05-01,23.04038
2020-05-02,18.76484
2020-05-03,22.09026
2020-05-04,25.89073
2020-05-05,31.82897
2020-05-06,24.46555
2020-05-07,25.17814
2020-05-08,23.2779
2020-05-09,20.66508
2020-05-10,19.47743
2020-05-11,32.54156
2020-05-12,33.49168
2020-05-13,23.99049
2020-05-14,22.80285
2020-05-15,25.41567
2020-05-16,22.56532
2020-05-17,25.6532
2020-05-18,25.17814
2020-05-19,22.80285
2020-05-20,20.42755
2020-05-21,23.99049
2020-05-22,21.85273
2020-05-23,25.41567
2020-05-24,19.95249
2020-05-25,22.56532
2020-05-26,24.22802
2020-05-27,25.89073
2020-05-28,18.76484
2020-05-29,21.6152
2020-05-30,23.51543
2020-05-31,22.09026
2020-06-01,17.81472
2020-06-02,23.04038
2020-06-03,21.37767
2020-06-04,24.94061
2020-06-05,32.77909
2020-06-06,25.17814
2020-06-07,24.46555
2020-06-08,18.52731
2020-06-09,24.94061
2020-06-10,22.80285
2020-06-11,19.71496
2020-06-12,19.00237
2020-06-13,20.19002
2020-06-14,16.38954
2020-06-15,19.71496
2020-06-16,22.09026
2020-06-17,20.66508
2020-06-18,26.36579
2020-06-19,24.94061
2020-06-20,19.2399
2020-06-21,29.45368
2020-06-22,16.62707
2020-06-23,24.22802
2020-06-24,20.90261
2020-06-25,25.89073
2020-06-26,21.14014
2020-06-27,17.10213
2020-06-28,22.32779
2020-06-29,23.2779
2020-06-30,19.71496
2020-07-01,23.99049
2020-07-02,24.22802
2020-07-03,17.10213
2020-07-04,13.06413
2020-07-05,27.31591
2020-07-06,25.6532
2020-07-07,22.09026
2020-07-08,21.37767
2020-07-09,21.37767
2020-07-10,20.42755
2020-07-11,14.96437
2020-07-12,27.55344
2020-07-13,19.95249
2020-07-14,20.90261
2020-07-15,22.80285
2020-07-16,19.00237
2020-07-17,19.47743
2020-07-18,14.96437
2020-07-19,19.47743
2020-07-20,17.33966
2020-07-21,22.32779
2020-07-22,21.85273
2020-07-23,24.22802
2020-07-24,17.57719
2020-07-25,16.8646
2020-07-26,18.05225
2020-07-27,22.32779
2020-07-28,22.56532
2020-07-29,25.17814
2020-07-30,13.30166
2020-07-31,15.2019
2020-08-01,12.8266
2020-08-02,17.81472
2020-08-03,19.95249
2020-08-04,22.56532
2020-08-05,20.90261
2020-08-06,18.05225
2020-08-07,18.28978
2020-08-08,19.71496
2020-08-09,20.19002
2020-08-10,19.2399
2020-08-11,19.95249
2020-08-12,18.52731
2020-08-13,26.12826
2020-08-14,14.48931
2020-08-15,16.15201
2020-08-16,15.67695
2020-08-17,16.38954
2020-08-18,19.47743
2020-08-19,18.28978
2020-08-20,20.42755
2020-08-21,18.05225
2020-08-22,15.67695
2020-08-23,19.71496
2020-08-24,21.6152
2020-08-25,17.81472
2020-08-26,20.19002
2020-08-27,19.95249
2020-08-28,22.56532
2020-08-29,19.00237
2020-08-30,20.19002
2020-08-31,18.28978
2020-09-01,23.04038
2020-09-02,26.36579
2020-09-03,22.80285
2020-09-04,22.56532
2020-09-05,14.96437
2020-09-06,22.09026
2020-09-07,19.71496
2020-09-08,24.70308
2020-09-09,35.62945
2020-09-10,32.54156
