date,소득공제
2020-03-20,12.13798
2020-03-21,8.56047
2020-03-22,9.40161
2020-03-23,12.06345
2020-03-24,14.85306
2020-03-25,15.72614
2020-03-26,14.89565
2020-03-27,14.19293
2020-03-28,11.03066
2020-03-29,10.98807
2020-03-30,17.17419
2020-03-31,17.77044
2020-04-01,15.39608
2020-04-02,13.07495
2020-04-03,12.38287
2020-04-04,10.04045
2020-04-05,8.97572
2020-04-06,12.08475
2020-04-07,12.57453
2020-04-08,33.92248
2020-04-09,54.25894
2020-04-10,24.44633
2020-04-11,15.09795
2020-04-12,11.50979
2020-04-13,16.82282
2020-04-14,16.41822
2020-04-15,11.33943
2020-04-16,13.37308
2020-04-17,14.03321
2020-04-18,11.47785
2020-04-19,11.20102
2020-04-20,15.53449
2020-04-21,15.98168
2020-04-22,16.55664
2020-04-23,16.1201
2020-04-24,15.22572
2020-04-25,11.47785
2020-04-26,10.68994
2020-04-27,17.45102
2020-04-28,24.5741
2020-04-29,31.06899
2020-04-30,31.21805
2020-05-01,25.37265
2020-05-02,15.82197
2020-05-03,17.46166
2020-05-04,100.0
2020-05-05,20.9327
2020-05-06,24.22274
2020-05-07,24.91482
2020-05-08,22.49787
2020-05-09,15.23637
2020-05-10,16.67376
2020-05-11,25.181
2020-05-12,25.23424
2020-05-13,22.35945
2020-05-14,19.32495
2020-05-15,16.36499
2020-05-16,11.16908
2020-05-17,11.31814
2020-05-18,16.46081
2020-05-19,15.72614
2020-05-20,15.75809
2020-05-21,14.72529
2020-05-22,11.49914
2020-05-23,9.13543
2020-05-24,9.2632
2020-05-25,15.37478
2020-05-26,14.25681
2020-05-27,12.75553
2020-05-28,12.32964
2020-05-29,11.50979
2020-05-30,7.63415
2020-05-31,8.90119
2020-06-01,13.6925
2020-06-02,11.27555
2020-06-03,10.70059
2020-06-04,8.98637
2020-06-05,7.69804
2020-06-06,5.77086
2020-06-07,6.51618
2020-06-08,8.4327
2020-06-09,9.0396
2020-06-10,9.91269
2020-06-11,8.40076
2020-06-12,8.15587
2020-06-13,5.80281
2020-06-14,5.74957
2020-06-15,8.73083
2020-06-16,8.91183
2020-06-17,8.26235
2020-06-18,8.2304
2020-06-19,7.95357
2020-06-20,6.0264
2020-06-21,6.53747
2020-06-22,8.39011
2020-06-23,9.38032
2020-06-24,8.99701
2020-06-25,9.41226
2020-06-26,7.75127
2020-06-27,6.12223
2020-06-28,6.67589
2020-06-29,8.95442
2020-06-30,9.10349
2020-07-01,8.96507
2020-07-02,8.36882
2020-07-03,7.31473
2020-07-04,5.63245
2020-07-05,5.95187
2020-07-06,8.29429
2020-07-07,7.59156
2020-07-08,9.00766
2020-07-09,8.635
2020-07-10,8.47529
2020-07-11,5.95187
2020-07-12,5.06814
2020-07-13,8.39011
2020-07-14,8.39011
2020-07-15,8.00681
2020-07-16,7.06984
2020-07-17,6.44165
2020-07-18,5.32367
2020-07-19,5.34497
2020-07-20,7.72998
2020-07-21,7.50638
2020-07-22,11.76533
2020-07-23,10.00851
2020-07-24,7.26149
2020-07-25,5.97316
2020-07-26,5.47274
2020-07-27,9.42291
2020-07-28,8.35817
2020-07-29,8.13458
2020-07-30,9.48679
2020-07-31,9.8488
2020-08-01,6.32453
2020-08-02,5.71763
2020-08-03,6.77172
2020-08-04,6.95272
2020-08-05,7.75127
2020-08-06,7.4425
2020-08-07,6.28194
2020-08-08,4.80195
2020-08-09,5.18526
2020-08-10,7.54897
2020-08-11,7.57027
2020-08-12,7.76192
2020-08-13,6.28194
2020-08-14,5.50468
2020-08-15,4.08858
2020-08-16,4.14182
2020-08-17,4.52512
2020-08-18,6.52683
2020-08-19,7.95357
2020-08-20,7.36797
2020-08-21,6.67589
2020-08-22,5.20655
2020-08-23,5.06814
2020-08-24,6.91013
2020-08-25,7.16567
2020-08-26,7.4212
2020-08-27,6.78236
2020-08-28,6.2287
2020-08-29,5.55792
2020-08-30,5.49403
2020-08-31,7.85775
2020-09-01,7.78321
2020-09-02,8.2517
2020-09-03,7.27214
2020-09-04,6.86754
2020-09-05,4.82325
2020-09-06,5.60051
2020-09-07,6.93143
2020-09-08,8.00681
2020-09-09,7.8471
2020-09-10,8.68824
2020-09-11,6.92078
2020-09-12,4.65289
2020-09-13,5.07879
2020-09-14,6.47359
2020-09-15,7.76192
2020-09-16,7.32538
2020-09-17,6.92078
2020-09-18,6.48424
2020-09-19,4.49318
2020-09-20,4.6316
2020-09-21,7.00596
2020-09-22,6.39906
2020-09-23,6.96337
2020-09-24,6.39906
2020-09-25,6.38841
2020-09-26,4.37606
2020-09-27,4.87649
2020-09-28,7.47444
2020-09-29,6.6333
2020-09-30,4.4293
2020-10-01,3.63074
2020-10-02,4.06729
2020-10-03,4.30153
2020-10-04,5.31303
2020-10-05,7.69804
2020-10-06,8.8586
2020-10-07,7.95357
2020-10-08,7.75127
2020-10-09,5.4408
2020-10-10,5.90928
2020-10-11,5.51533
2020-10-12,8.44335
2020-10-13,8.11328
2020-10-14,7.4425
2020-10-15,7.63415
2020-10-16,7.11243
2020-10-17,5.16396
