date,코스피200종목
2020-03-20,2.61437
2020-03-21,0.73894
2020-03-22,0.70272
2020-03-23,2.50479
2020-03-24,2.30919
2020-03-25,2.4414
2020-03-26,2.39794
2020-03-27,2.02303
2020-03-28,0.65834
2020-03-29,0.52613
2020-03-30,1.67167
2020-03-31,1.55395
2020-04-01,1.63183
2020-04-02,1.60738
2020-04-03,1.35472
2020-04-04,0.39211
2020-04-05,0.36041
2020-04-06,1.32212
2020-04-07,1.53403
2020-04-08,1.40725
2020-04-09,1.26869
2020-04-10,1.22885
2020-04-11,0.53337
2020-04-12,0.46002
2020-04-13,1.27413
2020-04-14,1.1238
2020-04-15,0.40569
2020-04-16,1.12471
2020-04-17,1.40725
2020-04-18,0.4075
2020-04-19,0.38214
2020-04-20,1.16727
2020-04-21,1.26869
2020-04-22,1.21164
2020-04-23,1.14644
2020-04-24,1.0423
2020-04-25,0.29974
2020-04-26,0.326
2020-04-27,1.07128
2020-04-28,1.03868
2020-04-29,0.90647
2020-04-30,0.33143
2020-05-01,0.32419
2020-05-02,0.2128
2020-05-03,0.21461
2020-05-04,0.81863
2020-05-05,0.23273
2020-05-06,0.70634
2020-05-07,0.76882
2020-05-08,0.74437
2020-05-09,0.24359
2020-05-10,0.18835
2020-05-11,0.70453
2020-05-12,0.69275
2020-05-13,0.78331
2020-05-14,0.79056
2020-05-15,0.68551
2020-05-16,0.18835
2020-05-17,0.18926
2020-05-18,0.70996
2020-05-19,0.91915
2020-05-20,0.82316
2020-05-21,0.85395
2020-05-22,0.77244
2020-05-23,0.21824
2020-05-24,0.19288
2020-05-25,0.77969
2020-05-26,0.89922
2020-05-27,1.00155
2020-05-28,0.93816
2020-05-29,0.69909
2020-05-30,0.22639
2020-05-31,0.19016
2020-06-01,0.69909
2020-06-02,0.82225
2020-06-03,1.09664
2020-06-04,0.94903
2020-06-05,0.9762
2020-06-06,0.3097
2020-06-07,0.31423
2020-06-08,0.91552
2020-06-09,0.90103
2020-06-10,0.86481
2020-06-11,0.90737
2020-06-12,0.92548
2020-06-13,0.24993
2020-06-14,0.1793
2020-06-15,0.99069
2020-06-16,0.85666
2020-06-17,0.81772
2020-06-18,0.75433
2020-06-19,0.69457
2020-06-20,0.20194
2020-06-21,0.14851
2020-06-22,0.66468
2020-06-23,0.70905
2020-06-24,0.7489
2020-06-25,0.77697
2020-06-26,0.7
2020-06-27,0.1956
2020-06-28,0.16209
2020-06-29,0.72898
2020-06-30,0.67464
2020-07-01,0.66649
2020-07-02,0.65834
2020-07-03,0.69004
2020-07-04,0.2282
2020-07-05,0.19107
2020-07-06,0.73622
2020-07-07,0.79327
2020-07-08,0.71268
2020-07-09,0.70634
