date,KODEX반도체
2020-03-20,8.15709
2020-03-21,3.32326
2020-03-22,3.24773
2020-03-23,4.90936
2020-03-24,8.91238
2020-03-25,12.46223
2020-03-26,9.44108
2020-03-27,10.57401
2020-03-28,3.1722
2020-03-29,3.62537
2020-03-30,8.38368
2020-03-31,8.15709
2020-04-01,8.08157
2020-04-02,7.17522
2020-04-03,5.51359
2020-04-04,2.71903
2020-04-05,1.88821
2020-04-06,6.41993
2020-04-07,9.66767
2020-04-08,7.55287
2020-04-09,6.49546
2020-04-10,7.09969
2020-04-11,2.1148
2020-04-12,2.87009
2020-04-13,6.26888
2020-04-14,7.32628
2020-04-15,3.62537
2020-04-16,5.36253
2020-04-17,5.43806
2020-04-18,3.02114
2020-04-19,2.41691
2020-04-20,5.8157
2020-04-21,4.38066
2020-04-22,4.45619
2020-04-23,5.96676
2020-04-24,2.1148
2020-04-25,1.96374
2020-04-26,2.87009
2020-04-27,4.30513
2020-04-28,3.85196
2020-04-29,6.79758
2020-04-30,2.1148
2020-05-01,0.90634
2020-05-02,1.43504
2020-05-03,0.98187
2020-05-04,3.09667
2020-05-05,1.51057
2020-05-06,4.60725
2020-05-07,4.53172
2020-05-08,5.96676
2020-05-09,2.03927
2020-05-10,1.13293
2020-05-11,3.62537
2020-05-12,4.38066
2020-05-13,5.58912
2020-05-14,4.53172
2020-05-15,6.87311
2020-05-16,1.13293
2020-05-17,2.49244
2020-05-18,5.51359
2020-05-19,5.74018
2020-05-20,8.08157
2020-05-21,10.42296
2020-05-22,6.26888
2020-05-23,2.03927
2020-05-24,1.66163
2020-05-25,5.8157
2020-05-26,7.55287
2020-05-27,6.49546
2020-05-28,6.79758
2020-05-29,7.17522
2020-05-30,1.96374
2020-05-31,1.28398
2020-06-01,8.6858
2020-06-02,8.38368
2020-06-03,11.70694
2020-06-04,11.25377
2020-06-05,7.25075
2020-06-06,1.73716
2020-06-07,2.49244
2020-06-08,5.96676
2020-06-09,5.74018
2020-06-10,8.00604
2020-06-11,8.08157
2020-06-12,6.79758
2020-06-13,1.13293
2020-06-14,1.28398
2020-06-15,6.64652
2020-06-16,9.13897
2020-06-17,9.13897
2020-06-18,5.66465
2020-06-19,5.89123
2020-06-20,1.51057
2020-06-21,1.43504
2020-06-22,7.40181
2020-06-23,6.19335
2020-06-24,8.23262
2020-06-25,6.26888
2020-06-26,7.02416
2020-06-27,0.45317
2020-06-28,0.90634
2020-06-29,4.15407
2020-06-30,8.53474
2020-07-01,5.8157
2020-07-02,5.43806
2020-07-03,6.49546
2020-07-04,0.90634
2020-07-05,1.5861
2020-07-06,5.43806
2020-07-07,6.57099
2020-07-08,5.06042
2020-07-09,7.70392
2020-07-10,5.74018
2020-07-11,0.83081
2020-07-12,0.5287
2020-07-13,6.26888
2020-07-14,6.26888
2020-07-15,5.58912
2020-07-16,5.89123
2020-07-17,5.06042
2020-07-18,0.90634
2020-07-19,1.20845
2020-07-20,4.2296
2020-07-21,5.13595
2020-07-22,5.74018
2020-07-23,5.36253
2020-07-24,5.06042
2020-07-25,1.20845
2020-07-26,1.5861
2020-07-27,9.06344
2020-07-28,10.64954
2020-07-29,5.66465
2020-07-30,8.6858
2020-07-31,6.19335
2020-08-01,1.51057
2020-08-02,2.19033
2020-08-03,6.04229
2020-08-04,5.51359
2020-08-05,8.6858
2020-08-06,9.06344
2020-08-07,10.57401
2020-08-08,3.24773
2020-08-09,3.09667
2020-08-10,8.30815
2020-08-11,8.38368
2020-08-12,6.94864
2020-08-13,4.7583
2020-08-14,5.74018
2020-08-15,1.20845
2020-08-16,0.60422
2020-08-17,1.96374
2020-08-18,7.85498
2020-08-19,8.38368
2020-08-20,7.40181
2020-08-21,5.21148
2020-08-22,1.51057
2020-08-23,1.20845
2020-08-24,3.92749
2020-08-25,4.68277
2020-08-26,5.96676
2020-08-27,5.36253
2020-08-28,9.29003
2020-08-29,1.35951
2020-08-30,1.0574
2020-08-31,8.08157
2020-09-01,7.70392
2020-09-02,8.45921
2020-09-03,9.44108
2020-09-04,7.32628
2020-09-05,1.43504
2020-09-06,2.41691
2020-09-07,7.77945
2020-09-08,9.29003
2020-09-09,9.29003
2020-09-10,8.00604
2020-09-11,4.45619
2020-09-12,2.34138
2020-09-13,1.66163
2020-09-14,5.36253
2020-09-15,9.36555
2020-09-16,10.19637
2020-09-17,5.89123
2020-09-18,7.17522
2020-09-19,1.5861
2020-09-20,1.73716
2020-09-21,7.40181
2020-09-22,6.49546
2020-09-23,8.53474
2020-09-24,6.41993
2020-09-25,6.64652
2020-09-26,0.98187
2020-09-27,2.41691
2020-09-28,8.83685
2020-09-29,6.72205
2020-09-30,1.28398
