date,삼성전자주식
2020-03-20,80.35173
2020-03-21,22.80877
2020-03-22,17.85826
2020-03-23,78.04965
2020-03-24,77.80481
2020-03-25,78.87075
2020-03-26,69.98342
2020-03-27,60.7572
2020-03-28,16.64004
2020-03-29,11.75522
2020-03-30,51.3593
2020-03-31,45.41152
2020-04-01,47.81511
2020-04-02,46.4267
2020-04-03,37.60804
2020-04-04,9.23368
2020-04-05,7.06597
2020-04-06,37.12733
2020-04-07,42.42419
2020-04-08,36.79142
2020-04-09,33.98474
2020-04-10,33.17558
2020-04-11,6.70468
2020-04-12,5.32821
2020-04-13,29.95834
2020-04-14,27.10239
2020-04-15,7.01819
2020-04-16,25.08546
2020-04-17,34.38335
2020-04-18,6.82113
2020-04-19,5.03262
2020-04-20,29.38208
2020-04-21,31.66325
2020-04-22,30.84663
2020-04-23,29.0402
2020-04-24,23.97175
2020-04-25,4.59668
2020-04-26,3.76662
2020-04-27,23.21036
2020-04-28,22.14591
2020-04-29,22.85206
2020-04-30,4.68029
2020-05-01,5.5208
2020-05-02,2.96791
2020-05-03,2.85445
2020-05-04,20.21259
2020-05-05,4.84301
2020-05-06,22.21309
2020-05-07,19.23771
2020-05-08,17.22825
2020-05-09,3.45162
2020-05-10,2.94253
2020-05-11,18.30165
2020-05-12,19.60945
2020-05-13,19.21383
2020-05-14,18.55993
2020-05-15,17.60894
2020-05-16,3.20678
2020-05-17,2.5708
2020-05-18,18.42855
2020-05-19,22.39523
2020-05-20,19.36312
2020-05-21,19.387
2020-05-22,17.80003
2020-05-23,3.26202
2020-05-24,2.80518
2020-05-25,17.72987
2020-05-26,17.85975
2020-05-27,18.36734
2020-05-28,19.58705
2020-05-29,17.38948
2020-05-30,2.84101
2020-05-31,2.42449
2020-06-01,19.11081
2020-06-02,18.9884
2020-06-03,30.71525
2020-06-04,30.00761
2020-06-05,25.18848
2020-06-06,4.37872
2020-06-07,3.76364
2020-06-08,24.94065
2020-06-09,24.10462
2020-06-10,20.98592
2020-06-11,21.4099
2020-06-12,21.09789
2020-06-13,3.29038
2020-06-14,2.67381
2020-06-15,22.26684
2020-06-16,22.70725
2020-06-17,20.50818
2020-06-18,17.32529
2020-06-19,16.33698
2020-06-20,2.95746
2020-06-21,2.25579
2020-06-22,16.32802
2020-06-23,15.75922
2020-06-24,17.02521
2020-06-25,15.90403
2020-06-26,16.04586
2020-06-27,2.83056
2020-06-28,2.16472
2020-06-29,14.72761
2020-06-30,15.11428
2020-07-01,14.07521
2020-07-02,13.4243
2020-07-03,13.30486
2020-07-04,2.26326
2020-07-05,2.54392
2020-07-06,17.23123
2020-07-07,19.55869
2020-07-08,15.58455
2020-07-09,14.23346
2020-07-10,13.01225
2020-07-11,2.52601
2020-07-12,2.43345
2020-07-13,14.22749
2020-07-14,13.15706
2020-07-15,15.57111
2020-07-16,13.99758
2020-07-17,13.58105
2020-07-18,2.57826
2020-07-19,2.26923
2020-07-20,13.85127
2020-07-21,16.51314
2020-07-22,15.22326
2020-07-23,14.69029
2020-07-24,13.17647
2020-07-25,2.49914
2020-07-26,3.75319
2020-07-27,15.64277
2020-07-28,22.32058
2020-07-29,21.7682
2020-07-30,18.62263
2020-07-31,15.71742
2020-08-01,3.18289
2020-08-02,2.85146
2020-08-03,15.05605
2020-08-04,15.02918
2020-08-05,15.51587
2020-08-06,15.90403
2020-08-07,15.09039
2020-08-08,3.24709
2020-08-09,3.16348
2020-08-10,16.27577
2020-08-11,17.29394
2020-08-12,16.24591
2020-08-13,16.8177
2020-08-14,15.03814
2020-08-15,3.05301
2020-08-16,2.56781
2020-08-17,5.17444
2020-08-18,16.59376
2020-08-19,14.66939
2020-08-20,18.70922
2020-08-21,15.93687
2020-08-22,3.15303
2020-08-23,2.5484
2020-08-24,14.48875
2020-08-25,13.47207
2020-08-26,13.48401
2020-08-27,13.87814
2020-08-28,13.30188
2020-08-29,3.18886
2020-08-30,3.99802
2020-08-31,17.29841
2020-09-01,16.0787
2020-09-02,15.38599
2020-09-03,16.60122
2020-09-04,14.70522
2020-09-05,3.03211
2020-09-06,2.70964
2020-09-07,16.11752
2020-09-08,17.59252
2020-09-09,16.98789
2020-09-10,17.2596
2020-09-11,15.27253
2020-09-12,3.18886
2020-09-13,2.82161
2020-09-14,16.91324
2020-09-15,17.50145
2020-09-16,16.77291
2020-09-17,16.02794
2020-09-18,14.22301
2020-09-19,2.92312
2020-09-20,2.34387
2020-09-21,12.97642
2020-09-22,13.36458
2020-09-23,13.31979
2020-09-24,13.17199
2020-09-25,11.49545
2020-09-26,2.48421
2020-09-27,2.25131
2020-09-28,11.11177
2020-09-29,9.59347
2020-09-30,2.79175
2020-10-01,2.33939
2020-10-02,2.15278
2020-10-03,2.15129
2020-10-04,2.4857
2020-10-05,11.99856
2020-10-06,11.73133
2020-10-07,11.82538
2020-10-08,14.77091
2020-10-09,3.54418
2020-10-10,2.21698
2020-10-11,2.21847
2020-10-12,12.56736
2020-10-13,12.95701
2020-10-14,12.12994
2020-10-15,11.76119
2020-10-16,11.46858
2020-10-17,2.73651
2020-10-18,2.48271
2020-10-19,11.41035
2020-10-20,12.14935
2020-10-21,12.2016
2020-10-22,11.12073
2020-10-23,10.16675
2020-10-24,2.27818
2020-10-25,32.18129
2020-10-26,22.11456
2020-10-27,14.43351
2020-10-28,13.99758
2020-10-29,16.82964
2020-10-30,16.35638
2020-10-31,3.97264
2020-11-01,3.2665
2020-11-02,14.329
2020-11-03,12.57184
2020-11-04,13.24813
2020-11-05,13.44072
2020-11-06,12.71068
2020-11-07,2.58722
2020-11-08,2.20205
