date,유언
2020-03-20,4.51096
2020-03-21,3.66779
2020-03-22,4.30016
2020-03-23,4.63743
2020-03-24,3.28836
2020-03-25,3.66779
2020-03-26,4.72175
2020-03-27,4.25801
2020-03-28,4.42664
2020-03-29,3.62563
2020-03-30,5.05902
2020-03-31,3.9629
2020-04-01,5.18549
2020-04-02,3.87858
2020-04-03,4.25801
2020-04-04,3.33052
2020-04-05,4.34232
2020-04-06,3.9629
2020-04-07,5.14333
2020-04-08,4.4688
2020-04-09,3.92074
2020-04-10,4.4688
2020-04-11,3.2462
2020-04-12,4.25801
2020-04-13,4.51096
2020-04-14,3.9629
2020-04-15,3.7521
2020-04-16,3.83642
2020-04-17,3.79426
2020-04-18,3.54131
2020-04-19,4.84822
2020-04-20,4.38448
2020-04-21,4.4688
2020-04-22,5.05902
2020-04-23,5.35413
2020-04-24,3.87858
2020-04-25,3.03541
2020-04-26,3.66779
2020-04-27,4.80607
2020-04-28,4.13153
2020-04-29,3.9629
2020-04-30,2.99325
2020-05-01,4.51096
2020-05-02,3.49915
2020-05-03,4.34232
2020-05-04,3.9629
2020-05-05,3.37268
2020-05-06,5.56492
2020-05-07,4.13153
2020-05-08,3.92074
2020-05-09,3.83642
2020-05-10,4.55311
2020-05-11,4.9747
2020-05-12,4.84822
2020-05-13,4.51096
2020-05-14,3.83642
2020-05-15,3.9629
2020-05-16,2.57166
2020-05-17,3.66779
2020-05-18,4.38448
2020-05-19,5.94435
2020-05-20,4.34232
2020-05-21,5.39629
2020-05-22,5.22765
2020-05-23,2.65598
2020-05-24,3.37268
2020-05-25,5.01686
2020-05-26,4.59527
2020-05-27,4.17369
2020-05-28,5.05902
2020-05-29,5.22765
2020-05-30,3.87858
2020-05-31,3.49915
2020-06-01,4.42664
2020-06-02,4.59527
2020-06-03,4.38448
2020-06-04,4.25801
2020-06-05,4.08937
2020-06-06,3.92074
2020-06-07,4.00505
2020-06-08,4.59527
2020-06-09,5.52276
2020-06-10,5.10118
2020-06-11,4.08937
2020-06-12,4.08937
2020-06-13,3.79426
2020-06-14,4.25801
2020-06-15,3.79426
2020-06-16,5.10118
2020-06-17,3.92074
2020-06-18,3.83642
2020-06-19,4.59527
2020-06-20,4.04721
2020-06-21,5.10118
2020-06-22,7.16694
2020-06-23,4.93254
2020-06-24,6.78752
2020-06-25,6.07082
2020-06-26,3.92074
2020-06-27,4.21585
2020-06-28,5.26981
2020-06-29,4.84822
2020-06-30,4.93254
2020-07-01,3.9629
2020-07-02,4.34232
2020-07-03,3.7521
2020-07-04,2.78246
2020-07-05,3.79426
2020-07-06,5.26981
2020-07-07,5.01686
2020-07-08,4.38448
2020-07-09,43.42327
2020-07-10,100.0
2020-07-11,7.41989
2020-07-12,5.05902
2020-07-13,4.67959
2020-07-14,4.80607
2020-07-15,5.01686
2020-07-16,5.69139
2020-07-17,4.30016
2020-07-18,3.58347
2020-07-19,4.04721
2020-07-20,4.59527
2020-07-21,3.79426
2020-07-22,4.67959
2020-07-23,5.14333
2020-07-24,4.59527
2020-07-25,3.87858
2020-07-26,3.37268
2020-07-27,5.14333
2020-07-28,4.17369
2020-07-29,5.10118
2020-07-30,4.30016
2020-07-31,4.25801
2020-08-01,3.28836
2020-08-02,4.00505
2020-08-03,3.87858
2020-08-04,3.16188
2020-08-05,3.62563
2020-08-06,4.30016
2020-08-07,4.34232
2020-08-08,4.00505
2020-08-09,3.16188
2020-08-10,4.08937
2020-08-11,5.22765
2020-08-12,4.51096
2020-08-13,3.54131
2020-08-14,4.00505
2020-08-15,3.62563
2020-08-16,3.92074
2020-08-17,4.04721
2020-08-18,4.59527
2020-08-19,4.04721
2020-08-20,4.34232
2020-08-21,3.33052
2020-08-22,3.45699
2020-08-23,3.20404
2020-08-24,3.70994
2020-08-25,3.58347
2020-08-26,5.39629
2020-08-27,4.42664
2020-08-28,3.9629
2020-08-29,3.49915
2020-08-30,3.9629
2020-08-31,4.25801
2020-09-01,5.18549
2020-09-02,5.56492
2020-09-03,5.39629
2020-09-04,4.84822
2020-09-05,3.16188
2020-09-06,3.9629
2020-09-07,4.55311
2020-09-08,5.73355
2020-09-09,4.84822
2020-09-10,4.17369
2020-09-11,4.72175
2020-09-12,4.08937
2020-09-13,4.13153
2020-09-14,4.51096
2020-09-15,6.1973
2020-09-16,5.60708
2020-09-17,5.18549
2020-09-18,4.76391
2020-09-19,3.62563
2020-09-20,3.66779
2020-09-21,4.76391
2020-09-22,5.14333
2020-09-23,5.43844
2020-09-24,5.22765
2020-09-25,4.51096
2020-09-26,4.13153
2020-09-27,4.59527
2020-09-28,4.67959
2020-09-29,4.38448
2020-09-30,3.33052
2020-10-01,3.28836
2020-10-02,3.70994
2020-10-03,4.80607
2020-10-04,5.10118
2020-10-05,5.9865
2020-10-06,5.73355
2020-10-07,4.9747
2020-10-08,4.17369
2020-10-09,4.08937
2020-10-10,3.79426
2020-10-11,4.63743
2020-10-12,5.60708
2020-10-13,4.59527
2020-10-14,5.26981
2020-10-15,5.22765
2020-10-16,4.4688
2020-10-17,4.42664
2020-10-18,3.79426
2020-10-19,4.38448
2020-10-20,5.18549
2020-10-21,4.55311
2020-10-22,5.35413
2020-10-23,4.34232
2020-10-24,4.08937
2020-10-25,6.49241
2020-10-26,8.9376
2020-10-27,6.15514
2020-10-28,6.02866
2020-10-29,4.93254
2020-10-30,4.17369
2020-10-31,3.83642
2020-11-01,4.93254
2020-11-02,6.11298
2020-11-03,7.63069
2020-11-04,4.76391
2020-11-05,4.21585
2020-11-06,3.62563
2020-11-07,3.87858
2020-11-08,3.49915
2020-11-09,4.51096
2020-11-10,3.9629
2020-11-11,4.93254
2020-11-12,4.17369
2020-11-13,3.37268
2020-11-14,4.08937
2020-11-15,3.20404
2020-11-16,4.76391
2020-11-17,5.90219
2020-11-18,13.23777
2020-11-19,6.82967
2020-11-20,5.77571
2020-11-21,4.55311
2020-11-22,4.76391
2020-11-23,4.08937
2020-11-24,4.84822
2020-11-25,4.51096
2020-11-26,5.22765
2020-11-27,4.51096
2020-11-28,3.62563
2020-11-29,3.92074
2020-11-30,4.42664
2020-12-01,4.34232
2020-12-02,3.79426
2020-12-03,4.08937
2020-12-04,4.00505
2020-12-05,4.51096
2020-12-06,3.7521
2020-12-07,4.84822
2020-12-08,4.67959
2020-12-09,4.76391
2020-12-10,4.9747
2020-12-11,4.55311
2020-12-12,4.67959
2020-12-13,4.4688
2020-12-14,5.4806
2020-12-15,4.9747
2020-12-16,5.14333
2020-12-17,4.9747
2020-12-18,4.4688
2020-12-19,4.25801
2020-12-20,3.9629
2020-12-21,4.84822
2020-12-22,4.72175
2020-12-23,4.63743
2020-12-24,3.87858
2020-12-25,2.57166
2020-12-26,3.70994
2020-12-27,4.4688
2020-12-28,4.42664
2020-12-29,3.54131
2020-12-30,3.66779
2020-12-31,3.28836
2021-01-01,3.16188
2021-01-02,3.92074
2021-01-03,3.66779
2021-01-04,3.92074
2021-01-05,4.4688
2021-01-06,4.30016
2021-01-07,2.78246
2021-01-08,3.49915
2021-01-09,3.49915
2021-01-10,4.17369
2021-01-11,4.08937
2021-01-12,3.2462
2021-01-13,4.25801
2021-01-14,4.55311
2021-01-15,4.30016
2021-01-16,3.92074
2021-01-17,3.45699
2021-01-18,3.58347
2021-01-19,4.21585
2021-01-20,4.13153
2021-01-21,4.34232
2021-01-22,4.38448
2021-01-23,3.37268
2021-01-24,4.17369
2021-01-25,4.34232
2021-01-26,4.04721
2021-01-27,3.62563
2021-01-28,4.17369
2021-01-29,4.17369
2021-01-30,4.00505
2021-01-31,3.54131
2021-02-01,4.55311
2021-02-02,3.49915
2021-02-03,4.72175
2021-02-04,4.38448
2021-02-05,4.42664
2021-02-06,4.04721
2021-02-07,2.82462
2021-02-08,3.9629
2021-02-09,3.2462
2021-02-10,3.28836
2021-02-11,3.49915
2021-02-12,3.28836
2021-02-13,3.83642
2021-02-14,3.41483
2021-02-15,3.83642
2021-02-16,4.13153
2021-02-17,5.22765
2021-02-18,3.79426
2021-02-19,3.66779
2021-02-20,3.37268
2021-02-21,3.54131
2021-02-22,4.30016
2021-02-23,4.08937
2021-02-24,3.70994
2021-02-25,2.95109
2021-02-26,3.9629
2021-02-27,4.08937
2021-02-28,3.79426
2021-03-01,4.00505
2021-03-02,3.66779
2021-03-03,4.84822
2021-03-04,4.72175
2021-03-05,4.08937
2021-03-06,3.62563
2021-03-07,3.28836
2021-03-08,4.67959
2021-03-09,4.67959
2021-03-10,4.55311
2021-03-11,5.39629
2021-03-12,3.83642
2021-03-13,4.00505
2021-03-14,4.34232
2021-03-15,4.08937
2021-03-16,5.10118
2021-03-17,4.17369
2021-03-18,5.39629
2021-03-19,4.59527
2021-03-20,4.30016
2021-03-21,4.80607
2021-03-22,4.00505
2021-03-23,5.64924
2021-03-24,3.92074
2021-03-25,5.22765
2021-03-26,4.00505
2021-03-27,3.9629
2021-03-28,3.7521
2021-03-29,4.30016
2021-03-30,4.93254
2021-03-31,4.42664
2021-04-01,4.93254
2021-04-02,3.49915
2021-04-03,4.34232
2021-04-04,4.08937
2021-04-05,3.7521
2021-04-06,4.84822
2021-04-07,4.67959
2021-04-08,5.14333
2021-04-09,3.7521
2021-04-10,4.21585
2021-04-11,4.30016
2021-04-12,5.05902
2021-04-13,4.59527
2021-04-14,3.87858
2021-04-15,4.34232
2021-04-16,6.07082
2021-04-17,4.51096
2021-04-18,4.89038
2021-04-19,5.26981
2021-04-20,4.42664
