date,유체동산압류
2020-03-20,43.44422
2020-03-21,16.43835
2020-03-22,16.04696
2020-03-23,41.87866
2020-03-24,48.33659
2020-03-25,45.00978
2020-03-26,39.13894
2020-03-27,33.46379
2020-03-28,15.85127
2020-03-29,22.50489
2020-03-30,40.7045
2020-03-31,40.31311
2020-04-01,40.11741
2020-04-02,36.39921
2020-04-03,36.39921
2020-04-04,18.98238
2020-04-05,17.61252
2020-04-06,40.31311
2020-04-07,47.35812
2020-04-08,46.37964
2020-04-09,48.1409
2020-04-10,33.65949
2020-04-11,17.61252
2020-04-12,16.82974
2020-04-13,41.29158
2020-04-14,42.07436
2020-04-15,24.07045
2020-04-16,37.76908
2020-04-17,39.72602
2020-04-18,18.98238
2020-04-19,11.35029
2020-04-20,45.59686
2020-04-21,58.70841
2020-04-22,63.60078
2020-04-23,47.16242
2020-04-24,37.57338
2020-04-25,16.43835
2020-04-26,21.13502
2020-04-27,41.09589
2020-04-28,62.03522
2020-04-29,45.79256
2020-04-30,16.82974
2020-05-01,14.4814
2020-05-02,8.41487
2020-05-03,13.30724
2020-05-04,25.44031
2020-05-05,21.52641
2020-05-06,39.13894
2020-05-07,42.46575
2020-05-08,34.05088
2020-05-09,18.98238
2020-05-10,15.65557
2020-05-11,40.90019
2020-05-12,47.55381
2020-05-13,39.13894
2020-05-14,37.76908
2020-05-15,34.63796
2020-05-16,21.33072
2020-05-17,23.28767
2020-05-18,46.18395
2020-05-19,48.1409
2020-05-20,48.53228
2020-05-21,44.61839
2020-05-22,40.11741
2020-05-23,17.02544
2020-05-24,17.61252
2020-05-25,43.83561
2020-05-26,45.98825
2020-05-27,45.00978
2020-05-28,41.48727
2020-05-29,37.57338
2020-05-30,17.22113
2020-05-31,19.96086
2020-06-01,40.11741
2020-06-02,44.61839
2020-06-03,34.44227
2020-06-04,36.20352
2020-06-05,33.85518
2020-06-06,14.28571
2020-06-07,13.50293
2020-06-08,35.22504
2020-06-09,37.37769
2020-06-10,42.27005
2020-06-11,44.61839
2020-06-12,28.76712
2020-06-13,14.4814
2020-06-14,11.35029
2020-06-15,45.59686
2020-06-16,52.83757
2020-06-17,43.05283
2020-06-18,45.00978
2020-06-19,29.94129
2020-06-20,14.28571
2020-06-21,13.69863
2020-06-22,37.57338
2020-06-23,41.87866
2020-06-24,46.18395
2020-06-25,46.18395
2020-06-26,32.28962
2020-06-27,16.24266
2020-06-28,15.85127
2020-06-29,36.00782
2020-06-30,37.37769
2020-07-01,33.0724
2020-07-02,36.9863
2020-07-03,29.74559
2020-07-04,15.65557
2020-07-05,14.09001
2020-07-06,36.59491
2020-07-07,39.13894
2020-07-08,37.96477
2020-07-09,37.37769
2020-07-10,28.96281
2020-07-11,14.28571
2020-07-12,13.11154
2020-07-13,36.39921
2020-07-14,46.57534
2020-07-15,45.98825
2020-07-16,44.4227
2020-07-17,36.7906
2020-07-18,15.45988
2020-07-19,15.65557
2020-07-20,37.57338
2020-07-21,42.07436
2020-07-22,45.00978
2020-07-23,47.35812
2020-07-24,40.5088
2020-07-25,16.82974
2020-07-26,16.24266
2020-07-27,45.00978
2020-07-28,48.1409
2020-07-29,44.81409
2020-07-30,29.5499
2020-07-31,31.89823
2020-08-01,12.91585
2020-08-02,13.11154
2020-08-03,29.3542
2020-08-04,32.28962
2020-08-05,29.3542
2020-08-06,38.94324
2020-08-07,26.22309
2020-08-08,14.28571
2020-08-09,14.87279
2020-08-10,36.39921
2020-08-11,37.57338
2020-08-12,37.57338
2020-08-13,29.5499
2020-08-14,25.636
2020-08-15,14.28571
2020-08-16,12.13307
2020-08-17,15.26418
2020-08-18,29.5499
2020-08-19,35.02935
2020-08-20,41.09589
2020-08-21,20.93933
2020-08-22,13.69863
2020-08-23,11.54598
2020-08-24,43.83561
2020-08-25,34.83365
2020-08-26,36.7906
2020-08-27,39.53033
2020-08-28,29.74559
2020-08-29,15.45988
2020-08-30,15.85127
2020-08-31,34.05088
2020-09-01,32.09393
2020-09-02,29.94129
2020-09-03,32.87671
2020-09-04,29.3542
2020-09-05,14.6771
2020-09-06,12.32876
2020-09-07,26.41878
2020-09-08,33.2681
2020-09-09,46.18395
2020-09-10,36.7906
2020-09-11,26.41878
2020-09-12,14.09001
2020-09-13,13.69863
2020-09-14,39.92172
2020-09-15,42.85714
2020-09-16,44.81409
2020-09-17,42.27005
2020-09-18,31.89823
2020-09-19,16.04696
2020-09-20,9.78473
2020-09-21,39.92172
2020-09-22,45.59686
2020-09-23,35.22504
2020-09-24,32.68101
2020-09-25,29.94129
2020-09-26,13.50293
2020-09-27,12.52446
2020-09-28,27.20156
2020-09-29,22.89628
2020-09-30,9.39334
2020-10-01,7.63209
2020-10-02,8.02348
2020-10-03,8.80626
2020-10-04,15.85127
2020-10-05,26.61448
2020-10-06,33.85518
2020-10-07,36.39921
2020-10-08,30.13698
2020-10-09,10.7632
2020-10-10,7.82778
2020-10-11,10.56751
2020-10-12,29.74559
2020-10-13,40.5088
2020-10-14,32.68101
2020-10-15,36.9863
2020-10-16,30.13698
2020-10-17,8.41487
2020-10-18,13.30724
2020-10-19,38.74755
2020-10-20,41.09589
2020-10-21,41.68297
2020-10-22,37.76908
2020-10-23,31.50684
2020-10-24,12.32876
2020-10-25,15.26418
2020-10-26,34.24657
2020-10-27,40.7045
2020-10-28,45.00978
2020-10-29,30.72407
2020-10-30,31.31115
2020-10-31,16.63405
2020-11-01,12.52446
2020-11-02,26.02739
2020-11-03,31.70254
2020-11-04,29.3542
2020-11-05,31.11545
2020-11-06,32.28962
2020-11-07,12.32876
2020-11-08,10.9589
2020-11-09,27.98434
2020-11-10,31.11545
2020-11-11,33.85518
2020-11-12,35.81213
2020-11-13,27.59295
2020-11-14,11.74168
2020-11-15,11.54598
2020-11-16,34.63796
2020-11-17,48.53228
2020-11-18,41.09589
2020-11-19,40.5088
2020-11-20,33.2681
2020-11-21,13.30724
2020-11-22,15.26418
2020-11-23,48.1409
2020-11-24,40.11741
2020-11-25,35.61643
2020-11-26,36.00782
2020-11-27,32.48532
2020-11-28,13.11154
2020-11-29,15.65557
2020-11-30,41.09589
2020-12-01,43.83561
2020-12-02,35.81213
2020-12-03,32.48532
2020-12-04,31.50684
2020-12-05,11.15459
2020-12-06,16.63405
2020-12-07,37.18199
2020-12-08,38.94324
2020-12-09,37.76908
2020-12-10,37.57338
2020-12-11,28.18003
2020-12-12,9.58904
2020-12-13,13.50293
2020-12-14,36.20352
2020-12-15,38.55185
2020-12-16,43.24853
2020-12-17,47.35812
2020-12-18,31.50684
2020-12-19,17.61252
2020-12-20,12.91585
2020-12-21,34.24657
2020-12-22,35.61643
2020-12-23,35.22504
2020-12-24,30.72407
2020-12-25,18.1996
2020-12-26,13.89432
2020-12-27,13.30724
2020-12-28,28.76712
2020-12-29,28.57142
2020-12-30,25.04892
2020-12-31,22.70058
2021-01-01,9.19765
2021-01-02,13.11154
2021-01-03,13.11154
2021-01-04,27.59295
2021-01-05,35.42074
2021-01-06,33.65949
2021-01-07,26.41878
2021-01-08,24.85322
2021-01-09,13.11154
2021-01-10,20.35225
2021-01-11,36.39921
2021-01-12,35.61643
2021-01-13,42.46575
2021-01-14,39.13894
2021-01-15,25.8317
2021-01-16,17.61252
2021-01-17,17.22113
2021-01-18,39.13894
2021-01-19,42.46575
2021-01-20,45.98825
2021-01-21,41.68297
2021-01-22,37.18199
2021-01-23,18.3953
2021-01-24,15.65557
2021-01-25,37.18199
2021-01-26,39.72602
2021-01-27,31.31115
2021-01-28,37.96477
2021-01-29,27.39726
2021-01-30,18.1996
2021-01-31,15.65557
2021-02-01,28.37573
2021-02-02,39.92172
2021-02-03,40.11741
2021-02-04,32.87671
2021-02-05,26.22309
2021-02-06,21.9178
2021-02-07,17.41682
2021-02-08,34.05088
2021-02-09,35.02935
2021-02-10,28.57142
2021-02-11,9.58904
2021-02-12,7.63209
2021-02-13,7.82778
2021-02-14,12.72015
2021-02-15,40.11741
2021-02-16,43.63992
2021-02-17,33.65949
2021-02-18,38.16046
2021-02-19,28.57142
2021-02-20,12.32876
2021-02-21,20.35225
2021-02-22,38.35616
2021-02-23,38.16046
2021-02-24,41.87866
2021-02-25,34.05088
2021-02-26,28.57142
2021-02-27,13.30724
2021-02-28,10.7632
2021-03-01,13.69863
2021-03-02,29.5499
2021-03-03,33.0724
2021-03-04,37.37769
2021-03-05,25.04892
2021-03-06,12.72015
2021-03-07,9.78473
2021-03-08,35.42074
2021-03-09,47.35812
2021-03-10,43.24853
2021-03-11,38.94324
2021-03-12,29.3542
2021-03-13,18.98238
2021-03-14,15.65557
2021-03-15,31.11545
2021-03-16,39.33463
2021-03-17,32.68101
2021-03-18,36.9863
2021-03-19,33.2681
2021-03-20,10.9589
2021-03-21,12.72015
2021-03-22,37.37769
2021-03-23,44.61839
2021-03-24,37.96477
2021-03-25,37.76908
2021-03-26,40.31311
2021-03-27,11.93737
2021-03-28,12.13307
2021-03-29,32.68101
2021-03-30,39.53033
2021-03-31,32.48532
2021-04-01,30.72407
2021-04-02,30.52837
2021-04-03,14.09001
2021-04-04,10.37181
2021-04-05,28.18003
2021-04-06,33.85518
2021-04-07,32.09393
