date,떼인돈받아드립니다
2020-11-07,15.88785
2020-11-08,17.13395
2020-11-09,26.47975
2020-11-10,40.18691
2020-11-11,43.30218
2020-11-12,44.85981
2020-11-13,33.33333
2020-11-14,22.11838
2020-11-15,16.82242
2020-11-16,43.6137
2020-11-17,46.41744
2020-11-18,42.3676
2020-11-19,36.44859
2020-11-20,36.44859
2020-11-21,26.16822
2020-11-22,21.80685
2020-11-23,38.62928
2020-11-24,48.59813
2020-11-25,50.15576
2020-11-26,39.56386
2020-11-27,29.90654
2020-11-28,20.87227
2020-11-29,17.757
2020-11-30,35.20249
2020-12-01,33.64485
2020-12-02,26.16822
2020-12-03,29.90654
2020-12-04,33.33333
2020-12-05,19.62616
2020-12-06,20.24922
2020-12-07,43.30218
2020-12-08,38.9408
2020-12-09,38.9408
2020-12-10,36.44859
2020-12-11,35.20249
2020-12-12,20.87227
2020-12-13,16.19937
2020-12-14,38.31775
2020-12-15,48.90965
2020-12-16,43.6137
2020-12-17,42.05607
2020-12-18,44.54828
2020-12-19,29.90654
2020-12-20,21.80685
2020-12-21,39.56386
2020-12-22,52.9595
2020-12-23,41.43302
2020-12-24,33.95638
2020-12-25,23.67601
2020-12-26,27.1028
2020-12-27,24.61059
2020-12-28,49.84423
2020-12-29,15.88785
2020-12-30,29.28348
2020-12-31,32.71028
2021-01-01,18.06853
2021-01-02,19.62616
2021-01-03,20.56074
2021-01-04,38.62928
2021-01-05,41.74454
2021-01-06,36.13707
2021-01-07,26.79127
2021-01-08,28.97196
2021-01-09,19.31464
2021-01-10,27.72585
2021-01-11,44.23676
2021-01-12,44.54828
2021-01-13,36.13707
2021-01-14,40.49844
2021-01-15,49.22118
2021-01-16,28.3489
2021-01-17,31.7757
2021-01-18,38.00623
2021-01-19,42.99065
2021-01-20,42.05607
2021-01-21,47.66355
2021-01-22,48.59813
2021-01-23,13.70716
2021-01-24,15.26479
2021-01-25,31.46417
2021-01-26,29.28348
2021-01-27,26.16822
2021-01-28,21.80685
2021-01-29,23.67601
2021-01-30,18.38006
2021-01-31,23.67601
2021-02-01,34.57943
2021-02-02,32.08722
2021-02-03,27.1028
2021-02-04,25.85669
2021-02-05,18.38006
2021-02-06,16.19937
2021-02-07,26.79127
2021-02-08,33.0218
2021-02-09,24.29906
2021-02-10,17.13395
2021-02-11,10.90342
2021-02-12,10.90342
2021-02-13,14.95327
2021-02-14,17.44548
2021-02-15,16.82242
2021-02-16,22.11838
2021-02-17,23.36448
2021-02-18,10.90342
2021-02-19,22.11838
2021-02-20,17.44548
2021-02-21,14.64174
2021-02-22,28.97196
2021-02-23,28.66043
2021-02-24,14.01869
2021-02-25,27.41433
2021-02-26,28.3489
2021-02-27,20.24922
2021-02-28,18.69158
2021-03-01,23.36448
2021-03-02,32.39875
2021-03-03,26.47975
2021-03-04,32.39875
2021-03-05,25.85669
2021-03-06,20.24922
2021-03-07,19.31464
2021-03-08,30.84112
2021-03-09,29.28348
2021-03-10,24.61059
2021-03-11,22.4299
2021-03-12,21.49532
2021-03-13,15.88785
2021-03-14,10.5919
2021-03-15,9.03426
2021-03-16,9.03426
2021-03-17,14.01869
2021-03-18,13.70716
2021-03-19,18.38006
2021-03-20,7.78816
2021-03-21,11.21495
2021-03-22,22.4299
2021-03-23,22.74143
2021-03-24,33.64485
2021-03-25,39.56386
2021-03-26,23.36448
2021-03-27,15.88785
2021-03-28,15.88785
2021-03-29,31.15264
2021-03-30,29.28348
2021-03-31,29.90654
2021-04-01,36.13707
2021-04-02,31.15264
2021-04-03,15.88785
2021-04-04,22.4299
2021-04-05,31.7757
2021-04-06,33.0218
2021-04-07,33.64485
2021-04-08,24.92211
2021-04-09,28.97196
2021-04-10,15.26479
2021-04-11,15.26479
2021-04-12,28.66043
2021-04-13,31.46417
2021-04-14,28.66043
2021-04-15,42.3676
2021-04-16,44.23676
2021-04-17,7.47663
2021-04-18,2.18068
2021-04-19,8.41121
2021-04-20,9.65732
2021-04-21,3.42679
2021-04-22,10.90342
2021-04-23,14.01869
2021-04-24,9.65732
2021-04-25,9.96884
2021-04-26,38.31775
2021-04-27,33.33333
2021-04-28,29.90654
2021-04-29,26.47975
2021-04-30,27.41433
2021-05-01,12.46105
2021-05-02,19.31464
2021-05-03,30.52959
2021-05-04,35.51401
2021-05-05,22.11838
2021-05-06,40.49844
2021-05-07,35.20249
2021-05-08,20.87227
2021-05-09,23.67601
2021-05-10,36.44859
2021-05-11,41.74454
2021-05-12,38.00623
2021-05-13,33.64485
2021-05-14,31.7757
2021-05-15,23.67601
2021-05-16,23.05295
2021-05-17,39.56386
2021-05-18,41.43302
2021-05-19,25.54517
2021-05-20,40.18691
2021-05-21,27.1028
2021-05-22,19.62616
2021-05-23,18.38006
2021-05-24,35.20249
2021-05-25,39.25233
2021-05-26,41.43302
2021-05-27,45.48286
2021-05-28,33.0218
2021-05-29,19.93769
2021-05-30,20.87227
2021-05-31,61.99376
2021-06-01,54.51713
2021-06-02,53.27102
2021-06-03,48.59813
2021-06-04,48.2866
2021-06-05,33.64485
2021-06-06,28.66043
2021-06-07,50.46728
2021-06-08,47.04049
2021-06-09,46.10591
2021-06-10,44.54828
2021-06-11,38.9408
2021-06-12,24.29906
2021-06-13,27.41433
2021-06-14,49.84423
2021-06-15,54.51713
2021-06-16,44.23676
2021-06-17,45.79439
2021-06-18,28.03738
2021-06-19,29.28348
2021-06-20,24.61059
2021-06-21,58.8785
2021-06-22,49.53271
2021-06-23,63.5514
2021-06-24,51.40186
2021-06-25,38.62928
2021-06-26,27.72585
2021-06-27,25.23364
2021-06-28,47.66355
2021-06-29,54.2056
2021-06-30,52.33644
2021-07-01,56.69781
2021-07-02,43.92523
2021-07-03,29.28348
2021-07-04,32.39875
2021-07-05,49.22118
2021-07-06,52.64797
2021-07-07,49.53271
2021-07-08,49.84423
2021-07-09,39.87538
2021-07-10,29.90654
2021-07-11,21.1838
2021-07-12,61.68224
2021-07-13,63.86292
2021-07-14,45.79439
2021-07-15,43.6137
2021-07-16,36.13707
2021-07-17,29.90654
2021-07-18,30.52959
2021-07-19,58.8785
2021-07-20,41.43302
2021-07-21,43.6137
2021-07-22,52.33644
2021-07-23,48.90965
2021-07-24,24.29906
2021-07-25,22.74143
2021-07-26,58.56697
2021-07-27,51.40186
2021-07-28,45.17133
2021-07-29,51.09034
2021-07-30,41.74454
2021-07-31,33.33333
2021-08-01,27.72585
2021-08-02,50.46728
2021-08-03,42.99065
2021-08-04,52.33644
2021-08-05,49.22118
2021-08-06,39.56386
2021-08-07,32.39875
2021-08-08,30.84112
2021-08-09,61.99376
2021-08-10,59.50155
2021-08-11,62.30529
2021-08-12,51.40186
2021-08-13,44.23676
2021-08-14,24.29906
2021-08-15,27.1028
2021-08-16,44.85981
2021-08-17,55.45171
2021-08-18,64.17445
2021-08-19,69.78193
2021-08-20,50.15576
2021-08-21,32.71028
2021-08-22,34.57943
2021-08-23,60.74766
2021-08-24,43.6137
2021-08-25,52.64797
2021-08-26,56.69781
2021-08-27,58.25545
2021-08-28,31.15264
2021-08-29,27.1028
2021-08-30,52.64797
2021-08-31,50.77881
2021-09-01,53.27102
2021-09-02,53.27102
2021-09-03,50.77881
2021-09-04,34.57943
2021-09-05,33.0218
2021-09-06,48.90965
2021-09-07,43.6137
2021-09-08,61.05919
2021-09-09,60.12461
2021-09-10,47.04049
2021-09-11,36.76012
2021-09-12,27.72585
2021-09-13,58.56697
2021-09-14,60.74766
2021-09-15,58.56697
2021-09-16,60.12461
2021-09-17,57.00934
2021-09-18,25.23364
2021-09-19,23.05295
2021-09-20,24.61059
2021-09-21,32.71028
2021-09-22,27.72585
2021-09-23,61.05919
2021-09-24,59.50155
2021-09-25,44.23676
2021-09-26,28.97196
2021-09-27,64.7975
2021-09-28,63.23987
2021-09-29,57.32087
2021-09-30,59.19003
2021-10-01,71.65109
2021-10-02,42.67912
2021-10-03,29.90654
2021-10-04,38.31775
2021-10-05,65.73208
2021-10-06,57.00934
2021-10-07,56.69781
2021-10-08,57.32087
2021-10-09,26.79127
2021-10-10,28.66043
2021-10-11,37.6947
2021-10-12,60.12461
2021-10-13,60.43613
2021-10-14,62.92834
2021-10-15,60.43613
2021-10-16,38.62928
2021-10-17,24.92211
2021-10-18,55.45171
2021-10-19,60.12461
2021-10-20,54.2056
2021-10-21,51.71339
2021-10-22,51.09034
2021-10-23,26.79127
2021-10-24,19.31464
2021-10-25,50.15576
2021-10-26,56.69781
2021-10-27,46.10591
2021-10-28,56.69781
2021-10-29,42.3676
2021-10-30,22.74143
2021-10-31,35.20249
2021-11-01,60.74766
2021-11-02,54.82866
2021-11-03,59.19003
2021-11-04,46.41744
2021-11-05,52.33644
2021-11-06,27.72585
2021-11-07,23.05295
2021-11-08,51.40186
2021-11-09,56.69781
2021-11-10,45.48286
2021-11-11,53.58255
2021-11-12,51.40186
2021-11-13,19.62616
2021-11-14,37.38317
2021-11-15,52.02492
2021-11-16,48.90965
2021-11-17,46.41744
2021-11-18,39.87538
2021-11-19,38.9408
2021-11-20,24.61059
2021-11-21,41.12149
2021-11-22,48.90965
2021-11-23,50.46728
