date,주식장마감시간
2020-03-20,16.31633
2020-03-21,1.80112
2020-03-22,0.80028
2020-03-23,14.75116
2020-03-24,9.94946
2020-03-25,18.17448
2020-03-26,15.39414
2020-03-27,58.051
2020-03-28,1.77949
2020-03-29,0.90056
2020-03-30,10.40957
2020-03-31,11.25115
2020-04-01,10.90115
2020-04-02,6.88007
2020-04-03,6.41996
2020-04-04,1.00674
2020-04-05,0.38932
2020-04-06,7.26743
2020-04-07,6.93709
2020-04-08,6.85844
2020-04-09,5.5017
2020-04-10,6.19383
2020-04-11,0.97528
2020-04-12,0.48174
2020-04-13,4.72894
2020-04-14,4.27079
2020-04-15,1.29972
2020-04-16,3.48427
2020-04-17,33.28155
2020-04-18,0.65084
2020-04-19,0.36179
2020-04-20,26.52928
2020-04-21,29.88575
2020-04-22,25.91383
2020-04-23,11.02503
2020-04-24,3.76939
2020-04-25,0.51123
2020-04-26,0.27724
2020-04-27,9.96519
2020-04-28,8.46687
2020-04-29,4.75057
2020-04-30,0.87303
2020-05-01,0.89859
2020-05-02,0.19859
2020-05-03,0.1573
2020-05-04,9.50901
2020-05-05,0.47781
2020-05-06,3.02809
2020-05-07,1.95646
2020-05-08,2.65646
2020-05-09,0.32443
2020-05-10,0.14353
2020-05-11,2.50309
2020-05-12,2.79804
2020-05-13,2.4736
2020-05-14,2.69186
2020-05-15,2.79017
2020-05-16,0.25168
2020-05-17,0.12191
2020-05-18,1.91124
2020-05-19,2.49916
2020-05-20,2.53849
2020-05-21,2.8295
2020-05-22,8.06771
2020-05-23,0.28314
2020-05-24,0.11994
2020-05-25,2.57781
2020-05-26,2.67416
2020-05-27,2.53062
2020-05-28,2.47753
2020-05-29,8.25648
2020-05-30,0.26151
2020-05-31,0.16713
2020-06-01,2.33006
2020-06-02,2.29466
2020-06-03,20.82899
2020-06-04,18.25707
2020-06-05,6.79159
2020-06-06,0.38146
2020-06-07,0.13567
2020-06-08,5.4604
2020-06-09,2.58764
2020-06-10,2.33202
2020-06-11,8.77362
2020-06-12,13.99414
2020-06-13,0.3382
2020-06-14,0.11994
2020-06-15,7.32642
2020-06-16,3.22866
2020-06-17,2.72135
2020-06-18,2.45983
2020-06-19,4.42613
2020-06-20,0.27134
2020-06-21,0.17696
2020-06-22,2.36348
2020-06-23,2.19242
2020-06-24,2.24551
2020-06-25,2.27304
2020-06-26,2.07247
2020-06-27,0.19662
2020-06-28,0.09831
2020-06-29,3.41939
2020-06-30,1.83258
2020-07-01,1.76376
2020-07-02,2.02921
2020-07-03,2.13933
2020-07-04,0.22219
2020-07-05,0.10421
2020-07-06,2.22781
2020-07-07,2.55028
2020-07-08,2.33006
2020-07-09,3.09298
2020-07-10,2.87669
2020-07-11,0.24775
2020-07-12,0.14943
2020-07-13,5.93035
2020-07-14,2.61517
2020-07-15,5.69243
2020-07-16,2.19832
2020-07-17,3.96405
2020-07-18,0.20056
2020-07-19,0.09634
2020-07-20,2.29073
2020-07-21,2.75871
2020-07-22,5.98934
2020-07-23,3.19916
2020-07-24,16.80594
2020-07-25,0.34213
2020-07-26,0.21432
2020-07-27,11.83711
2020-07-28,7.31659
2020-07-29,5.33063
2020-07-30,2.85113
2020-07-31,10.09693
2020-08-01,0.29101
2020-08-02,0.10618
