date,중개수수료
2020-03-20,13.57254
2020-03-21,11.07644
2020-03-22,6.94227
2020-03-23,14.01456
2020-03-24,13.93655
2020-03-25,14.14456
2020-03-26,13.57254
2020-03-27,12.76651
2020-03-28,10.79043
2020-03-29,6.81227
2020-03-30,14.76859
2020-03-31,16.43265
2020-04-01,13.67654
2020-04-02,12.45449
2020-04-03,11.18044
2020-04-04,9.25637
2020-04-05,5.87623
2020-04-06,14.32657
2020-04-07,13.18252
2020-04-08,13.23452
2020-04-09,13.18252
2020-04-10,12.35049
2020-04-11,9.15236
2020-04-12,5.61622
2020-04-13,14.06656
2020-04-14,12.5065
2020-04-15,9.25637
2020-04-16,11.31045
2020-04-17,11.83047
2020-04-18,9.59438
2020-04-19,5.53822
2020-04-20,14.45657
2020-04-21,13.65054
2020-04-22,14.27457
2020-04-23,13.41653
2020-04-24,12.14248
2020-04-25,8.99635
2020-04-26,5.79823
2020-04-27,13.80655
2020-04-28,14.35257
2020-04-29,13.41653
2020-04-30,9.36037
2020-05-01,10.0364
2020-05-02,7.35829
2020-05-03,6.13624
2020-05-04,11.96047
2020-05-05,8.71034
2020-05-06,13.31253
2020-05-07,11.88247
2020-05-08,10.66042
2020-05-09,8.68434
2020-05-10,6.29225
2020-05-11,13.02652
2020-05-12,13.26053
2020-05-13,12.35049
2020-05-14,11.49245
2020-05-15,11.51846
2020-05-16,9.49037
2020-05-17,6.76027
2020-05-18,12.5065
2020-05-19,12.7145
2020-05-20,13.39053
2020-05-21,13.59854
2020-05-22,11.28445
2020-05-23,9.85439
2020-05-24,6.05824
2020-05-25,14.35257
2020-05-26,13.02652
2020-05-27,12.03848
2020-05-28,13.98855
2020-05-29,12.92251
2020-05-30,10.27041
2020-05-31,6.55226
2020-06-01,14.61258
2020-06-02,13.02652
2020-06-03,12.6625
2020-06-04,12.5845
2020-06-05,12.5325
2020-06-06,9.98439
2020-06-07,7.6703
2020-06-08,14.04056
2020-06-09,13.39053
2020-06-10,15.0806
2020-06-11,14.95059
2020-06-12,14.66458
2020-06-13,11.67446
2020-06-14,7.5403
2020-06-15,16.38065
2020-06-16,14.32657
2020-06-17,13.96255
2020-06-18,14.40457
2020-06-19,14.69058
2020-06-20,10.29641
2020-06-21,7.38429
2020-06-22,15.1586
2020-06-23,14.63858
2020-06-24,14.17056
2020-06-25,14.76859
2020-06-26,13.07852
2020-06-27,9.67238
2020-06-28,7.07228
2020-06-29,17.18668
2020-06-30,14.71658
2020-07-01,15.34061
2020-07-02,15.0286
2020-07-03,12.87051
2020-07-04,11.31045
2020-07-05,7.5403
2020-07-06,15.70462
2020-07-07,14.30057
2020-07-08,15.1066
2020-07-09,14.66458
2020-07-10,13.18252
2020-07-11,11.07644
2020-07-12,7.22828
2020-07-13,14.04056
2020-07-14,12.76651
2020-07-15,14.43057
2020-07-16,13.02652
2020-07-17,13.23452
2020-07-18,9.93239
2020-07-19,6.83827
2020-07-20,14.40457
2020-07-21,14.89859
2020-07-22,14.45657
2020-07-23,13.00052
2020-07-24,13.41653
2020-07-25,9.51638
2020-07-26,6.13624
2020-07-27,13.91055
2020-07-28,12.94851
2020-07-29,12.81851
2020-07-30,15.0286
2020-07-31,14.17056
2020-08-01,9.23036
2020-08-02,6.29225
2020-08-03,12.97451
2020-08-04,13.46853
2020-08-05,13.26053
2020-08-06,14.37857
2020-08-07,13.28653
2020-08-08,10.42641
2020-08-09,7.04628
2020-08-10,15.0026
2020-08-11,21.45085
2020-08-12,19.52678
2020-08-13,16.19864
2020-08-14,14.30057
2020-08-15,9.62038
2020-08-16,6.76027
2020-08-17,10.86843
2020-08-18,15.26261
2020-08-19,14.79459
2020-08-20,15.39261
2020-08-21,14.82059
2020-08-22,10.40041
2020-08-23,5.90223
2020-08-24,14.61258
2020-08-25,19.55278
2020-08-26,19.65678
2020-08-27,19.37077
2020-08-28,17.23868
2020-08-29,16.32865
2020-08-30,12.7145
2020-08-31,20.41081
2020-09-01,15.91263
2020-09-02,17.23868
2020-09-03,13.93655
2020-09-04,13.83255
2020-09-05,11.49245
2020-09-06,8.03432
2020-09-07,18.17472
2020-09-08,14.35257
2020-09-09,15.91263
2020-09-10,15.86063
2020-09-11,14.79459
2020-09-12,12.16848
2020-09-13,7.43629
2020-09-14,15.39261
2020-09-15,14.87259
2020-09-16,14.24856
2020-09-17,16.87467
2020-09-18,12.7405
2020-09-19,14.09256
2020-09-20,7.77431
2020-09-21,14.19656
2020-09-22,15.0806
2020-09-23,13.96255
2020-09-24,12.87051
2020-09-25,13.70254
2020-09-26,7.5663
2020-09-27,6.29225
2020-09-28,12.94851
2020-09-29,11.85647
2020-09-30,4.10816
2020-10-01,3.56214
2020-10-02,3.77015
2020-10-03,3.64014
2020-10-04,5.74622
2020-10-05,15.75663
2020-10-06,16.17264
2020-10-07,16.04264
2020-10-08,15.0026
2020-10-09,13.65054
2020-10-10,12.01248
2020-10-11,10.45241
2020-10-12,18.77275
2020-10-13,17.6287
2020-10-14,15.54862
2020-10-15,16.22464
2020-10-16,15.52262
2020-10-17,12.5065
2020-10-18,8.60634
2020-10-19,16.97867
2020-10-20,17.03068
2020-10-21,16.38065
2020-10-22,13.93655
2020-10-23,17.03068
2020-10-24,11.25845
2020-10-25,8.26833
2020-10-26,16.40665
2020-10-27,15.99063
2020-10-28,15.31461
2020-10-29,15.26261
2020-10-30,16.48465
2020-10-31,11.36245
2020-11-01,7.6703
2020-11-02,19.00676
2020-11-03,14.71658
2020-11-04,14.97659
2020-11-05,15.62662
2020-11-06,14.63858
2020-11-07,10.97243
2020-11-08,8.29433
2020-11-09,15.75663
2020-11-10,17.88871
2020-11-11,17.21268
2020-11-12,14.92459
2020-11-13,13.23452
2020-11-14,11.36245
2020-11-15,8.39833
2020-11-16,17.6287
2020-11-17,17.5767
2020-11-18,16.84867
2020-11-19,16.35465
2020-11-20,14.95059
2020-11-21,11.38845
2020-11-22,8.19032
2020-11-23,16.53666
2020-11-24,15.0806
2020-11-25,15.44461
2020-11-26,16.27665
2020-11-27,15.67862
2020-11-28,12.7145
2020-11-29,8.19032
2020-11-30,17.5507
2020-12-01,17.08268
2020-12-02,15.91263
2020-12-03,15.1586
2020-12-04,15.88663
2020-12-05,12.5325
2020-12-06,8.00832
2020-12-07,19.47477
2020-12-08,17.86271
2020-12-09,17.75871
2020-12-10,17.23868
2020-12-11,16.30265
2020-12-12,12.6885
2020-12-13,9.90639
2020-12-14,19.42277
2020-12-15,17.39469
2020-12-16,16.32865
2020-12-17,13.54654
2020-12-18,16.09464
2020-12-19,14.01456
2020-12-20,9.64638
2020-12-21,16.48465
2020-12-22,17.08268
2020-12-23,17.6547
2020-12-24,14.56058
2020-12-25,7.07228
2020-12-26,9.90639
2020-12-27,9.20436
2020-12-28,18.12272
2020-12-29,20.93083
2020-12-30,17.6547
2020-12-31,13.07852
2021-01-01,5.98023
2021-01-02,11.02444
2021-01-03,8.34633
2021-01-04,17.83671
2021-01-05,18.30473
2021-01-06,15.34061
2021-01-07,13.67654
2021-01-08,14.58658
2021-01-09,14.43057
2021-01-10,10.0624
2021-01-11,17.08268
2021-01-12,16.58866
2021-01-13,16.90067
2021-01-14,16.09464
