date,휴림로봇주가
2020-03-20,0.22576
2020-03-21,0.01672
2020-03-22,0.01003
2020-03-23,0.18061
2020-03-24,0.19566
2020-03-25,0.3261
2020-03-26,0.38129
2020-03-27,0.29767
2020-03-28,0.02341
2020-03-29,0.02174
2020-03-30,0.28429
2020-03-31,0.43648
2020-04-01,0.52177
2020-04-02,0.57194
2020-04-03,0.36791
2020-04-04,0.04013
2020-04-05,0.03177
2020-04-06,0.29266
2020-04-07,0.3144
2020-04-08,0.27761
2020-04-09,0.23245
2020-04-10,0.26423
2020-04-11,0.02006
2020-04-12,0.01505
2020-04-13,0.17057
2020-04-14,0.17559
2020-04-15,0.0301
2020-04-16,0.1388
2020-04-17,0.20402
2020-04-18,0.02508
2020-04-20,0.25754
2020-04-21,0.33781
2020-04-22,0.2475
2020-04-23,0.57361
2020-04-24,0.50672
2020-04-25,0.03344
2020-04-26,0.03177
2020-04-27,0.34952
2020-04-28,0.43815
2020-04-29,0.29767
2020-04-30,0.05184
2020-05-01,0.06187
2020-05-02,0.02842
2020-05-03,0.02341
2020-05-04,0.30938
2020-05-05,0.02341
2020-05-06,0.30436
2020-05-07,0.32443
2020-05-08,0.26924
2020-05-09,0.0418
2020-05-10,0.02508
2020-05-11,0.20569
2020-05-12,0.24918
2020-05-13,0.25252
2020-05-14,0.26757
2020-05-15,0.25921
2020-05-16,0.01003
2020-05-17,0.01672
2020-05-18,0.20737
2020-05-19,0.21573
2020-05-20,0.2659
2020-05-21,0.6773
2020-05-22,0.73917
2020-05-23,0.10703
2020-05-24,0.11873
2020-05-25,0.56859
2020-05-26,0.56859
2020-05-27,0.50337
2020-05-28,0.45989
2020-05-29,0.29433
2020-05-30,0.06187
2020-05-31,0.0418
2020-06-01,0.47996
2020-06-02,0.40136
2020-06-03,0.30938
2020-06-04,0.36624
2020-06-05,0.41474
2020-06-06,0.05685
2020-06-07,0.0602
2020-06-08,0.40805
2020-06-09,0.33614
2020-06-10,0.35621
2020-06-11,0.33948
2020-06-12,0.24918
2020-06-13,0.02508
2020-06-14,0.02341
2020-06-15,0.26255
2020-06-16,0.35119
2020-06-17,0.3144
2020-06-18,0.31774
2020-06-19,0.25085
2020-06-20,0.02842
2020-06-21,0.02174
2020-06-22,0.26088
2020-06-23,0.2358
2020-06-24,0.26255
2020-06-25,0.17559
2020-06-26,0.19733
2020-06-27,0.01672
2020-06-28,0.0117
2020-06-29,0.17726
2020-06-30,0.20068
2020-07-01,0.20402
2020-07-02,0.17559
2020-07-03,0.16556
2020-07-04,0.0117
2020-07-05,0.00836
2020-07-06,0.16221
2020-07-07,0.17559
2020-07-08,0.1689
2020-07-09,0.20235
2020-07-10,0.11204
2020-07-11,0.01337
2020-07-12,0.01337
2020-07-13,0.17559
2020-07-14,0.17392
2020-07-15,0.2174
2020-07-16,0.15385
2020-07-17,0.16221
2020-07-18,0.00836
2020-07-20,0.10703
2020-07-21,0.1388
2020-07-22,0.11371
2020-07-23,0.12375
2020-07-24,0.12208
2020-07-25,0.01337
2020-07-27,0.14883
2020-07-28,0.11204
2020-07-29,0.18061
2020-07-30,0.23914
2020-07-31,0.18228
2020-08-01,0.0117
2020-08-02,0.01337
2020-08-03,0.16556
2020-08-04,0.17559
2020-08-05,0.15051
2020-08-06,0.15385
2020-08-07,0.13546
2020-08-08,0.02508
2020-08-10,0.17057
2020-08-11,0.16221
2020-08-12,0.13044
2020-08-13,0.16556
2020-08-14,0.13713
2020-08-15,0.01337
2020-08-16,0.01505
2020-08-17,0.04348
2020-08-18,0.14716
2020-08-19,0.19399
2020-08-20,0.16389
2020-08-21,0.1689
