date,공모주
2020-03-20,0.23512
2020-03-21,0.158
2020-03-22,0.13919
2020-03-23,0.237
2020-03-24,0.20502
2020-03-25,0.2464
2020-03-26,0.237
2020-03-27,0.22571
2020-03-28,0.14107
2020-03-29,0.12226
2020-03-30,0.23512
2020-03-31,0.22759
2020-04-01,0.22195
2020-04-02,0.237
2020-04-03,0.26521
2020-04-04,0.12414
2020-04-05,0.1185
2020-04-06,0.36678
2020-04-07,0.39124
2020-04-08,0.30471
2020-04-09,0.2765
2020-04-10,0.27838
2020-04-11,0.1975
2020-04-12,0.14107
2020-04-13,0.29531
2020-04-14,0.32352
2020-04-15,0.17493
2020-04-16,0.30471
2020-04-17,0.33105
2020-04-18,0.237
2020-04-19,0.25205
2020-04-20,0.30847
2020-04-21,0.2464
2020-04-22,0.26709
2020-04-23,0.30283
2020-04-24,0.23888
2020-04-25,0.1185
2020-04-26,0.13731
2020-04-27,0.22007
2020-04-28,0.25205
2020-04-29,0.22383
2020-04-30,0.18433
2020-05-01,0.12226
2020-05-02,0.12038
2020-05-03,0.13354
2020-05-04,0.19374
2020-05-05,0.11662
2020-05-06,0.27462
2020-05-07,0.27274
2020-05-08,0.25205
2020-05-09,0.14671
2020-05-10,0.12978
2020-05-11,0.34421
2020-05-12,0.47212
2020-05-13,0.58686
2020-05-14,0.34233
2020-05-15,0.28214
2020-05-16,0.09781
2020-05-17,0.16176
2020-05-18,0.34609
2020-05-19,0.49281
2020-05-20,0.79753
2020-05-21,0.69784
2020-05-22,0.89346
2020-05-23,0.34421
2020-05-24,0.18997
2020-05-25,0.50033
2020-05-26,0.52667
2020-05-27,0.47212
2020-05-28,0.50974
2020-05-29,0.5041
2020-05-30,0.26897
2020-05-31,0.48152
2020-06-01,1.01196
2020-06-02,0.81822
2020-06-03,0.83891
2020-06-04,0.90098
2020-06-05,0.9085
2020-06-06,0.54924
2020-06-07,0.46648
2020-06-08,1.22451
2020-06-09,1.33549
2020-06-10,1.39944
2020-06-11,1.15491
2020-06-12,1.32608
2020-06-13,0.84079
2020-06-14,0.632
2020-06-15,1.7192
2020-06-16,1.79444
2020-06-17,2.20261
2020-06-18,2.09728
2020-06-19,2.12173
2020-06-20,1.10977
2020-06-21,1.10977
2020-06-22,3.58513
2020-06-23,7.20412
2020-06-24,12.01564
2020-06-25,6.24294
2020-06-26,5.00526
