date,개인연금추천
2020-03-20,22.52374
2020-03-21,22.38805
2020-03-22,17.91044
2020-03-23,29.44369
2020-03-24,33.24287
2020-03-25,29.98643
2020-03-26,32.0217
2020-03-27,23.20217
2020-03-28,19.67435
2020-03-29,27.00135
2020-03-30,38.53459
2020-03-31,32.15739
2020-04-01,32.42876
2020-04-02,24.55902
2020-04-03,25.37313
2020-04-04,19.67435
2020-04-05,22.65943
2020-04-06,19.40298
2020-04-07,23.60922
2020-04-08,20.35278
2020-04-09,21.0312
2020-04-10,18.04613
2020-04-11,15.33242
2020-04-12,21.0312
2020-04-13,28.08683
2020-04-14,23.33785
2020-04-15,21.981
2020-04-16,21.84531
2020-04-17,23.20217
2020-04-18,15.60379
2020-04-19,19.53867
2020-04-20,26.86567
2020-04-21,27.54409
2020-04-22,31.20759
2020-04-23,23.60922
2020-04-24,23.20217
2020-04-25,17.09633
2020-04-26,20.89552
2020-04-27,25.6445
2020-04-28,25.50881
2020-04-29,30.2578
2020-04-30,21.0312
2020-05-01,19.81004
2020-05-02,13.97557
2020-05-03,16.41791
2020-05-04,23.47354
2020-05-05,24.83039
2020-05-06,22.38805
2020-05-07,23.20217
2020-05-08,22.79511
2020-05-09,19.13161
2020-05-10,23.06648
2020-05-11,28.62957
2020-05-12,29.98643
2020-05-13,28.08683
2020-05-14,24.83039
2020-05-15,22.38805
2020-05-16,18.45318
2020-05-17,30.2578
2020-05-18,37.31343
2020-05-19,34.87109
2020-05-20,31.75033
2020-05-21,24.28765
2020-05-22,28.3582
2020-05-23,14.92537
2020-05-24,21.30257
2020-05-25,27.81546
2020-05-26,30.52917
2020-05-27,26.45861
2020-05-28,18.99592
2020-05-29,16.68928
2020-05-30,15.60379
2020-05-31,19.13161
2020-06-01,21.57394
2020-06-02,33.10719
2020-06-03,24.55902
2020-06-04,23.60922
2020-06-05,42.46947
2020-06-06,28.62957
2020-06-07,16.28222
2020-06-08,22.38805
2020-06-09,22.9308
2020-06-10,19.53867
2020-06-11,23.06648
2020-06-12,17.63907
2020-06-13,13.7042
2020-06-14,13.29715
2020-06-15,19.40298
2020-06-16,21.30257
2020-06-17,18.86024
2020-06-18,21.43826
2020-06-19,17.63907
2020-06-20,11.53324
2020-06-21,15.33242
2020-06-22,20.08141
2020-06-23,19.67435
2020-06-24,23.33785
2020-06-25,21.84531
2020-06-26,20.35278
2020-06-27,10.31207
2020-06-28,15.19674
2020-06-29,19.13161
2020-06-30,18.99592
2020-07-01,17.09633
2020-07-02,16.14654
2020-07-03,15.87516
2020-07-04,11.94029
2020-07-05,12.7544
2020-07-06,25.50881
2020-07-07,28.3582
2020-07-08,24.96607
2020-07-09,18.72455
2020-07-10,20.48846
2020-07-11,13.16146
2020-07-12,13.83989
2020-07-13,21.981
2020-07-14,27.13704
2020-07-15,25.10176
2020-07-16,23.06648
2020-07-17,23.06648
2020-07-18,13.83989
2020-07-19,13.7042
2020-07-20,18.18181
