date,홍콩H
2020-03-20,5.90269
2020-03-21,0.76089
2020-03-22,0.23057
2020-03-23,4.50772
2020-03-24,5.41849
2020-03-25,5.44154
2020-03-26,4.96887
2020-03-27,4.40396
2020-03-28,0.42656
2020-03-29,0.28821
2020-03-30,5.10721
2020-03-31,3.8967
2020-04-01,3.34332
2020-04-02,3.53931
2020-04-03,3.29721
2020-04-04,0.36891
2020-04-05,0.2421
2020-04-06,3.35485
2020-04-07,4.3809
2020-04-08,3.40096
2020-04-09,3.80447
2020-04-10,2.60548
2020-04-11,0.5649
2020-04-12,0.18445
2020-04-13,2.68618
2020-04-14,3.68918
2020-04-15,2.19045
2020-04-16,3.08969
2020-04-17,3.51625
2020-04-18,0.43809
2020-04-19,0.29974
2020-04-20,3.02052
2020-04-21,2.50172
2020-04-22,2.62854
2020-04-23,2.46714
2020-04-24,2.15586
2020-04-25,0.29974
2020-04-26,0.12681
2020-04-27,2.7323
2020-04-28,2.99746
2020-04-29,2.58243
2020-04-30,1.16439
2020-05-01,1.23357
2020-05-02,0.36891
2020-05-03,0.25363
2020-05-04,2.24809
2020-05-05,1.67166
2020-05-06,3.08969
2020-05-07,2.5709
2020-05-08,2.37491
2020-05-09,0.46114
2020-05-10,0.27668
2020-05-11,2.66313
2020-05-12,2.35185
2020-05-13,2.36338
2020-05-14,2.04058
2020-05-15,2.01752
2020-05-16,0.3228
2020-05-17,0.14987
2020-05-18,2.66313
2020-05-19,2.62854
2020-05-20,2.46714
2020-05-21,2.47867
2020-05-22,2.62854
2020-05-23,0.71477
2020-05-24,0.34586
2020-05-25,4.10421
2020-05-26,4.63454
2020-05-27,3.33179
2020-05-28,4.88817
2020-05-29,4.54231
2020-05-30,1.06064
2020-05-31,0.5649
2020-06-01,6.01798
2020-06-02,4.51925
2020-06-03,5.41849
2020-06-04,4.49619
2020-06-05,3.9774
2020-06-06,0.59949
2020-06-07,0.34586
2020-06-08,4.36937
2020-06-09,5.23403
2020-06-10,4.3002
2020-06-11,4.18492
2020-06-12,4.01198
2020-06-13,0.29974
2020-06-14,0.14987
2020-06-15,3.65459
2020-06-16,3.91976
2020-06-17,3.44708
2020-06-18,3.42402
2020-06-19,3.47014
2020-06-20,0.3228
2020-06-21,0.25363
2020-06-22,2.9744
2020-06-23,3.48166
2020-06-24,3.66612
2020-06-25,2.53631
2020-06-26,3.14733
2020-06-27,0.31127
2020-06-28,0.31127
2020-06-29,2.85911
2020-06-30,4.4616
2020-07-01,3.2165
2020-07-02,4.11574
2020-07-03,4.20797
2020-07-04,0.57643
2020-07-05,0.44961
2020-07-06,6.05257
2020-07-07,6.1448
2020-07-08,5.32626
2020-07-09,4.36937
2020-07-10,3.85058
2020-07-11,0.4842
2020-07-12,0.4035
2020-07-13,3.75835
2020-07-14,3.85058
2020-07-15,4.16186
2020-07-16,3.85058
2020-07-17,3.30873
2020-07-18,0.46114
2020-07-19,0.19598
2020-07-20,3.18192
2020-07-21,3.8967
2020-07-22,3.63154
2020-07-23,3.67765
2020-07-24,2.813
2020-07-25,0.38044
2020-07-26,0.19598
2020-07-27,2.88217
2020-07-28,3.19345
2020-07-29,3.11275
2020-07-30,3.04357
2020-07-31,2.70924
2020-08-01,0.31127
2020-08-02,0.1614
2020-08-03,3.12427
2020-08-04,2.43255
2020-08-05,2.44408
2020-08-06,2.74383
2020-08-07,2.9744
2020-08-08,0.36891
2020-08-09,0.25363
2020-08-10,3.85058
2020-08-11,3.25109
2020-08-12,2.72077
2020-08-13,2.72077
2020-08-14,1.94835
2020-08-15,0.28821
2020-08-16,0.06917
2020-08-17,1.3258
2020-08-18,3.27415
2020-08-19,2.61701
2020-08-20,2.40949
2020-08-21,2.28268
2020-08-22,0.12681
2020-08-23,0.09222
2020-08-24,2.53631
2020-08-25,2.39797
2020-08-26,2.28268
2020-08-27,1.98293
2020-08-28,2.53631
2020-08-29,0.21904
2020-08-30,0.2421
2020-08-31,2.68618
2020-09-01,2.85911
2020-09-02,2.85911
2020-09-03,2.93982
2020-09-04,3.15886
2020-09-05,0.36891
2020-09-06,0.17293
2020-09-07,2.8937
2020-09-08,3.64307
2020-09-09,4.35785
2020-09-10,4.1388
2020-09-11,3.76988
2020-09-12,0.29974
2020-09-13,0.17293
2020-09-14,4.72676
2020-09-15,4.08116
2020-09-16,4.17339
2020-09-17,2.80147
2020-09-18,2.69771
2020-09-19,0.41503
2020-09-20,0.10375
2020-09-21,2.82453
2020-09-22,2.77841
2020-09-23,2.92829
2020-09-24,3.22803
2020-09-25,2.9744
2020-09-26,0.27668
2020-09-27,0.13834
2020-09-28,2.66313
2020-09-29,2.60548
2020-09-30,1.52178
2020-10-01,0.76089
2020-10-02,0.96841
2020-10-03,0.58796
2020-10-04,0.23057
2020-10-05,3.27415
2020-10-06,3.22803
2020-10-07,2.67465
2020-10-08,2.69771
2020-10-09,1.95988
2020-10-10,0.59949
2020-10-11,0.12681
2020-10-12,2.90523
2020-10-13,3.06663
2020-10-14,4.0581
2020-10-15,3.50472
2020-10-16,2.96287
2020-10-17,0.54184
2020-10-18,0.29974
2020-10-19,3.30873
2020-10-20,3.04357
2020-10-21,2.82453
2020-10-22,2.51325
2020-10-23,2.31727
2020-10-24,0.26516
2020-10-25,0.13834
2020-10-26,1.69471
2020-10-27,2.16739
2020-10-28,2.36338
2020-10-29,2.31727
2020-10-30,2.01752
2020-10-31,0.21904
2020-11-01,0.10375
2020-11-02,2.13281
2020-11-03,2.37491
2020-11-04,2.22504
2020-11-05,3.10122
2020-11-06,3.0551
2020-11-07,0.2421
2020-11-08,0.11528
2020-11-09,2.53631
2020-11-10,2.5709
2020-11-11,2.15586
2020-11-12,2.07516
2020-11-13,1.90223
2020-11-14,0.20751
2020-11-15,0.0807
2020-11-16,2.25962
2020-11-17,1.93682
2020-11-18,1.95988
2020-11-19,2.12128
2020-11-20,2.35185
2020-11-21,0.19598
2020-11-22,0.0807
2020-11-23,2.25962
2020-11-24,2.14433
2020-11-25,2.74383
2020-11-26,2.29421
2020-11-27,2.46714
2020-11-28,0.18445
2020-11-29,0.11528
2020-11-30,2.37491
2020-12-01,1.87917
2020-12-02,1.8907
2020-12-03,1.8907
2020-12-04,1.79847
2020-12-05,0.19598
2020-12-06,0.13834
2020-12-07,2.12128
2020-12-08,2.02905
2020-12-09,1.85612
2020-12-10,1.8907
2020-12-11,1.75236
2020-12-12,0.11528
2020-12-14,2.06363
2020-12-15,2.07516
2020-12-16,1.84459
2020-12-17,1.81
2020-12-18,1.71777
2020-12-19,0.2421
2020-12-21,1.95988
2020-12-22,1.86765
2020-12-23,1.87917
2020-12-24,1.59096
2020-12-25,0.25363
2020-12-26,0.14987
2020-12-27,0.17293
2020-12-28,1.95988
2020-12-29,2.20198
2020-12-30,1.94835
2020-12-31,1.49873
2021-01-01,0.25363
2021-01-02,0.1614
2021-01-03,0.13834
2021-01-04,2.21351
2021-01-05,2.08669
2021-01-06,2.17892
2021-01-07,2.36338
2021-01-08,2.25962
2021-01-09,0.34586
2021-01-10,0.27668
2021-01-11,2.96287
2021-01-12,2.50172
2021-01-13,2.27115
2021-01-14,2.45561
2021-01-15,2.24809
2021-01-16,0.2421
2021-01-17,0.10375
2021-01-18,2.59395
2021-01-19,3.36638
2021-01-20,2.78994
2021-01-21,3.03204
2021-01-22,2.75536
2021-01-23,0.35738
2021-01-24,0.12681
2021-01-25,2.78994
2021-01-26,2.92829
2021-01-27,2.66313
2021-01-28,2.32879
2021-01-29,2.83606
2021-01-30,0.2421
2021-01-31,0.23057
2021-02-01,3.11275
2021-02-02,2.61701
2021-02-03,2.66313
2021-02-04,2.62854
2021-02-05,2.4902
2021-02-06,0.25363
2021-02-07,0.19598
2021-02-08,2.37491
2021-02-09,2.67465
2021-02-10,2.09822
2021-02-11,0.70325
2021-02-12,0.42656
2021-02-13,0.21904
2021-02-14,0.33433
2021-02-15,1.57943
2021-02-16,2.69771
2021-02-17,3.35485
2021-02-18,2.54784
2021-02-19,2.53631
2021-02-20,0.28821
2021-02-21,0.20751
2021-02-22,2.50172
2021-02-23,2.34032
2021-02-24,3.36638
2021-02-25,2.91676
2021-02-26,2.43255
2021-02-27,0.39197
2021-02-28,0.10375
2021-03-01,1.36038
2021-03-02,2.813
2021-03-03,2.36338
