date,증여계약서
2020-03-20,26.97022
2020-03-21,10.33274
2020-03-22,10.33274
2020-03-23,34.15061
2020-03-24,34.85113
2020-03-25,29.59719
2020-03-26,28.37127
2020-03-27,22.76707
2020-03-28,8.4063
2020-03-29,6.83012
2020-03-30,33.80035
2020-03-31,35.55166
2020-04-01,28.19614
2020-04-02,30.64798
2020-04-03,21.54115
2020-04-04,9.10683
2020-04-05,10.68301
2020-04-06,41.85639
2020-04-07,41.85639
2020-04-08,41.33099
2020-04-09,38.35376
2020-04-10,28.72154
2020-04-11,10.85814
2020-04-12,10.85814
2020-04-13,47.81085
2020-04-14,37.30297
2020-04-15,14.36077
2020-04-16,40.10507
2020-04-17,42.38178
2020-04-18,10.68301
2020-04-19,18.73905
2020-04-20,61.29597
2020-04-21,55.69176
2020-04-22,57.26795
2020-04-23,42.55691
2020-04-24,29.94746
2020-04-25,12.43432
2020-04-26,13.48511
2020-04-27,46.23467
2020-04-28,43.08231
2020-04-29,37.65323
2020-04-30,14.88616
2020-05-01,28.19614
2020-05-02,9.28196
2020-05-03,14.18563
2020-05-04,44.48336
2020-05-05,18.91418
2020-05-06,38.52889
2020-05-07,35.90192
2020-05-08,30.64798
2020-05-09,9.45709
2020-05-10,14.0105
2020-05-11,52.01401
2020-05-12,39.05429
2020-05-13,41.68126
2020-05-14,37.65323
2020-05-15,31.8739
2020-05-16,8.23117
2020-05-17,15.06129
2020-05-18,37.12784
2020-05-19,39.75481
2020-05-20,31.17338
2020-05-21,38.35376
2020-05-22,32.74956
2020-05-23,11.38353
2020-05-24,15.93695
2020-05-25,48.16112
2020-05-26,40.8056
2020-05-27,31.52364
2020-05-28,34.32574
2020-05-29,28.89667
2020-05-30,7.53064
2020-05-31,9.80735
2020-06-01,39.92994
2020-06-02,32.74956
2020-06-03,34.32574
2020-06-04,35.02626
2020-06-05,32.39929
2020-06-06,5.77933
2020-06-07,12.60945
2020-06-08,45.53415
2020-06-09,40.28021
2020-06-10,35.37653
2020-06-11,37.4781
2020-06-12,26.79509
2020-06-13,11.90893
2020-06-14,12.25919
2020-06-15,52.36427
2020-06-16,45.70928
2020-06-17,43.43257
2020-06-18,49.91243
2020-06-19,36.07705
2020-06-20,12.60945
2020-06-21,14.18563
2020-06-22,51.83887
2020-06-23,41.85639
2020-06-24,42.20665
2020-06-25,38.52889
2020-06-26,39.40455
2020-06-27,10.15761
2020-06-28,11.38353
2020-06-29,42.90718
2020-06-30,40.63047
2020-07-01,45.35901
2020-07-02,41.50612
2020-07-03,32.39929
2020-07-04,11.38353
2020-07-05,11.03327
2020-07-06,44.65849
2020-07-07,51.13835
2020-07-08,42.55691
2020-07-09,42.20665
2020-07-10,46.05954
2020-07-11,24.69352
2020-07-12,37.82837
2020-07-13,100.0
2020-07-14,92.29422
2020-07-15,81.43607
2020-07-16,65.32399
2020-07-17,49.03677
2020-07-18,20.49036
2020-07-19,25.56917
2020-07-20,63.57267
2020-07-21,55.69176
2020-07-22,45.88441
2020-07-23,56.39229
2020-07-24,43.43257
2020-07-25,14.71103
2020-07-26,22.9422
2020-07-27,60.59544
2020-07-28,63.04728
2020-07-29,61.82136
2020-07-30,56.04203
2020-07-31,46.4098
2020-08-01,14.71103
2020-08-02,19.26444
2020-08-03,56.74255
2020-08-04,44.65849
2020-08-05,46.9352
2020-08-06,39.75481
2020-08-07,32.39929
2020-08-08,12.25919
2020-08-09,12.95971
2020-08-10,48.33625
2020-08-11,37.4781
2020-08-12,36.25218
2020-08-13,30.29772
2020-08-14,27.14535
2020-08-15,9.10683
2020-08-16,7.53064
2020-08-17,16.28721
2020-08-18,49.91243
2020-08-19,38.0035
2020-08-20,42.03152
2020-08-21,32.22416
2020-08-22,10.50788
2020-08-23,14.0105
2020-08-24,45.00875
2020-08-25,31.8739
2020-08-26,29.77232
2020-08-27,30.47285
2020-08-28,22.06654
2020-08-29,6.47985
2020-08-30,8.23117
2020-08-31,33.80035
2020-09-01,32.57443
2020-09-02,33.80035
2020-09-03,28.02101
2020-09-04,29.94746
2020-09-05,7.35551
2020-09-06,9.98248
2020-09-07,36.42732
2020-09-08,32.39929
2020-09-09,31.8739
2020-09-10,29.0718
2020-09-11,27.67075
2020-09-12,10.33274
2020-09-13,9.28196
2020-09-14,42.03152
2020-09-15,47.98598
2020-09-16,32.22416
2020-09-17,38.70402
2020-09-18,30.12259
2020-09-19,10.68301
2020-09-20,12.60945
2020-09-21,40.8056
2020-09-22,42.73204
2020-09-23,38.70402
2020-09-24,35.72679
