date,밈코인
2020-06-10,0.22181
2020-09-03,0.12939
2020-09-22,0.09242
2020-09-23,0.14787
2021-01-29,0.14787
2021-01-30,0.12939
2021-02-06,0.27726
2021-02-07,0.24029
2021-02-08,0.1109
2021-02-09,0.09242
2021-02-24,0.09242
2021-03-02,0.09242
2021-03-07,0.09242
2021-03-12,0.14787
2021-03-13,0.09242
2021-03-20,0.31423
2021-03-24,0.1109
2021-04-03,0.09242
2021-04-04,0.1109
2021-04-06,0.09242
2021-04-14,0.24029
2021-04-15,0.1109
2021-04-16,1.10905
2021-04-17,0.94269
2021-04-18,0.38817
2021-04-19,0.8133
2021-04-20,0.55452
2021-04-21,0.85027
2021-04-22,0.48059
2021-04-24,0.29574
2021-04-25,0.33271
2021-04-26,0.42513
2021-04-27,0.20332
2021-04-28,0.44362
2021-04-29,0.25878
2021-04-30,0.1109
2021-05-01,0.1109
2021-05-02,0.1109
2021-05-03,0.1109
2021-05-04,0.1109
2021-05-05,0.44362
2021-05-06,0.51756
2021-05-07,0.59149
2021-05-08,1.51571
2021-05-09,2.14417
2021-05-10,3.17929
2021-05-11,13.38262
2021-05-12,17.63401
2021-05-13,13.16081
2021-05-14,6.98706
2021-05-15,4.04805
2021-05-16,2.77264
2021-05-17,4.14048
2021-05-18,2.43992
2021-05-19,1.6451
2021-05-20,1.55268
2021-05-21,2.56931
2021-05-22,1.34935
2021-05-23,1.25693
2021-05-24,2.19963
2021-05-25,3.34565
2021-05-26,2.23659
2021-05-27,2.05175
2021-05-28,1.34935
2021-05-29,0.92421
2021-05-30,1.18299
2021-05-31,1.38632
2021-06-01,1.2939
2021-06-02,5.13863
2021-06-03,2.84658
2021-06-04,2.07024
2021-06-05,1.14602
2021-06-06,1.0536
2021-06-07,1.46025
2021-06-08,0.8133
2021-06-09,1.42329
2021-06-10,1.25693
2021-06-11,0.66543
2021-06-12,1.66358
2021-06-13,1.42329
2021-06-14,1.20147
2021-06-15,1.84842
2021-06-16,1.90388
2021-06-17,1.47874
2021-06-18,0.55452
2021-06-19,0.3512
2021-06-20,0.3512
