date,일본증시
2020-03-20,86.37035
2020-03-21,11.34895
2020-03-22,4.9817
2020-03-23,100.0
2020-03-24,72.81855
2020-03-25,60.68342
2020-03-26,76.20456
2020-03-27,63.68802
2020-03-28,7.57375
2020-03-29,3.58838
2020-03-30,58.78415
2020-03-31,38.17233
2020-04-01,48.29921
2020-04-02,48.4471
2020-04-03,33.71215
2020-04-04,3.96979
2020-04-05,2.68545
2020-04-06,41.25476
2020-04-07,47.334
2020-04-08,36.42095
2020-04-09,30.28722
2020-04-10,30.6375
2020-04-11,3.70514
2020-04-12,2.0783
2020-04-13,30.45068
2020-04-14,21.47583
2020-04-15,32.4278
2020-04-16,26.81559
2020-04-17,26.05277
2020-04-18,3.49497
2020-04-19,1.98489
2020-04-20,23.1805
2020-04-21,26.32521
2020-04-22,24.97859
2020-04-23,17.94193
2020-04-24,18.1988
2020-04-25,2.05495
2020-04-26,1.19093
2020-04-27,16.60309
2020-04-28,18.96162
2020-04-29,14.83614
2020-04-30,20.00467
2020-05-01,32.77029
2020-05-02,4.21109
2020-05-03,1.76694
2020-05-04,16.49412
2020-05-05,16.50969
2020-05-06,15.73129
2020-05-07,15.94146
2020-05-08,12.83568
2020-05-09,2.00046
2020-05-10,1.08974
2020-05-11,15.60675
2020-05-12,15.5834
2020-05-13,14.13559
2020-05-14,15.34988
2020-05-15,13.76196
2020-05-16,1.51008
2020-05-17,1.03526
2020-05-18,12.74227
2020-05-19,14.35354
2020-05-20,12.50097
2020-05-21,13.59072
2020-05-22,14.62598
2020-05-23,1.58013
2020-05-24,0.71612
2020-05-25,13.73083
2020-05-26,13.5985
2020-05-27,14.37689
2020-05-28,18.13652
2020-05-29,14.46252
2020-05-30,1.62683
2020-05-31,0.94185
2020-06-01,13.53623
2020-06-02,12.94465
2020-06-03,14.44695
2020-06-04,15.64567
2020-06-05,13.01471
2020-06-06,1.75916
2020-06-07,1.04304
2020-06-08,14.37689
2020-06-09,15.03853
2020-06-10,13.18595
2020-06-11,15.83249
2020-06-12,24.16906
2020-06-13,1.70467
2020-06-14,0.73947
2020-06-15,28.15443
2020-06-16,18.33112
2020-06-17,18.46345
2020-06-18,14.15894
2020-06-19,13.3572
2020-06-20,1.22985
2020-06-21,0.66163
2020-06-22,13.69969
2020-06-23,13.17817
2020-06-24,11.87825
2020-06-25,14.87506
2020-06-26,10.71845
2020-06-27,1.61905
2020-06-28,0.80174
2020-06-29,16.57974
2020-06-30,12.22853
2020-07-01,14.22121
2020-07-02,12.61773
2020-07-03,11.31003
2020-07-04,1.37775
2020-07-05,0.9652
2020-07-06,17.98085
2020-07-07,18.72032
2020-07-08,14.68047
2020-07-09,12.88238
2020-07-10,12.27523
2020-07-11,1.39332
2020-07-12,0.86401
2020-07-13,11.99501
2020-07-14,12.89795
2020-07-15,12.89795
2020-07-16,16.62644
2020-07-17,13.70748
2020-07-18,1.51786
2020-07-19,0.77839
2020-07-20,13.94878
2020-07-21,11.52019
2020-07-22,12.06507
2020-07-23,11.81598
2020-07-24,11.01424
2020-07-25,1.22207
2020-07-26,0.88736
2020-07-27,12.67221
2020-07-28,11.96388
2020-07-29,12.35307
2020-07-30,11.53576
2020-07-31,15.17864
2020-08-01,2.14836
2020-08-02,1.05861
2020-08-03,11.94053
2020-08-04,11.38008
2020-08-05,11.41122
2020-08-06,11.94831
2020-08-07,11.64474
2020-08-08,1.25321
2020-08-09,0.91071
2020-08-10,10.41488
2020-08-11,10.22028
2020-08-12,10.51607
2020-08-13,9.04491
2020-08-14,11.51241
2020-08-15,1.29213
2020-08-16,1.29991
2020-08-17,30.29501
2020-08-18,19.78672
2020-08-19,10.86635
2020-08-20,19.72444
2020-08-21,11.04538
2020-08-22,1.30769
2020-08-23,1.17537
2020-08-24,9.68319
2020-08-25,9.28621
2020-08-26,9.51194
2020-08-27,9.66762
2020-08-28,16.12827
2020-08-29,2.06273
2020-08-30,1.03526
2020-08-31,12.45426
2020-09-01,9.64427
2020-09-02,8.19646
2020-09-03,8.47668
2020-09-04,13.32606
2020-09-05,1.48672
2020-09-06,0.84844
2020-09-07,10.35261
2020-09-08,10.18136
2020-09-09,12.52432
2020-09-10,8.30544
2020-09-11,9.78438
