date,아파트실거래가조회
2020-03-20,61.28715
2020-03-21,50.31547
2020-03-22,48.05103
2020-03-23,63.0959
2020-03-24,60.67722
2020-03-25,56.04318
2020-03-26,60.6632
2020-03-27,52.66404
2020-03-28,47.04851
2020-03-29,45.16264
2020-03-30,57.56449
2020-03-31,57.53645
2020-04-01,65.75995
2020-04-02,61.19601
2020-04-03,51.74565
2020-04-04,44.69293
2020-04-05,42.04991
2020-04-06,57.59254
2020-04-07,57.83791
2020-04-08,55.04066
2020-04-09,53.37212
2020-04-10,50.51878
2020-04-11,45.54122
2020-04-12,45.71648
2020-04-13,59.38726
2020-04-14,54.80931
2020-04-15,42.48457
2020-04-16,50.7922
2020-04-17,49.00448
2020-04-18,46.95737
2020-04-19,45.52019
2020-04-20,57.91503
2020-04-21,59.83595
2020-04-22,55.25098
2020-04-23,53.44223
2020-04-24,48.30342
2020-04-25,41.34183
2020-04-26,43.63432
2020-04-27,55.29304
2020-04-28,59.58356
2020-04-29,50.91839
2020-04-30,43.83062
2020-05-01,48.83623
2020-05-02,42.40745
2020-05-03,43.66937
2020-05-04,52.51682
2020-05-05,47.72854
2020-05-06,55.45429
2020-05-07,54.61301
2020-05-08,49.53729
2020-05-09,45.26079
2020-05-10,40.36735
2020-05-11,61.86203
2020-05-12,60.62114
2020-05-13,52.1733
2020-05-14,52.74817
2020-05-15,53.50532
2020-05-16,47.00644
2020-05-17,45.26079
2020-05-18,62.72434
2020-05-19,60.35473
2020-05-20,58.03421
2020-05-21,57.60656
2020-05-22,53.11974
2020-05-23,46.28435
2020-05-24,45.7936
2020-05-25,63.24312
2020-05-26,62.80846
2020-05-27,59.46438
2020-05-28,59.03673
2020-05-29,56.28855
2020-05-30,45.98289
2020-05-31,46.37549
2020-06-01,72.46214
2020-06-02,67.86315
2020-06-03,62.59113
2020-06-04,66.93774
2020-06-05,61.60263
2020-06-06,54.02411
2020-06-07,49.90886
2020-06-08,74.31996
2020-06-09,72.33595
2020-06-10,70.97588
2020-06-11,75.09113
2020-06-12,70.78659
2020-06-13,57.11581
2020-06-14,57.54346
2020-06-15,85.08833
2020-06-16,78.8839
2020-06-17,85.95765
2020-06-18,87.40886
2020-06-19,81.70919
2020-06-20,62.24761
2020-06-21,56.28855
2020-06-22,87.86455
2020-06-23,89.51205
2020-06-24,79.99158
2020-06-25,80.17386
2020-06-26,78.18984
2020-06-27,61.76388
2020-06-28,67.24621
2020-06-29,90.33931
2020-06-30,88.67779
2020-07-01,87.91362
2020-07-02,94.83314
2020-07-03,88.24312
2020-07-04,67.06393
2020-07-05,64.15451
2020-07-06,98.60487
2020-07-07,96.57178
2020-07-08,95.75154
2020-07-09,100.0
2020-07-10,85.71929
2020-07-11,65.55664
2020-07-12,61.25911
2020-07-13,90.66881
2020-07-14,90.31828
2020-07-15,92.09197
2020-07-16,92.26724
2020-07-17,91.81856
2020-07-18,70.2678
2020-07-19,65.29024
2020-07-20,96.06001
2020-07-21,97.03449
2020-07-22,95.63236
2020-07-23,95.40802
2020-07-24,83.88951
2020-07-25,66.45401
2020-07-26,61.77089
2020-07-27,91.41194
2020-07-28,90.50757
2020-07-29,98.40157
2020-07-30,89.7434
2020-07-31,80.90297
2020-08-01,67.30229
2020-08-02,56.08524
2020-08-03,91.97279
