date,다이렉트자동차보험료비교견적
2020-03-20,1.42517
2020-03-21,1.90023
2020-03-23,7.36342
2020-03-24,4.98812
2020-03-25,3.56294
2020-03-26,3.80047
2020-03-27,2.37529
2020-03-28,1.6627
2020-03-29,1.18764
2020-03-30,6.4133
2020-03-31,13.30166
2020-04-01,6.65083
2020-04-02,7.12589
2020-04-03,5.70071
2020-04-04,3.80047
2020-04-05,7.36342
2020-04-06,7.83847
2020-04-07,7.60095
2020-04-08,4.98812
2020-04-09,6.4133
2020-04-10,4.98812
2020-04-11,1.18764
2020-04-12,3.08788
2020-04-13,4.51306
2020-04-14,6.88836
2020-04-15,5.93824
2020-04-16,1.18764
2020-04-17,5.46318
2020-04-18,2.85035
2020-04-19,3.32541
2020-04-20,4.75059
2020-04-21,4.75059
2020-04-22,4.75059
2020-04-23,2.13776
2020-04-24,4.038
2020-04-25,2.61282
2020-04-26,1.90023
2020-04-27,3.08788
2020-04-28,3.80047
2020-04-29,5.93824
2020-04-30,4.51306
2020-05-01,6.17577
2020-05-04,4.75059
2020-05-06,7.36342
2020-05-07,5.46318
2020-05-08,4.038
2020-05-09,4.75059
2020-05-10,2.61282
2020-05-11,5.93824
2020-05-12,4.98812
2020-05-13,6.17577
2020-05-14,6.88836
2020-05-15,7.12589
2020-05-17,2.61282
2020-05-18,5.46318
2020-05-19,6.88836
2020-05-20,2.85035
2020-05-21,4.75059
2020-05-22,3.08788
2020-05-24,1.42517
2020-05-25,4.75059
2020-05-26,5.22565
2020-05-27,4.98812
2020-05-28,4.27553
2020-05-29,6.65083
2020-05-30,1.6627
2020-05-31,2.13776
2020-06-01,9.02612
2020-06-02,4.98812
2020-06-03,5.22565
2020-06-04,6.17577
2020-06-05,4.51306
2020-06-07,3.08788
2020-06-08,4.51306
2020-06-09,5.22565
2020-06-10,4.27553
2020-06-11,3.80047
2020-06-12,3.08788
2020-06-13,1.90023
2020-06-15,5.70071
2020-06-16,3.08788
2020-06-17,1.42517
2020-06-18,1.18764
2020-06-19,4.27553
2020-06-20,1.18764
2020-06-21,1.6627
2020-06-22,3.56294
2020-06-23,4.51306
2020-06-24,5.46318
2020-06-25,4.51306
2020-06-26,4.98812
2020-06-27,2.37529
2020-06-28,4.038
2020-06-29,5.70071
2020-06-30,2.61282
2020-07-01,1.90023
2020-07-02,3.80047
2020-07-03,1.90023
2020-07-06,3.56294
2020-07-07,2.61282
2020-07-08,3.80047
2020-07-09,1.42517
2020-07-10,1.42517
2020-07-11,1.42517
2020-07-12,3.80047
2020-07-13,4.75059
2020-07-14,1.90023
2020-07-15,5.22565
2020-07-16,5.70071
2020-07-17,2.13776
2020-07-18,1.42517
2020-07-19,4.038
2020-07-20,6.4133
2020-07-21,4.98812
2020-07-22,4.75059
2020-07-23,2.85035
2020-07-24,3.08788
2020-07-27,1.90023
2020-07-28,3.80047
2020-07-29,2.13776
2020-07-30,1.6627
