date,미국채ETF
2020-03-20,3.84615
2020-03-23,1.28205
2020-03-24,2.82051
2020-03-26,3.84615
2020-03-27,4.35897
2020-03-28,4.10256
2020-03-29,2.30769
2020-03-30,2.5641
2020-03-31,1.53846
2020-04-01,2.30769
2020-04-02,3.84615
2020-04-03,3.07692
2020-04-05,2.30769
2020-04-06,2.82051
2020-04-07,4.87179
2020-04-08,2.05128
2020-04-09,3.58974
2020-04-10,2.82051
2020-04-11,1.28205
2020-04-12,1.79487
2020-04-13,2.05128
2020-04-14,1.79487
2020-04-16,3.33333
2020-04-17,1.28205
2020-04-19,1.79487
2020-04-20,2.5641
2020-04-22,1.28205
2020-04-24,2.05128
2020-04-26,1.28205
2020-04-27,1.79487
2020-04-28,1.28205
2020-04-29,1.28205
2020-05-05,1.79487
2020-05-08,1.53846
2020-05-09,1.28205
2020-05-11,1.28205
2020-05-12,1.28205
2020-05-13,1.53846
2020-05-14,1.28205
2020-05-15,2.05128
2020-05-18,2.30769
2020-05-19,1.28205
2020-05-21,1.28205
2020-06-02,1.28205
2020-06-03,1.79487
2020-06-04,1.28205
2020-06-05,1.28205
2020-06-09,3.58974
2020-06-10,1.53846
2020-06-11,1.28205
2020-06-12,1.79487
2020-06-16,1.28205
2020-06-19,1.28205
2020-06-24,1.53846
2020-07-03,1.28205
2020-07-05,1.79487
2020-07-06,1.28205
2020-07-08,1.79487
2020-07-13,2.5641
2020-07-19,1.28205
2020-07-25,1.53846
2020-08-06,1.28205
2020-08-12,1.28205
2020-08-13,1.28205
2020-08-14,1.28205
2020-08-21,1.28205
2020-08-24,1.79487
2020-08-26,2.05128
2020-08-27,2.05128
2020-09-02,1.28205
2020-09-05,1.28205
2020-09-14,1.28205
2020-10-10,1.53846
2020-10-26,1.28205
2020-10-29,2.05128
2020-11-25,1.79487
2020-12-02,1.28205
2020-12-04,1.28205
2020-12-05,1.79487
2020-12-06,1.28205
2020-12-08,1.28205
2020-12-09,1.28205
2020-12-13,1.53846
2020-12-16,1.53846
2020-12-17,1.53846
2020-12-18,1.79487
2020-12-24,2.5641
2020-12-26,1.28205
2020-12-28,1.79487
2020-12-30,1.28205
2020-12-31,1.28205
2021-01-02,1.53846
2021-01-03,3.58974
2021-01-04,4.35897
2021-01-05,4.35897
2021-01-06,1.79487
2021-01-07,4.61538
2021-01-08,3.84615
2021-01-09,2.30769
2021-01-10,2.30769
2021-01-11,4.61538
2021-01-12,7.94871
2021-01-13,5.38461
2021-01-14,6.15384
2021-01-15,4.61538
2021-01-16,1.28205
2021-01-17,1.28205
2021-01-18,3.07692
2021-01-20,1.53846
2021-01-21,4.35897
2021-01-22,1.28205
2021-01-23,1.79487
2021-01-24,2.5641
2021-01-25,1.53846
2021-01-26,3.84615
2021-01-27,2.82051
2021-01-28,4.10256
2021-01-29,1.53846
2021-01-30,3.58974
2021-02-02,2.82051
2021-02-03,1.53846
2021-02-04,1.79487
2021-02-05,1.79487
2021-02-06,2.5641
2021-02-07,3.33333
2021-02-08,4.61538
2021-02-09,1.28205
2021-02-10,3.33333
2021-02-11,1.53846
2021-02-13,1.79487
2021-02-14,2.30769
2021-02-15,1.28205
2021-02-16,2.82051
2021-02-17,8.71794
2021-02-18,6.41025
2021-02-19,3.58974
2021-02-20,5.1282
2021-02-21,3.58974
2021-02-22,7.43589
2021-02-23,10.76923
2021-02-24,7.6923
2021-02-25,10.0
2021-02-26,31.53846
2021-02-27,10.0
2021-02-28,4.61538
2021-03-01,6.15384
2021-03-02,5.38461
2021-03-03,4.61538
2021-03-04,9.23076
2021-03-05,12.82051
2021-03-06,8.97435
2021-03-07,8.20512
2021-03-08,11.02564
2021-03-09,14.35897
2021-03-10,15.38461
2021-03-11,6.41025
2021-03-12,8.71794
2021-03-13,6.41025
2021-03-14,7.94871
2021-03-15,8.20512
2021-03-16,12.05128
2021-03-17,10.51282
2021-03-18,10.51282
2021-03-19,11.02564
2021-03-20,8.20512
2021-03-21,3.84615
2021-03-22,3.58974
2021-03-23,6.92307
2021-03-24,3.33333
2021-03-25,6.66666
2021-03-26,5.38461
2021-03-27,1.79487
2021-03-28,2.30769
2021-03-29,3.84615
2021-03-30,4.61538
