date,자산관리
2020-03-20,41.44736
2020-03-21,18.85964
2020-03-22,27.85087
2020-03-23,48.46491
2020-03-24,42.76315
2020-03-25,42.10526
2020-03-26,43.42105
2020-03-27,42.76315
2020-03-28,26.97368
2020-03-29,28.28947
2020-03-30,41.88596
2020-03-31,42.54385
2020-04-01,37.0614
2020-04-02,35.52631
2020-04-03,41.00877
2020-04-04,24.7807
2020-04-05,26.53508
2020-04-06,40.13157
2020-04-07,44.51754
2020-04-08,38.59649
2020-04-09,33.77192
2020-04-10,36.6228
2020-04-11,27.85087
2020-04-12,31.79824
2020-04-13,43.85964
2020-04-14,41.00877
2020-04-15,24.1228
2020-04-16,41.66666
2020-04-17,41.88596
2020-04-18,32.23684
2020-04-19,33.99122
2020-04-20,37.93859
2020-04-21,35.30701
2020-04-22,43.20175
2020-04-23,41.44736
2020-04-24,44.51754
2020-04-25,26.31578
2020-04-26,33.99122
2020-04-27,49.7807
2020-04-28,45.39473
2020-04-29,41.88596
2020-04-30,28.50877
2020-05-01,27.63157
2020-05-02,20.17543
2020-05-03,28.50877
2020-05-04,34.86842
2020-05-05,32.89473
2020-05-06,39.91228
2020-05-07,32.23684
2020-05-08,38.37719
2020-05-09,25.87719
2020-05-10,25.65789
2020-05-11,36.4035
2020-05-12,37.2807
2020-05-13,42.54385
2020-05-14,38.15789
2020-05-15,27.41228
2020-05-16,18.42105
2020-05-17,22.80701
2020-05-18,42.98245
2020-05-19,44.07894
2020-05-20,39.47368
2020-05-21,38.15789
2020-05-22,33.55263
2020-05-23,17.76315
2020-05-24,28.07017
2020-05-25,48.02631
2020-05-26,58.99122
2020-05-27,44.73684
2020-05-28,38.81578
2020-05-29,31.79824
2020-05-30,23.02631
2020-05-31,28.72807
2020-06-01,46.71052
2020-06-02,38.81578
2020-06-03,45.39473
2020-06-04,41.22807
2020-06-05,39.69298
2020-06-06,26.09649
2020-06-07,27.41228
2020-06-08,44.07894
2020-06-09,39.69298
2020-06-10,40.78947
2020-06-11,35.30701
2020-06-12,37.2807
2020-06-13,22.36842
2020-06-14,28.28947
2020-06-15,37.93859
2020-06-16,46.27192
2020-06-17,37.2807
2020-06-18,44.29824
2020-06-19,43.85964
2020-06-20,15.57017
2020-06-21,24.1228
2020-06-22,43.20175
2020-06-23,35.74561
2020-06-24,38.15789
2020-06-25,43.85964
2020-06-26,32.45614
2020-06-27,17.98245
2020-06-28,26.31578
2020-06-29,31.79824
2020-06-30,40.78947
2020-07-01,37.0614
2020-07-02,35.74561
2020-07-03,30.70175
2020-07-04,16.44736
2020-07-05,33.55263
2020-07-06,44.73684
2020-07-07,43.85964
2020-07-08,36.18421
2020-07-09,41.66666
2020-07-10,29.16666
2020-07-11,27.41228
2020-07-12,33.55263
