date,퇴직연금IRP
2020-07-24,4.8305
2020-07-25,1.35593
2020-07-26,2.71186
2020-07-27,4.49152
2020-07-28,3.38983
2020-07-29,4.74576
2020-07-30,4.32203
2020-07-31,4.8305
2020-08-01,0.84745
2020-08-02,1.01694
2020-08-03,5.16949
2020-08-04,5.0
2020-08-05,6.69491
2020-08-06,4.66101
2020-08-07,4.15254
2020-08-08,1.10169
2020-08-09,2.37288
2020-08-10,5.42372
2020-08-11,5.67796
2020-08-12,5.08474
2020-08-13,4.23728
2020-08-14,4.15254
2020-08-15,2.28813
2020-08-16,0.9322
2020-08-17,1.69491
2020-08-18,3.8983
2020-08-19,5.25423
2020-08-20,4.74576
2020-08-21,5.0
2020-08-22,1.18644
2020-08-23,1.69491
2020-08-24,4.91525
2020-08-25,6.27118
2020-08-26,5.16949
2020-08-27,4.91525
2020-08-28,4.8305
2020-08-29,1.52542
2020-08-30,1.8644
2020-08-31,5.0
2020-09-01,6.35593
2020-09-02,4.74576
2020-09-03,4.49152
2020-09-04,5.67796
2020-09-05,1.27118
2020-09-06,2.20338
2020-09-07,5.25423
2020-09-08,6.35593
2020-09-09,5.9322
2020-09-10,5.50847
2020-09-11,3.55932
2020-09-12,1.8644
2020-09-13,1.18644
2020-09-14,4.74576
2020-09-15,5.84745
2020-09-16,4.66101
2020-09-17,5.33898
2020-09-18,4.23728
2020-09-19,2.71186
2020-09-20,1.52542
2020-09-21,5.33898
2020-09-22,4.91525
2020-09-23,6.44067
2020-09-24,4.06779
2020-09-25,5.0
2020-09-26,1.18644
2020-09-27,2.11864
2020-09-28,3.72881
2020-09-29,5.0
2020-09-30,1.10169
2020-10-01,0.67796
2020-10-02,0.50847
2020-10-03,1.8644
2020-10-04,1.44067
2020-10-05,5.0
2020-10-06,4.23728
2020-10-07,6.10169
2020-10-08,4.49152
2020-10-09,1.44067
2020-10-10,1.69491
2020-10-11,2.45762
2020-10-12,4.57627
2020-10-13,5.50847
2020-10-14,5.42372
2020-10-15,5.9322
2020-10-16,4.49152
2020-10-17,1.01694
2020-10-18,2.20338
2020-10-19,7.28813
2020-10-20,5.67796
2020-10-21,5.08474
2020-10-22,4.49152
2020-10-23,4.8305
2020-10-24,0.76271
2020-10-25,0.9322
2020-10-26,6.01694
2020-10-27,4.49152
2020-10-28,8.38983
2020-10-29,6.01694
