date,전당사
2020-03-20,32.10256
2020-03-21,30.87179
2020-03-22,36.51282
2020-03-23,44.41025
2020-03-24,37.74358
2020-03-25,33.53846
2020-03-26,31.38461
2020-03-27,31.07692
2020-03-28,26.46153
2020-03-29,32.0
2020-03-30,32.20512
2020-03-31,32.92307
2020-04-01,35.58974
2020-04-02,32.30769
2020-04-03,31.6923
2020-04-04,33.43589
2020-04-05,31.38461
2020-04-06,30.76923
2020-04-07,30.25641
2020-04-08,34.66666
2020-04-09,31.89743
2020-04-10,29.53846
2020-04-11,23.07692
2020-04-12,26.5641
2020-04-13,28.0
2020-04-14,30.05128
2020-04-15,29.23076
2020-04-16,31.28205
2020-04-17,31.6923
2020-04-18,28.10256
2020-04-19,24.10256
2020-04-20,29.1282
2020-04-21,33.33333
2020-04-22,33.33333
2020-04-23,28.82051
2020-04-24,28.30769
2020-04-25,27.28205
2020-04-26,25.1282
2020-04-27,28.51282
2020-04-28,31.79487
2020-04-29,31.48717
2020-04-30,31.89743
2020-05-01,28.51282
2020-05-02,30.97435
2020-05-03,28.61538
2020-05-04,27.89743
2020-05-05,24.61538
2020-05-06,24.71794
2020-05-07,27.38461
2020-05-08,30.5641
2020-05-09,25.02564
2020-05-10,26.05128
2020-05-11,27.79487
2020-05-12,33.94871
2020-05-13,28.92307
2020-05-14,33.94871
2020-05-15,29.23076
2020-05-16,26.97435
2020-05-17,27.48717
2020-05-18,35.38461
2020-05-19,29.1282
2020-05-20,32.71794
2020-05-21,30.15384
2020-05-22,29.02564
2020-05-23,29.53846
2020-05-24,27.58974
2020-05-25,29.23076
2020-05-26,33.94871
2020-05-27,32.71794
2020-05-28,36.61538
2020-05-29,39.48717
2020-05-30,27.17948
2020-05-31,26.25641
2020-06-01,30.5641
2020-06-02,31.28205
2020-06-03,32.41025
2020-06-04,26.15384
2020-06-05,27.38461
2020-06-06,27.17948
2020-06-07,24.0
2020-06-08,32.0
2020-06-09,31.28205
2020-06-10,31.48717
2020-06-11,32.0
2020-06-12,31.38461
2020-06-13,26.76923
2020-06-14,28.41025
2020-06-15,29.1282
2020-06-16,32.20512
2020-06-17,33.1282
2020-06-18,32.10256
2020-06-19,31.38461
2020-06-20,25.53846
2020-06-21,26.87179
2020-06-22,31.17948
2020-06-23,31.38461
2020-06-24,27.28205
2020-06-25,28.61538
2020-06-26,29.1282
2020-06-27,24.0
2020-06-28,24.20512
2020-06-29,29.33333
2020-06-30,30.25641
2020-07-01,35.79487
2020-07-02,30.66666
2020-07-03,32.20512
2020-07-04,25.23076
2020-07-05,26.35897
2020-07-06,29.43589
2020-07-07,32.30769
2020-07-08,29.94871
2020-07-09,29.1282
2020-07-10,32.51282
2020-07-11,29.1282
2020-07-12,29.53846
2020-07-13,29.53846
2020-07-14,34.66666
2020-07-15,33.64102
2020-07-16,33.94871
2020-07-17,33.64102
2020-07-18,27.58974
2020-07-19,25.53846
2020-07-20,30.5641
2020-07-21,32.92307
2020-07-22,33.02564
2020-07-23,35.07692
2020-07-24,29.23076
2020-07-25,29.43589
2020-07-26,27.07692
2020-07-27,29.02564
2020-07-28,33.33333
2020-07-29,30.25641
2020-07-30,35.58974
2020-07-31,34.46153
2020-08-01,27.17948
2020-08-02,26.5641
2020-08-03,28.82051
2020-08-04,28.82051
2020-08-05,32.71794
2020-08-06,27.6923
2020-08-07,27.07692
2020-08-08,24.41025
2020-08-09,25.02564
2020-08-10,26.25641
2020-08-11,26.87179
2020-08-12,29.23076
2020-08-13,33.1282
2020-08-14,25.94871
2020-08-15,26.05128
2020-08-16,21.23076
2020-08-17,28.20512
2020-08-18,26.46153
2020-08-19,32.20512
2020-08-20,32.41025
2020-08-21,31.48717
2020-08-22,28.92307
2020-08-23,30.87179
2020-08-24,38.76923
2020-08-25,37.53846
2020-08-26,30.35897
2020-08-27,33.53846
2020-08-28,57.74358
2020-08-29,39.38461
2020-08-30,31.89743
2020-08-31,34.25641
2020-09-01,27.48717
2020-09-02,26.15384
2020-09-03,27.6923
2020-09-04,42.97435
2020-09-05,31.28205
2020-09-06,30.35897
2020-09-07,35.38461
2020-09-08,32.82051
2020-09-09,38.15384
2020-09-10,40.92307
2020-09-11,32.0
2020-09-12,37.1282
2020-09-13,42.15384
2020-09-14,41.02564
2020-09-15,33.84615
2020-09-16,37.53846
2020-09-17,36.10256
2020-09-18,32.41025
2020-09-19,31.28205
2020-09-20,29.94871
2020-09-21,32.20512
2020-09-22,35.89743
2020-09-23,40.41025
2020-09-24,38.25641
2020-09-25,34.35897
2020-09-26,34.25641
2020-09-27,28.10256
2020-09-28,25.94871
2020-09-29,28.61538
2020-09-30,28.61538
2020-10-01,28.92307
2020-10-02,25.02564
2020-10-03,27.17948
2020-10-04,28.61538
2020-10-05,36.20512
2020-10-06,31.17948
2020-10-07,38.66666
2020-10-08,33.53846
2020-10-09,35.58974
2020-10-10,32.61538
2020-10-11,35.79487
2020-10-12,36.20512
2020-10-13,38.97435
2020-10-14,37.1282
2020-10-15,34.35897
2020-10-16,35.17948
2020-10-17,33.23076
2020-10-18,30.25641
2020-10-19,35.17948
2020-10-20,39.89743
2020-10-21,39.58974
2020-10-22,37.33333
2020-10-23,37.53846
2020-10-24,34.5641
2020-10-25,32.10256
2020-10-26,35.38461
2020-10-27,32.82051
2020-10-28,33.74358
2020-10-29,32.71794
2020-10-30,31.58974
2020-10-31,29.94871
2020-11-01,28.82051
2020-11-02,29.94871
2020-11-03,36.71794
2020-11-04,34.25641
2020-11-05,33.94871
2020-11-06,35.79487
2020-11-07,29.02564
2020-11-08,32.41025
2020-11-09,32.51282
2020-11-10,37.02564
2020-11-11,38.15384
2020-11-12,44.20512
2020-11-13,40.41025
2020-11-14,32.92307
2020-11-15,31.48717
2020-11-16,41.74358
2020-11-17,39.6923
2020-11-18,37.53846
2020-11-19,37.23076
2020-11-20,39.79487
2020-11-21,36.82051
2020-11-22,39.79487
2020-11-23,51.89743
2020-11-24,49.74358
2020-11-25,42.15384
2020-11-26,49.74358
2020-11-27,47.48717
2020-11-28,43.17948
2020-11-29,64.0
2020-11-30,49.23076
2020-12-01,40.92307
2020-12-02,45.53846
2020-12-03,46.66666
2020-12-04,48.82051
2020-12-05,41.53846
2020-12-06,84.20512
2020-12-07,70.76923
2020-12-08,46.5641
2020-12-09,38.25641
2020-12-10,39.07692
2020-12-11,30.97435
2020-12-12,32.51282
2020-12-13,37.94871
2020-12-14,42.25641
2020-12-15,36.10256
2020-12-16,35.48717
2020-12-17,33.94871
2020-12-18,34.25641
2020-12-19,29.33333
2020-12-20,32.92307
2020-12-21,33.84615
2020-12-22,42.76923
2020-12-23,39.58974
2020-12-24,35.6923
2020-12-25,35.48717
2020-12-26,36.61538
2020-12-27,47.89743
2020-12-28,39.17948
2020-12-29,41.53846
2020-12-30,41.74358
2020-12-31,36.30769
2021-01-01,42.05128
2021-01-02,63.07692
2021-01-03,63.17948
2021-01-04,55.48717
2021-01-05,56.41025
2021-01-06,58.97435
2021-01-07,82.15384
2021-01-08,70.15384
2021-01-09,40.41025
2021-01-10,45.74358
