date,캐나다환율
2020-03-20,89.88864
2020-03-21,31.65035
2020-03-22,21.76874
2020-03-23,64.8035
2020-03-24,70.04432
2020-03-25,100.0
2020-03-26,65.80085
2020-03-27,57.90312
2020-03-28,26.79874
2020-03-29,18.96048
2020-03-30,47.83501
2020-03-31,54.50564
2020-04-01,48.37288
2020-04-02,42.20768
2020-04-03,40.19947
2020-04-04,19.44159
2020-04-05,14.75755
2020-04-06,36.56954
2020-04-07,39.06967
2020-04-08,34.29915
2020-04-09,34.28293
2020-04-10,33.13692
2020-04-11,15.81166
2020-04-12,13.73858
2020-04-13,32.072
2020-04-14,31.17465
2020-04-15,20.08216
2020-04-16,32.81258
2020-04-17,33.08016
2020-04-18,15.91707
2020-04-19,13.098
2020-04-20,31.42872
2020-04-21,37.90204
2020-04-22,31.8801
2020-04-23,30.92869
2020-04-24,31.47467
2020-04-25,15.99005
2020-04-26,12.35201
2020-04-27,31.85307
2020-04-28,31.10978
2020-04-29,27.03659
2020-04-30,17.15498
2020-05-01,17.02524
2020-05-02,13.15206
2020-05-03,12.44121
2020-05-04,28.57181
2020-05-05,17.16849
2020-05-06,27.45553
2020-05-07,27.87718
2020-05-08,24.45537
2020-05-09,12.36283
2020-05-10,9.83026
2020-05-11,23.39856
2020-05-12,22.49851
2020-05-13,22.81744
2020-05-14,22.14984
2020-05-15,21.50386
2020-05-16,10.67084
2020-05-17,9.13292
2020-05-18,21.48764
2020-05-19,24.03102
2020-05-20,25.32028
2020-05-21,25.02297
2020-05-22,23.97426
2020-05-23,12.31417
2020-05-24,10.21406
2020-05-25,25.40948
2020-05-26,26.46899
2020-05-27,30.62597
2020-05-28,34.13698
2020-05-29,28.50154
2020-05-30,14.36834
2020-05-31,11.84118
2020-06-01,29.23671
2020-06-02,34.00724
2020-06-03,31.45845
2020-06-04,28.31234
2020-06-05,27.57446
2020-06-06,12.78717
2020-06-07,10.04108
2020-06-08,25.78247
2020-06-09,29.73133
2020-06-10,27.65554
2020-06-11,27.54202
2020-06-12,27.25012
2020-06-13,11.79793
2020-06-14,9.7789
2020-06-15,25.48245
2020-06-16,24.75539
2020-06-17,24.71214
2020-06-18,24.42834
2020-06-19,22.33634
2020-06-20,11.15465
2020-06-21,8.49235
2020-06-22,22.06876
2020-06-23,23.56343
2020-06-24,25.30677
2020-06-25,27.4231
2020-06-26,28.74749
2020-06-27,12.21147
2020-06-28,9.73295
2020-06-29,26.59332
2020-06-30,26.63116
2020-07-01,25.00675
2020-07-02,22.9661
2020-07-03,20.83626
2020-07-04,9.90864
2020-07-05,7.92745
2020-07-06,21.43629
2020-07-07,21.32007
2020-07-08,22.57689
2020-07-09,21.48764
2020-07-10,19.87404
2020-07-11,9.69782
2020-07-12,8.30855
2020-07-13,19.23617
2020-07-14,19.3551
2020-07-15,20.08216
2020-07-16,21.36061
2020-07-17,19.48213
2020-07-18,9.70322
2020-07-19,7.81663
2020-07-20,18.67938
2020-07-21,19.66592
2020-07-22,18.67938
2020-07-23,20.95248
2020-07-24,20.34974
2020-07-25,10.23568
2020-07-26,8.30044
2020-07-27,21.39034
2020-07-28,23.10395
2020-07-29,22.08768
2020-07-30,21.31736
2020-07-31,23.20936
2020-08-01,10.30055
2020-08-02,8.42748
2020-08-03,18.4064
2020-08-04,18.80371
2020-08-05,21.24979
2020-08-06,20.32272
2020-08-07,19.93621
2020-08-08,10.16
2020-08-09,8.45721
2020-08-10,21.7309
2020-08-11,21.46061
2020-08-12,20.06324
2020-08-13,20.25785
2020-08-14,18.97399
2020-08-15,10.04919
2020-08-16,7.89772
2020-08-17,12.56824
2020-08-18,22.5877
2020-08-19,21.20384
2020-08-20,21.48224
2020-08-21,22.67419
2020-08-22,11.1087
2020-08-23,8.81128
2020-08-24,24.46078
2020-08-25,25.6257
2020-08-26,22.25795
2020-08-27,21.74171
2020-08-28,23.00124
2020-08-29,11.7655
2020-08-30,9.03832
2020-08-31,24.98513
2020-09-01,29.13941
2020-09-02,26.40953
2020-09-03,23.86885
2020-09-04,22.71474
2020-09-05,10.48435
2020-09-06,8.8329
2020-09-07,22.50121
2020-09-08,20.9741
2020-09-09,26.1906
2020-09-10,23.26341
2020-09-11,21.47413
2020-09-12,9.63835
2020-09-13,8.0653
2020-09-14,21.32277
2020-09-15,22.64446
2020-09-16,24.26887
2020-09-17,27.49337
2020-09-18,31.55035
2020-09-19,13.08719
2020-09-20,9.33834
2020-09-21,31.62603
2020-09-22,35.92356
2020-09-23,31.1206
2020-09-24,28.59884
2020-09-25,25.2419
2020-09-26,11.21952
2020-09-27,8.9275
2020-09-28,22.62554
2020-09-29,23.82561
2020-09-30,12.59797
2020-10-01,10.74922
2020-10-02,10.17892
2020-10-03,9.21401
2020-10-04,8.52208
2020-10-05,22.36337
2020-10-06,22.95529
2020-10-07,26.06086
2020-10-08,24.17157
2020-10-09,14.18995
2020-10-10,9.91404
2020-10-11,8.71668
2020-10-12,22.69582
2020-10-13,22.94178
2020-10-14,24.94729
2020-10-15,25.28244
2020-10-16,28.25558
2020-10-17,11.64657
2020-10-18,9.18428
2020-10-19,26.65549
2020-10-20,28.39612
2020-10-21,27.13389
2020-10-22,28.83128
2020-10-23,26.32574
2020-10-24,12.75204
2020-10-25,10.14919
2020-10-26,30.82869
2020-10-27,33.67479
2020-10-28,30.45029
2020-10-29,33.05313
2020-10-30,34.17482
2020-10-31,13.67911
2020-11-01,11.24114
2020-11-02,30.70436
2020-11-03,30.89085
2020-11-04,33.53694
2020-11-05,31.5044
2020-11-06,27.59068
2020-11-07,13.0007
2020-11-08,10.70057
2020-11-09,31.48818
2020-11-10,29.14211
2020-11-11,30.13676
2020-11-12,29.73403
2020-11-13,33.4045
2020-11-14,14.34942
2020-11-15,11.33034
2020-11-16,35.69922
2020-11-17,31.75036
2020-11-18,31.38007
2020-11-19,29.18806
2020-11-20,27.40148
2020-11-21,13.21422
2020-11-22,10.80328
2020-11-23,29.24752
2020-11-24,27.615
2020-11-25,29.24482
2020-11-26,27.27174
2020-11-27,29.18265
2020-11-28,13.81426
2020-11-29,11.52224
2020-11-30,26.21222
2020-12-01,25.4284
2020-12-02,26.19601
2020-12-03,32.90448
2020-12-04,40.95897
2020-12-05,16.24141
2020-12-06,12.4331
2020-12-07,30.69084
2020-12-08,27.37445
2020-12-09,28.22044
